gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Bladder/Urinary Tract,0.06983393202144983,-0.26122790830155074,0.39988218025221367,0.348,0.5995,34,2181.0,1.0,False,0.44907906976744183
CFLAR,Bladder/Urinary Tract,0.14028448257357407,-0.228018879720071,0.433083783578442,0.222,0.6795,34,2216.0,1.0,False,0.44907906976744183
TEAD3,Bladder/Urinary Tract,-0.561652142851565,-0.7793600134467389,-0.31491830225735007,0.9995,0.998,34,1461.0,1.0,True,0.033230769230769265
E2F2,Bladder/Urinary Tract,-0.04556051596433619,-0.3695452841947224,0.27774778170687475,0.6005,0.5585,34,1866.0,1.0,False,0.44907906976744183
WWTR1,Bladder/Urinary Tract,-0.35358856127544125,-0.6454153175046129,-0.05854222190244185,0.979,0.9455,34,1831.0,1.0,False,0.17836363636363634
SNAI2,Bladder/Urinary Tract,-0.4215352709685658,-0.6911748345235234,-0.13814817569298943,0.9935,0.9735,34,1703.0,1.0,False,0.14309999999999984
CD44,Bladder/Urinary Tract,0.03920750320316946,-0.29757496415433454,0.3592991032120949,0.4,0.568,34,2170.0,1.0,False,0.44907906976744183
GAB2,Bladder/Urinary Tract,-0.3552111834447311,-0.6314250645236203,-0.055912695625711384,0.9845,0.95,34,2032.0,1.0,False,0.17381249999999998
VCL,Bladder/Urinary Tract,-0.3409320525103054,-0.6198858206695779,-0.025989343017319255,0.977,0.9255,34,1865.0,1.0,False,0.19694117647058826
TRIO,Bladder/Urinary Tract,-0.3535301767041956,-0.6458488560517237,-0.047890601555945045,0.9815,0.933,34,1898.0,1.0,False,0.19694117647058826
CDH1,Bladder/Urinary Tract,-0.19932642947765777,-0.49589195626155286,0.12580715229942552,0.8785,0.776,34,1804.0,1.0,False,0.3980322580645162
PHF23,Bladder/Urinary Tract,-0.11543271371858499,-0.42618107278165324,0.22743736813886706,0.747,0.6415,34,1997.0,1.0,False,0.44907906976744183
FAM120A,Bladder/Urinary Tract,-0.6763155980423698,-0.8356765187350781,-0.44771124513584604,1.0,1.0,34,970.0,1.0,True,0.0
BCAR1,Bladder/Urinary Tract,-0.12755606901372074,-0.45824014260982476,0.2006663067207044,0.775,0.658,34,2167.0,1.0,False,0.44907906976744183
NCKAP1,Bladder/Urinary Tract,0.15314769953827034,-0.21369059938828222,0.47310702390460335,0.203,0.6995,34,2049.0,1.0,False,0.44136000000000003
