gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Bone,0.21407376637223985,-0.1437583672264217,0.49823487588598736,0.1105,0.7965,35,2201.0,1.0,False,0.38747368421052636
CFLAR,Bone,0.05258306913006028,-0.2644161202601713,0.37390252750954023,0.3795,0.5755,35,1521.0,1.0,False,0.45339622641509425
TEAD3,Bone,-0.23627264637144232,-0.5656295408134719,0.06584575145649674,0.911,0.808,35,1936.0,1.0,False,0.3702857142857142
E2F2,Bone,-0.472335047011868,-0.7275929424645815,-0.20889884895326594,0.9985,0.9925,35,1793.0,1.0,False,0.08099999999999948
WWTR1,Bone,-0.4129615798924101,-0.6649174251099734,-0.13332052833999392,0.995,0.9795,35,1932.0,1.0,False,0.1302352941176468
SNAI2,Bone,-0.6360886578807234,-0.8180205819842365,-0.42344360426214966,1.0,1.0,35,1396.0,1.0,True,0.0
CD44,Bone,-0.5452012083108316,-0.7405163225115212,-0.2745583893358328,1.0,0.9985,35,1708.0,1.0,True,0.024923076923076024
GAB2,Bone,-0.09131519515384603,-0.42396411559384317,0.23813082391626228,0.7085,0.6005,35,2395.0,1.0,False,0.45339622641509425
VCL,Bone,-0.35915209730406294,-0.6221928985139997,-0.050214207164617664,0.981,0.95,35,1730.0,1.0,False,0.2160000000000002
TRIO,Bone,-0.4190978817231237,-0.6863526635709589,-0.14963720414357745,0.994,0.9795,35,1568.0,1.0,False,0.1302352941176468
CDH1,Bone,-0.017447015584165948,-0.3337060011839235,0.2943398373529549,0.5415,0.5265,35,1882.0,1.0,False,0.47350000000000003
PHF23,Bone,0.00756796042783936,-0.32596703739956734,0.31905731452598696,0.4815,0.575,35,2302.0,1.0,False,0.45339622641509425
FAM120A,Bone,0.0065024893176818255,-0.31732076558677225,0.34326535840262795,0.4865,0.575,35,2153.0,1.0,False,0.45339622641509425
BCAR1,Bone,-0.2031069736624255,-0.4994022496930132,0.12710161152505095,0.8725,0.743,35,2189.0,1.0,False,0.44767741935483873
NCKAP1,Bone,0.28842865532329065,-0.018384663813447444,0.5762890299761338,0.0425,0.8935,35,1869.0,1.0,False,0.29630769230769227
ELMO2,Bone,-0.13089643363379946,-0.433212934601706,0.21171160103712472,0.7675,0.6625,35,2132.0,1.0,False,0.45339622641509425
PKN2,Bone,-0.056099034069853504,-0.35139566080189577,0.29176765365670576,0.622,0.573,35,2326.0,1.0,False,0.45339622641509425
ERBB3,Bone,-0.024191150399822142,-0.3705628848650071,0.2801534058020083,0.5535,0.569,35,2039.0,1.0,False,0.45339622641509425
YBX1,Bone,-0.12588400494874966,-0.44434409967714844,0.19667798182034302,0.7825,0.656,35,1917.0,1.0,False,0.45339622641509425
KLF6,Bone,-0.23879922703906323,-0.5231117072595985,0.07292970232622897,0.929,0.8315,35,1963.0,1.0,False,0.3538285714285715
RHOA,Bone,0.19434744702884266,-0.13262528069522844,0.5043706664442038,0.1455,0.764,35,1958.0,1.0,False,0.42128925619834706
CBFB,Bone,-0.010692084825550313,-0.33636985911724127,0.31922966673386255,0.533,0.5465,35,2032.0,1.0,False,0.45560930232558144
ACSL4,Bone,-0.17617793098000645,-0.46351411489271244,0.17924229354928656,0.834,0.7335,35,2188.0,1.0,False,0.45339622641509425
AP1M1,Bone,-0.22228002113096468,-0.5375508965870464,0.11292681634822066,0.902,0.8175,35,2165.0,1.0,False,0.360972972972973
TP63,Bone,-0.1846226058435405,-0.47728654739188986,0.13980428013172586,0.8545,0.7365,35,1874.0,1.0,False,0.45339622641509425
FERMT2,Bone,-0.5000531491194333,-0.7253835967703097,-0.24242494327639164,0.999,0.997,35,1668.0,1.0,True,0.040500000000000036
ACTB,Bone,-0.06357908561675946,-0.40089232833441407,0.24954240084950063,0.636,0.586,35,2307.0,1.0,False,0.45339622641509425
FGFR1,Bone,-0.3541399093752019,-0.6338769560276882,-0.05377254300031731,0.985,0.948,35,1682.0,1.0,False,0.22023529411764725
FDFT1,Bone,-0.47627249518780257,-0.7160184804724603,-0.19224181070874818,0.9985,0.985,35,1552.0,1.0,False,0.11957142857142826
ITGB5,Bone,-0.3726148325276193,-0.6236206151458306,-0.0777631472821605,0.989,0.957,35,2140.0,1.0,False,0.19761702127659592
GRHL2,Bone,-0.15902999322966546,-0.4632939777362513,0.17213429464946017,0.8195,0.709,35,1768.0,1.0,False,0.45339622641509425
ZNF671,Bone,-0.2908112077888084,-0.5736196986547819,0.024874880256014587,0.955,0.881,35,2084.0,1.0,False,0.3134634146341463
MECOM,Bone,0.15607876743206095,-0.1677845451544422,0.4713846540160236,0.1925,0.686,35,2055.0,1.0,False,0.45339622641509425
PXN,Bone,-0.15867913762604408,-0.47432073799234953,0.16395475128265957,0.835,0.7155,35,1975.0,1.0,False,0.45339622641509425
HECTD1,Bone,-0.4520291627743286,-0.7008815798475043,-0.1778377534365403,0.998,0.987,35,1589.0,1.0,False,0.1123200000000001
EZR,Bone,-0.08305847641756645,-0.41926804969239795,0.23522392676946446,0.6835,0.597,35,2249.0,1.0,False,0.45339622641509425
BAMBI,Bone,0.06761705994047795,-0.2657848520909869,0.381655170284837,0.348,0.603,35,2176.0,1.0,False,0.45339622641509425
MTAP,Bone,-0.42070182711523196,-0.6730459278015457,-0.12654259295238912,0.9945,0.9715,35,1930.0,1.0,False,0.1661538461538463
EP300,Bone,-0.15847403676337746,-0.44722458239363916,0.20330482644013248,0.8125,0.697,35,2043.0,1.0,False,0.45339622641509425
PSMB5,Bone,-0.15887872148482587,-0.47794122310145326,0.16973024280869664,0.8225,0.7055,35,1739.0,1.0,False,0.45339622641509425
CDC25B,Bone,-0.1767923415463195,-0.4859835362618392,0.1524524039721924,0.849,0.725,35,1803.0,1.0,False,0.45339622641509425
FERMT1,Bone,-0.0037275934025717827,-0.3541867478292293,0.32627534349431864,0.508,0.589,35,1805.0,1.0,False,0.45339622641509425
SMAD7,Bone,-0.03433980097825795,-0.3465745149935846,0.2865906817745294,0.5795,0.5555,35,2211.0,1.0,False,0.45339622641509425
PIM2,Bone,-0.4189831337001183,-0.6770968514700191,-0.15568712343738134,0.996,0.981,35,2021.0,1.0,False,0.1302352941176468
KLF5,Bone,0.004113507175349973,-0.3398291380490726,0.314083729958875,0.488,0.5565,35,2216.0,1.0,False,0.45339622641509425
ELMO3,Bone,0.20807328441856743,-0.11063905469948038,0.508308895096711,0.101,0.7935,35,1987.0,1.0,False,0.3878608695652174
ESRP2,Bone,-0.16530248230489175,-0.4931912587565703,0.17266288883663905,0.8185,0.711,35,1811.0,1.0,False,0.45339622641509425
TRPS1,Bone,-0.39625445163651074,-0.6673025949891946,-0.09949829339673677,0.9895,0.965,35,1477.0,1.0,False,0.18000000000000016
