gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Bowel,-0.028343427268742782,-0.2969816378594508,0.22779386728504325,0.5775,0.471,59,2240.0,1.0,False,0.5691348837209302
CFLAR,Bowel,-0.14514116165848204,-0.3953412179308178,0.08967518444071243,0.8725,0.664,59,1862.0,1.0,False,0.5676279069767441
TEAD3,Bowel,-0.19960332098061784,-0.4378668671612412,0.04694580739819698,0.944,0.7975,59,1853.0,1.0,False,0.4726451612903226
E2F2,Bowel,-0.37896247116447246,-0.570459091683291,-0.1422145136198853,0.999,0.9885,59,2057.0,1.0,False,0.10799999999999957
WWTR1,Bowel,-0.24387088212621058,-0.4849766767586496,-0.007946563953637076,0.9685,0.88,59,2238.0,1.0,False,0.4004307692307694
SNAI2,Bowel,-0.19856836274985046,-0.4239444150158373,0.0576373134270447,0.9295,0.788,59,2278.0,1.0,False,0.4831578947368421
CD44,Bowel,-0.2952294358380845,-0.522842737442687,-0.05769291773349655,0.988,0.936,59,1968.0,1.0,False,0.29025
GAB2,Bowel,-0.12376239387739663,-0.38540327367909505,0.11181976865113663,0.8235,0.6205,59,2249.0,1.0,False,0.5691348837209302
VCL,Bowel,-0.04580065823080756,-0.3066922981953957,0.198305108167802,0.6415,0.465,59,2181.0,1.0,False,0.5691348837209302
TRIO,Bowel,-0.17611864096258553,-0.4039930752502918,0.07257210794568736,0.9145,0.7515,59,2011.0,1.0,False,0.5112000000000001
CDH1,Bowel,-0.013476340720592006,-0.2471231982642892,0.25600923472050785,0.5445,0.4445,59,2431.0,1.0,False,0.5691348837209302
PHF23,Bowel,-0.13656241712567288,-0.37334029124998236,0.10530893965420574,0.863,0.63,59,2375.0,1.0,False,0.5691348837209302
FAM120A,Bowel,-0.29990991346380325,-0.5233697000964566,-0.07852944374955723,0.9945,0.9495,59,2015.0,1.0,False,0.24790909090909086
BCAR1,Bowel,-0.15172299175859044,-0.3978410151767528,0.09578896444462726,0.8795,0.689,59,1957.0,1.0,False,0.5506229508196723
NCKAP1,Bowel,0.22085559268131338,-0.02601187662660176,0.4539535518534106,0.043,0.8405,59,2043.0,1.0,False,0.4474285714285714
ELMO2,Bowel,-0.16466440460949985,-0.3834604141701492,0.10377577207263355,0.8895,0.714,59,2373.0,1.0,False,0.5280000000000001
PKN2,Bowel,0.0252787858996969,-0.21062976500244762,0.28381246877575195,0.4245,0.4475,59,2047.0,1.0,False,0.5691348837209302
ERBB3,Bowel,-0.06901883762134264,-0.3176036523571404,0.19360608540540447,0.6975,0.5055,59,2068.0,1.0,False,0.5691348837209302
YBX1,Bowel,-0.10838289337451937,-0.3386981524674754,0.1450103966699805,0.793,0.5755,59,2247.0,1.0,False,0.5691348837209302
KLF6,Bowel,-0.17855954408276806,-0.4281834455508533,0.06668710338302719,0.917,0.7525,59,2029.0,1.0,False,0.5112000000000001
RHOA,Bowel,-0.3092138989772335,-0.5378171103439371,-0.08315587702707455,0.99,0.9525,59,1851.0,1.0,False,0.24428571428571422
CBFB,Bowel,-0.2652219710773265,-0.5119886530410966,-0.03936969775665755,0.9765,0.901,59,2161.0,1.0,False,0.36244067796610163
ACSL4,Bowel,-0.32020358947721544,-0.5161967557108034,-0.0651549226491887,0.9925,0.955,59,2120.0,1.0,False,0.24300000000000022
AP1M1,Bowel,-0.05289414088598601,-0.31549502915175515,0.18873128156524732,0.6545,0.4745,59,2278.0,1.0,False,0.5691348837209302
TP63,Bowel,-0.5047821392330789,-0.6729580016918286,-0.2927783591308717,1.0,0.9995,59,1956.0,1.0,True,0.017999999999998018
FERMT2,Bowel,-0.33543287471828487,-0.5783442935055454,-0.11104298216277103,0.996,0.9675,59,2034.0,1.0,False,0.20365714285714304
ACTB,Bowel,-0.026862664844361672,-0.27530017618858477,0.2141152585622772,0.578,0.4525,59,2199.0,1.0,False,0.5691348837209302
FGFR1,Bowel,-0.06160219690391741,-0.30216003104575867,0.20911499031214542,0.694,0.4745,59,2075.0,1.0,False,0.5691348837209302
FDFT1,Bowel,-0.02481091278420189,-0.2996650189684391,0.2073981174458681,0.5695,0.427,59,1963.0,1.0,False,0.573
ITGB5,Bowel,-0.2165926284720456,-0.4483497073649722,0.04374245480766903,0.9415,0.814,59,1989.0,1.0,False,0.4671627906976746
GRHL2,Bowel,-0.398051905760458,-0.6013061495412868,-0.1727027752156594,0.9985,0.9905,59,1716.0,1.0,False,0.09771428571428523
ZNF671,Bowel,0.05457904010310388,-0.18647829367907742,0.3218589196738455,0.346,0.503,59,2140.0,1.0,False,0.5691348837209302
MECOM,Bowel,-0.0589735046262434,-0.3038857863068976,0.16549675542914266,0.678,0.468,59,2427.0,1.0,False,0.5691348837209302
PXN,Bowel,-0.1018146333409565,-0.3423761167675567,0.16239015619894892,0.77,0.5685,59,2119.0,1.0,False,0.5691348837209302
HECTD1,Bowel,-0.14774883009693882,-0.3896445787922387,0.07862863023920763,0.8715,0.6685,59,2050.0,1.0,False,0.5676279069767441
EZR,Bowel,-0.314964567881867,-0.5364991976795315,-0.08719040638899722,0.9925,0.961,59,1805.0,1.0,False,0.22767567567567587
BAMBI,Bowel,-0.10728394745540534,-0.33971115453638157,0.16810323759819523,0.7745,0.5845,59,2122.0,1.0,False,0.5691348837209302
MTAP,Bowel,-0.17332027929292382,-0.42415585761918134,0.06306650612766163,0.899,0.722,59,2485.0,1.0,False,0.5276842105263158
EP300,Bowel,-0.21553238871965108,-0.4676813722638078,0.02893272144398651,0.956,0.8215,59,2074.0,1.0,False,0.46285714285714297
PSMB5,Bowel,-0.10822818441205384,-0.37442032260110375,0.1278095656041771,0.8005,0.5775,59,2088.0,1.0,False,0.5691348837209302
