gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Breast,-0.34354314811798536,-0.5808369329594201,-0.09698140136505162,0.992,0.9615,50,2438.0,1.0,False,0.15600000000000014
CFLAR,Breast,0.026111153374289264,-0.24902439628611622,0.2864615690095871,0.4225,0.4865,50,2184.0,1.0,False,0.5253644859813084
TEAD3,Breast,-0.1421215473059213,-0.3830216289038466,0.14584275958292614,0.839,0.6605,50,2304.0,1.0,False,0.5164225352112676
E2F2,Breast,-0.25199679665792507,-0.5142101726613046,0.0068020505891177585,0.9635,0.8775,50,1606.0,1.0,False,0.2785263157894738
WWTR1,Breast,-0.4266595571355962,-0.6478381521299383,-0.17961348228026436,1.0,0.989,50,1925.0,1.0,False,0.060923076923076976
SNAI2,Breast,-0.3892101148228122,-0.61058119723987,-0.1552648459900548,0.9985,0.99,50,1752.0,1.0,False,0.056842105263157944
CD44,Breast,-0.1884896851146209,-0.42931261014321076,0.09554304131527758,0.9025,0.755,50,2013.0,1.0,False,0.42
GAB2,Breast,-0.10714850471308965,-0.35948041479497217,0.17220848529412414,0.7785,0.5905,50,2243.0,1.0,False,0.5253644859813084
VCL,Breast,-0.08542472346197774,-0.352528340160601,0.19690833093179694,0.7195,0.5715,50,2006.0,1.0,False,0.5253644859813084
TRIO,Breast,-0.08917034059731699,-0.3501920806945899,0.1929609554824523,0.7315,0.5655,50,2037.0,1.0,False,0.5253644859813084
CDH1,Breast,-0.22425980096267367,-0.45488108947921124,0.05351682545991787,0.9425,0.8235,50,2416.0,1.0,False,0.3401052631578947
PHF23,Breast,-0.4333796341968196,-0.6418666712264243,-0.17413925162612154,0.9985,0.991,50,1620.0,1.0,False,0.05400000000000005
FAM120A,Breast,-0.3044639289038529,-0.5460158158664519,-0.04800922217489223,0.985,0.927,50,1984.0,1.0,False,0.21333333333333324
BCAR1,Breast,-0.26628551143838075,-0.5012842565441791,0.0014821720144253536,0.969,0.883,50,1644.0,1.0,False,0.27114893617021274
NCKAP1,Breast,0.020058931652571443,-0.27785595791194484,0.28773528542808235,0.4525,0.501,50,2138.0,1.0,False,0.5253644859813084
ELMO2,Breast,-0.2809916842822153,-0.5283602939686547,-0.01899136776464344,0.978,0.9105,50,1808.0,1.0,False,0.23271428571428576
PKN2,Breast,-0.05005222551053276,-0.316235053492306,0.2256208439619516,0.644,0.5115,50,2136.0,1.0,False,0.5253644859813084
ERBB3,Breast,-0.3101492552436449,-0.568641945891263,-0.0693450742730608,0.9875,0.9455,50,1949.0,1.0,False,0.18987096774193546
YBX1,Breast,-0.3521913747413943,-0.5649617389487895,-0.08701588455341941,0.9945,0.9665,50,2396.0,1.0,False,0.14188235294117638
KLF6,Breast,-0.31597270404621414,-0.5438828860255427,-0.043223975040457996,0.987,0.949,50,2221.0,1.0,False,0.1823606557377049
RHOA,Breast,-0.2873509128515965,-0.5315532686000337,-0.04020897937570739,0.984,0.926,50,1953.0,1.0,False,0.21333333333333324
CBFB,Breast,-0.05700218914781388,-0.32585573920486194,0.22699219192584574,0.6455,0.5115,50,2303.0,1.0,False,0.5253644859813084
ACSL4,Breast,-0.2683666375125827,-0.5263139006854782,-0.01772742561781926,0.971,0.9105,50,2121.0,1.0,False,0.23271428571428576
AP1M1,Breast,-0.44904789213872154,-0.6701460916550088,-0.21534908746579035,0.9995,0.995,50,2070.0,1.0,True,0.04129411764705851
TP63,Breast,-0.27303019780910803,-0.5070310137639749,-0.006311889326054254,0.974,0.898,50,2163.0,1.0,False,0.25036363636363634
FERMT2,Breast,-0.4499263493954806,-0.645083923364965,-0.2154879293846228,1.0,0.9945,50,2032.0,1.0,True,0.04129411764705851
ACTB,Breast,-0.023353621331635877,-0.30202582269906847,0.26199607112925216,0.569,0.495,50,1920.0,1.0,False,0.5253644859813084
FGFR1,Breast,-0.435151263182076,-0.6624289945752275,-0.20793042135275752,1.0,0.996,50,1823.0,1.0,True,0.03756521739130438
FDFT1,Breast,-0.047998727472208014,-0.30653893889656714,0.24619598948258248,0.627,0.511,50,1935.0,1.0,False,0.5253644859813084
ITGB5,Breast,-0.09175572249815969,-0.38148443421767547,0.16570931825017277,0.7155,0.5755,50,1841.0,1.0,False,0.5253644859813084
GRHL2,Breast,-0.45193860402503505,-0.656079530737494,-0.21966772420109087,1.0,0.9955,50,1696.0,1.0,True,0.038879999999999554
ZNF671,Breast,-0.1746332743168695,-0.4439239126894758,0.10546625635103712,0.8845,0.737,50,1999.0,1.0,False,0.4369846153846154
MECOM,Breast,-0.3202610115663713,-0.5489023805780522,-0.0495176007501692,0.9865,0.9505,50,1764.0,1.0,False,0.18122033898305082
PXN,Breast,-0.055942193672789214,-0.32189017398885517,0.24083485359491208,0.6615,0.512,50,2383.0,1.0,False,0.5253644859813084
HECTD1,Breast,-0.4032049336154335,-0.6319365093189568,-0.16121517154193232,0.997,0.985,50,1766.0,1.0,False,0.07714285714285721
EZR,Breast,-0.15067080200221916,-0.3971532737723597,0.14311450811906834,0.8545,0.6695,50,1894.0,1.0,False,0.5164225352112676
BAMBI,Breast,-0.5498173654263215,-0.7366041041028135,-0.3365105372923463,1.0,1.0,50,1516.0,1.0,True,0.0
MTAP,Breast,-0.4499602543647323,-0.6575160820881019,-0.20682051390706085,1.0,0.994,50,1637.0,1.0,True,0.04129411764705851
EP300,Breast,-0.2696325346615409,-0.5209792572013365,-0.009035248477983926,0.9755,0.8915,50,1839.0,1.0,False,0.2604000000000001
PSMB5,Breast,-0.028038151134156503,-0.28968147442215025,0.24328012597726434,0.5785,0.4875,50,2136.0,1.0,False,0.5253644859813084
CDC25B,Breast,-0.24961753998256125,-0.5036339479213034,0.0006705258202706066,0.964,0.863,50,2378.0,1.0,False,0.3019591836734694
FERMT1,Breast,-0.09253616044381219,-0.3583970955201379,0.17958672627669015,0.7475,0.5565,50,1856.0,1.0,False,0.5253644859813084
SMAD7,Breast,-0.5267435549521369,-0.7244344854463365,-0.33688668652520354,1.0,0.9995,50,1781.0,1.0,True,0.008307692307691393
PIM2,Breast,0.05326074558569227,-0.22401432219670414,0.3273825922085334,0.364,0.4975,50,2256.0,1.0,False,0.5253644859813084
KLF5,Breast,-0.36821167371088537,-0.5722338218307317,-0.0749659037048484,0.9955,0.97,50,1515.0,1.0,False,0.1322448979591838
ELMO3,Breast,-0.33768357708643515,-0.5569807846208235,-0.07716817977432511,0.992,0.9595,50,2052.0,1.0,False,0.15905454545454537
ESRP2,Breast,-0.3753027537408117,-0.5963548091090722,-0.13596823117570217,0.997,0.982,50,2104.0,1.0,False,0.08686956521739111
TRPS1,Breast,-0.7083433815190138,-0.8305602972471631,-0.5586627570683769,1.0,1.0,50,1458.0,1.0,True,0.0
CCNE1,Breast,-0.456370406154858,-0.6710202404138621,-0.21566119726570943,1.0,0.994,50,1931.0,1.0,True,0.04129411764705851
CDK6,Breast,-0.21808045645819438,-0.510557217205927,0.010750538406554044,0.954,0.8295,50,2082.0,1.0,False,0.3401052631578947
GATA3,Breast,-0.7497860842311919,-0.8618306117367098,-0.61498803129701,1.0,1.0,50,1030.0,1.0,True,0.0
TWNK,Breast,-0.18828221866965777,-0.4297529871081618,0.10065554948897959,0.901,0.7425,50,2431.0,1.0,False,0.4345312499999999
RAPGEFL1,Breast,-0.44722489251188696,-0.6598579577195198,-0.218138926746972,0.9995,0.997,50,1828.0,1.0,True,0.030857142857142885
RAPGEF2,Breast,-0.3311012464299816,-0.5711435756022287,-0.08281195530195978,0.9935,0.9575,50,1893.0,1.0,False,0.16392857142857137
CCND1,Breast,-0.531328709111544,-0.7039498842671592,-0.3095559876935389,1.0,0.9995,50,1897.0,1.0,True,0.008307692307691393
ATP5F1B,Breast,-0.3015529741030414,-0.5546625164105186,-0.049175122960437856,0.9775,0.932,50,1778.0,1.0,False,0.20982857142857128
KRT18,Breast,-0.09586426084108329,-0.3392522744604309,0.20520958439810943,0.7545,0.571,50,2147.0,1.0,False,0.5253644859813084
ELK3,Breast,-0.01940971162698102,-0.30590718698153796,0.2331136627585817,0.5605,0.486,50,1912.0,1.0,False,0.5253644859813084
NEDD9,Breast,-0.30378713559100645,-0.5284387874138721,-0.043649773325639296,0.9865,0.934,50,1844.0,1.0,False,0.2081739130434783
PTP4A1,Breast,-0.24215095158768332,-0.5004500335332525,0.0164053654786962,0.9615,0.8545,50,2111.0,1.0,False,0.31116831683168306
CCND3,Breast,0.005702872813232784,-0.2589071764931253,0.2820848109474703,0.4805,0.475,50,2385.0,1.0,False,0.5274418604651163
BCL6,Breast,-0.2052842317531734,-0.44513303732808684,0.0741439723561177,0.9305,0.7925,50,2314.0,1.0,False,0.38399999999999995
EVA1A,Breast,-0.3347670907340269,-0.5742005995132615,-0.0823183150008231,0.989,0.9555,50,1905.0,1.0,False,0.16758620689655185
DOCK7,Breast,-0.14562335391909478,-0.42957930792618404,0.11157983515722547,0.8455,0.6785,50,2569.0,1.0,False,0.5106176470588235
AKT3,Breast,-0.08354164622383309,-0.34778610302049756,0.19729251699125405,0.7115,0.565,50,2373.0,1.0,False,0.5253644859813084
F3,Breast,-0.10685676035579181,-0.3912255722863173,0.15583060065066134,0.7855,0.5975,50,2349.0,1.0,False,0.5253644859813084
TNFAIP3,Breast,-0.22492141222618112,-0.46208899943119497,0.03885375794241619,0.953,0.8275,50,2360.0,1.0,False,0.3401052631578947
MYB,Breast,-0.03524373744336179,-0.32601609111542157,0.21440500801276152,0.598,0.4925,50,2286.0,1.0,False,0.5253644859813084
SGK1,Breast,-0.30749406691642756,-0.5488461406025706,-0.05706206107307188,0.9865,0.9405,50,1867.0,1.0,False,0.1947272727272727
CCND2,Breast,0.2014623747426596,-0.05565709553092585,0.4811454134735502,0.077,0.792,50,1905.0,1.0,False,0.38399999999999995
YPEL5,Breast,0.0046206128885935005,-0.2658569253604482,0.282270154588137,0.4875,0.4795,50,2489.0,1.0,False,0.5253644859813084
DNAJC15,Breast,-0.07930117345175655,-0.3707070342919201,0.16966725317797682,0.699,0.534,50,2006.0,1.0,False,0.5253644859813084
DUSP4,Breast,-0.4530371497763175,-0.6737123859357292,-0.2488505161716668,1.0,0.997,50,1879.0,1.0,True,0.030857142857142885
TWIST1,Breast,-0.28973251708576697,-0.519689121943566,-0.03038409213797072,0.9795,0.9205,50,2185.0,1.0,False,0.21333333333333324
PARD6B,Breast,-0.5189798337986523,-0.6971572867278071,-0.27641494696495816,1.0,1.0,50,1519.0,1.0,True,0.0
ZNFX1,Breast,-0.17842130022998615,-0.44789140344419204,0.10394340771595934,0.8905,0.746,50,1676.0,1.0,False,0.43200000000000005
SNAI1,Breast,-0.30653399879720716,-0.5495389853181707,-0.03877411364185951,0.985,0.9335,50,1546.0,1.0,False,0.2081739130434783
SOX9,Breast,-0.4883166127543738,-0.6921935804756822,-0.2616056089812208,1.0,0.998,50,1819.0,1.0,True,0.022736842105263177
PAX8,Breast,-0.2238517512113698,-0.4677337314767796,0.057959923704424154,0.943,0.8205,50,1679.0,1.0,False,0.3401052631578947
