gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,CNS/Brain,-0.23978726573689066,-0.4274091096482826,-0.030650529294478146,0.9865,0.909,82,2051.0,1.0,False,0.2026391752577319
CFLAR,CNS/Brain,-0.28691636451024305,-0.4763127742513664,-0.0893205708798277,0.996,0.966,82,1803.0,1.0,False,0.10200000000000009
TEAD3,CNS/Brain,-0.3435026530778025,-0.527291597508093,-0.15407144043669407,0.9995,0.994,82,2300.0,1.0,True,0.035099999999999736
E2F2,CNS/Brain,-0.12930804674664365,-0.333956716858892,0.08629677951532422,0.867,0.624,82,2122.0,1.0,False,0.48342857142857143
WWTR1,CNS/Brain,-0.5600139290065188,-0.6965982849234815,-0.38582859442285433,1.0,1.0,82,1589.0,1.0,True,0.0
SNAI2,CNS/Brain,-0.4563715656714791,-0.619468955524463,-0.27849184136642924,1.0,1.0,82,2013.0,1.0,True,0.0
CD44,CNS/Brain,-0.24359263171438258,-0.4458460904308978,-0.04630822740370921,0.9895,0.913,82,2072.0,1.0,False,0.19781052631578938
GAB2,CNS/Brain,-0.4128419392381766,-0.575938832868224,-0.22516115941807774,1.0,0.998,82,1937.0,1.0,True,0.013935483870967755
VCL,CNS/Brain,-0.36521737988831415,-0.5495940433386317,-0.17085332215093313,0.9985,0.995,82,2060.0,1.0,True,0.030857142857142885
TRIO,CNS/Brain,-0.33052842556104167,-0.5028106888617945,-0.13636794345427106,1.0,0.9925,82,2136.0,1.0,True,0.03857142857142832
CDH1,CNS/Brain,-0.12364020516391275,-0.33685955802497203,0.0761008948596289,0.873,0.61,82,2194.0,1.0,False,0.4955294117647059
PHF23,CNS/Brain,-0.16206792639313436,-0.3747897416761077,0.0432747230906676,0.937,0.7345,82,2414.0,1.0,False,0.40103496503496494
FAM120A,CNS/Brain,-0.17928620701487985,-0.40322805413343404,0.012268413016094826,0.956,0.7775,82,2363.0,1.0,False,0.3565588235294118
BCAR1,CNS/Brain,-0.25164479704023335,-0.4324033641004123,-0.047005773210792634,0.9915,0.932,82,2010.0,1.0,False,0.16882758620689642
NCKAP1,CNS/Brain,-0.17913027252570213,-0.4004525010232624,0.034636679624239664,0.94,0.7755,82,1908.0,1.0,False,0.3565588235294118
ELMO2,CNS/Brain,-0.25540743805205157,-0.4571584082392153,-0.04982089383139421,0.987,0.9235,82,2372.0,1.0,False,0.1836
