gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Cervix,0.09141825999333475,-0.3552340191750778,0.4988317571533518,0.346,0.6985,18,1850.0,1.0,False,0.335590243902439
CFLAR,Cervix,-0.1093193175746123,-0.5507648619472854,0.33932103817199954,0.6675,0.711,18,1851.0,1.0,False,0.335590243902439
TEAD3,Cervix,-0.2711153512095187,-0.6313120734829245,0.17997880957575862,0.8745,0.8195,18,1538.0,1.0,False,0.335590243902439
E2F2,Cervix,-0.21188686053857653,-0.6157387364435807,0.24702614769281794,0.8125,0.7745,18,1797.0,1.0,False,0.335590243902439
WWTR1,Cervix,-0.1676007024367101,-0.5924374559299936,0.29347245863951055,0.7485,0.7375,18,1616.0,1.0,False,0.335590243902439
SNAI2,Cervix,-0.42165764121393734,-0.7293842634665051,0.030901324637292005,0.9575,0.9335,18,1753.0,1.0,False,0.335590243902439
CD44,Cervix,0.3156224529137155,-0.14687263502398906,0.6634770924174391,0.0945,0.868,18,1613.0,1.0,False,0.335590243902439
GAB2,Cervix,0.2610418288043289,-0.18412879579437996,0.6407356291128679,0.152,0.8065,18,1426.0,1.0,False,0.335590243902439
VCL,Cervix,-0.4186160427621264,-0.7443530836005148,0.014289988384792673,0.959,0.9235,18,1623.0,1.0,False,0.335590243902439
TRIO,Cervix,-0.3163949511834834,-0.6931002419356576,0.12579414550748713,0.9145,0.8615,18,2007.0,1.0,False,0.335590243902439
CDH1,Cervix,-0.42771373889900244,-0.7438741384827625,0.016368040998148814,0.961,0.935,18,1403.0,1.0,False,0.335590243902439
PHF23,Cervix,-0.17176705841332188,-0.6353767272661588,0.2780120666679664,0.77,0.751,18,1692.0,1.0,False,0.335590243902439
FAM120A,Cervix,-0.015996410285844975,-0.44195492443973694,0.43988798038145727,0.523,0.647,18,2119.0,1.0,False,0.353
BCAR1,Cervix,-0.3913836857627715,-0.7450467354327497,0.052031552107407064,0.9405,0.9175,18,1680.0,1.0,False,0.335590243902439
NCKAP1,Cervix,0.09441918563914231,-0.3815710978270963,0.505751292584181,0.3485,0.694,18,2067.0,1.0,False,0.335590243902439
ELMO2,Cervix,-0.621439480759659,-0.8572399196345706,-0.2700201545230161,0.997,0.9915,18,1333.0,1.0,False,0.183599999999999
PKN2,Cervix,-0.24299427712966226,-0.6233770421665148,0.23148989982575885,0.838,0.799,18,1838.0,1.0,False,0.335590243902439
ERBB3,Cervix,-0.14821203326532695,-0.5681600822879598,0.31071417768292897,0.7215,0.745,18,1744.0,1.0,False,0.335590243902439
YBX1,Cervix,-0.4650999487958576,-0.781489679901745,-0.08887411523244593,0.978,0.962,18,1274.0,1.0,False,0.32399999999999984
KLF6,Cervix,0.04663408252177037,-0.395991969417248,0.5064869811684816,0.42,0.688,18,1943.0,1.0,False,0.335590243902439
RHOA,Cervix,-0.5686402966085864,-0.8276677600308266,-0.1852276808321887,0.994,0.983,18,1782.0,1.0,False,0.22870588235294137
CBFB,Cervix,0.3427899400359262,-0.1050471745631234,0.6940454445357163,0.0695,0.8945,18,1679.0,1.0,False,0.335590243902439
ACSL4,Cervix,0.002533438197551696,-0.43951868641949204,0.4538883080145677,0.495,0.662,18,1303.0,1.0,False,0.3395720930232558
AP1M1,Cervix,-0.060532711009436496,-0.5092075139216374,0.4010449025502647,0.599,0.6875,18,1841.0,1.0,False,0.335590243902439
TP63,Cervix,-0.753955757224604,-0.9307616693030287,-0.5029123094021695,1.0,0.9995,18,1130.0,1.0,False,0.1079999999999881
FERMT2,Cervix,-0.4553591480278454,-0.7933201021921228,-0.026474389716498015,0.9695,0.9425,18,1406.0,1.0,False,0.335590243902439
ACTB,Cervix,0.10882528580082518,-0.3513320614615609,0.49758671092006423,0.321,0.693,18,1877.0,1.0,False,0.335590243902439
FGFR1,Cervix,-0.3964494318316581,-0.7414324779807535,0.03456709663341928,0.9445,0.9215,18,1250.0,1.0,False,0.335590243902439
FDFT1,Cervix,0.1473419986575354,-0.31103167171669815,0.5619916054683081,0.281,0.724,18,1863.0,1.0,False,0.335590243902439
ITGB5,Cervix,-0.11487334820949704,-0.5284227308347116,0.35720179853251444,0.6945,0.706,18,1570.0,1.0,False,0.335590243902439
GRHL2,Cervix,-0.2780736024347076,-0.6685099720466106,0.1649130117335893,0.883,0.8485,18,1814.0,1.0,False,0.335590243902439
ZNF671,Cervix,-0.662912324647685,-0.8668496748137859,-0.3383594173631381,0.9995,0.9965,18,1313.0,1.0,False,0.183599999999999
MECOM,Cervix,0.0918871627793687,-0.363419334096418,0.5101868083270298,0.346,0.704,18,1895.0,1.0,False,0.335590243902439
PXN,Cervix,0.3955216575960021,-0.03079929691841965,0.7560870745503849,0.045,0.924,18,1592.0,1.0,False,0.335590243902439
HECTD1,Cervix,0.06638525316051036,-0.39942238103444017,0.47167058719771604,0.3955,0.6935,18,2277.0,1.0,False,0.335590243902439
EZR,Cervix,-0.19637913476089106,-0.6427536142984294,0.238559870108084,0.791,0.761,18,1482.0,1.0,False,0.335590243902439
BAMBI,Cervix,-0.6332608926273832,-0.8570498481704345,-0.2989914665927338,0.997,0.995,18,1282.0,1.0,False,0.183599999999999
MTAP,Cervix,-0.10842853265078922,-0.5347487229960941,0.3607055650315236,0.6795,0.712,18,1881.0,1.0,False,0.335590243902439
EP300,Cervix,-0.16405955693722155,-0.5588281796535504,0.28399042527793017,0.7535,0.7405,18,1884.0,1.0,False,0.335590243902439
PSMB5,Cervix,-0.11692437271174905,-0.538829829977707,0.3264059133967452,0.6995,0.701,18,1777.0,1.0,False,0.335590243902439
CDC25B,Cervix,-0.6085707237740902,-0.8798464186658439,-0.28452168628342095,0.998,0.9935,18,1394.0,1.0,False,0.183599999999999
FERMT1,Cervix,0.09515480015082067,-0.3978216109723185,0.5023167910656992,0.344,0.7005,18,1872.0,1.0,False,0.335590243902439
SMAD7,Cervix,-0.3123875781628602,-0.6922580978711306,0.10961671884617563,0.906,0.8535,18,1336.0,1.0,False,0.335590243902439
PIM2,Cervix,-0.046698808049851825,-0.5146634305579192,0.39856284977321677,0.564,0.694,18,1648.0,1.0,False,0.335590243902439
KLF5,Cervix,-0.7004040557524883,-0.91322179251068,-0.4105181322319939,1.0,0.999,18,1126.0,1.0,False,0.1079999999999961
ELMO3,Cervix,-0.5961416663035293,-0.8407834489121218,-0.22880860220613597,0.995,0.992,18,1258.0,1.0,False,0.183599999999999
ESRP2,Cervix,-0.42827123619132695,-0.7632291719237874,-0.038758067407696384,0.975,0.9395,18,1426.0,1.0,False,0.335590243902439
TRPS1,Cervix,-0.31413458290897345,-0.7030654121722608,0.1171276675113142,0.907,0.873,18,1554.0,1.0,False,0.335590243902439
