gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Esophagus/Stomach,-0.5259853478796749,-0.6845026319899221,-0.3337841135478024,1.0,0.9995,62,1970.0,1.0,True,0.0038571428571424326
CFLAR,Esophagus/Stomach,-0.46195395523817906,-0.6465424530859498,-0.2494874454088984,1.0,1.0,62,1940.0,1.0,True,0.0
TEAD3,Esophagus/Stomach,-0.3565879545425128,-0.5748815734752681,-0.1340200935351153,0.9975,0.984,62,1778.0,1.0,False,0.060406779661016805
E2F2,Esophagus/Stomach,-0.31257264956159325,-0.5184956525985636,-0.0700611362554957,0.9925,0.9575,62,1805.0,1.0,False,0.12078947368421047
WWTR1,Esophagus/Stomach,-0.44050833598882866,-0.6324805195521137,-0.24130651046903484,1.0,0.998,62,1719.0,1.0,True,0.013500000000000012
SNAI2,Esophagus/Stomach,-0.5628852186707413,-0.7266003572068929,-0.39763730601619457,1.0,1.0,62,1524.0,1.0,True,0.0
CD44,Esophagus/Stomach,-0.39496819686069057,-0.6185532043159709,-0.19714187674034878,0.9995,0.9915,62,1916.0,1.0,True,0.03991304347826064
GAB2,Esophagus/Stomach,-0.264635376136082,-0.4869861844698166,-0.034626312219381505,0.983,0.915,62,2322.0,1.0,False,0.17999999999999994
VCL,Esophagus/Stomach,-0.23377641819013142,-0.4576479006865293,0.008358071232112074,0.9655,0.8685,62,2326.0,1.0,False,0.24071186440677958
TRIO,Esophagus/Stomach,-0.46279343319671506,-0.6561355521880905,-0.26829178197211245,1.0,0.999,62,1543.0,1.0,True,0.007448275862068972
CDH1,Esophagus/Stomach,-0.25301532004626787,-0.4698131734031787,-0.019498861873249007,0.9825,0.906,62,2208.0,1.0,False,0.19626923076923083
PHF23,Esophagus/Stomach,-0.04479809883879493,-0.28797947468012103,0.20793551625104145,0.6465,0.452,62,1875.0,1.0,False,0.5773457943925234
FAM120A,Esophagus/Stomach,0.11471153390499755,-0.13905754959600453,0.3586561583660004,0.1965,0.5965,62,2055.0,1.0,False,0.5052413793103449
BCAR1,Esophagus/Stomach,-0.0373190317566848,-0.2601289239332974,0.23692751979791216,0.621,0.4585,62,2000.0,1.0,False,0.5773457943925234
NCKAP1,Esophagus/Stomach,0.049290640067974345,-0.1896153052365499,0.31697741337077256,0.336,0.471,62,2441.0,1.0,False,0.5773457943925234
ELMO2,Esophagus/Stomach,-0.12344301130360158,-0.3617688176654388,0.11049704759817613,0.8415,0.6095,62,2120.0,1.0,False,0.49910059171597626
PKN2,Esophagus/Stomach,-0.40947628435864636,-0.6095859415577767,-0.1969990411862516,1.0,0.9945,62,1901.0,1.0,True,0.029699999999999727
ERBB3,Esophagus/Stomach,-0.021667296942269765,-0.28585899520084673,0.2222926977224875,0.5665,0.4385,62,1866.0,1.0,False,0.5773457943925234
YBX1,Esophagus/Stomach,-0.3524816672189227,-0.5655762624699856,-0.12981500710946503,0.9995,0.982,62,2133.0,1.0,False,0.06270967741935489
KLF6,Esophagus/Stomach,-0.40204551238452385,-0.6000997446846896,-0.18345085496055308,0.9995,0.9915,62,1907.0,1.0,True,0.03991304347826064
RHOA,Esophagus/Stomach,-0.123349045966887,-0.36388138000475,0.11009172689400204,0.8465,0.6095,62,2200.0,1.0,False,0.49910059171597626
CBFB,Esophagus/Stomach,-0.040160517959034525,-0.2877296067915252,0.20300318835535647,0.6305,0.44,62,1916.0,1.0,False,0.5773457943925234
ACSL4,Esophagus/Stomach,-0.3062011874363094,-0.5418220870223656,-0.08556127333635799,0.989,0.9535,62,2098.0,1.0,False,0.12533333333333344
AP1M1,Esophagus/Stomach,-0.4350625727155747,-0.624413470046431,-0.22763189235514525,1.0,0.997,62,1915.0,1.0,True,0.01851428571428573
TP63,Esophagus/Stomach,-0.7337217319126742,-0.833613320591374,-0.6079768931995062,1.0,1.0,62,1239.0,1.0,True,0.0
FERMT2,Esophagus/Stomach,-0.47282459888509654,-0.6548857224596896,-0.2669199756473253,1.0,0.9995,62,1528.0,1.0,True,0.0038571428571424326
ACTB,Esophagus/Stomach,-0.25684444346393076,-0.481676531912016,-0.01556992191658213,0.9775,0.8995,62,2401.0,1.0,False,0.20674285714285723
FGFR1,Esophagus/Stomach,-0.3137491181004916,-0.5363915727329331,-0.079334607554642,0.9945,0.9595,62,2061.0,1.0,False,0.11967567567567577
FDFT1,Esophagus/Stomach,-0.42797692823964906,-0.6160454573941037,-0.21232688583290432,1.0,0.9975,62,1661.0,1.0,True,0.016363636363636015
ITGB5,Esophagus/Stomach,-0.2791385808419399,-0.5133313366449248,-0.04600853202358812,0.983,0.924,62,1903.0,1.0,False,0.1709999999999999
GRHL2,Esophagus/Stomach,-0.5482587833864672,-0.6980653304543316,-0.35484270018415737,1.0,1.0,62,1605.0,1.0,True,0.0
ZNF671,Esophagus/Stomach,-0.27775043760312657,-0.5083555936572839,-0.05627113983667492,0.9855,0.931,62,2270.0,1.0,False,0.1602580645161289
MECOM,Esophagus/Stomach,-0.24226998755950319,-0.4731566158431399,-0.014108122491730712,0.9745,0.884,62,2197.0,1.0,False,0.22168421052631576
PXN,Esophagus/Stomach,-0.17212399471533524,-0.43771503248951715,0.04405302045642889,0.922,0.751,62,2094.0,1.0,False,0.38693525179856114
HECTD1,Esophagus/Stomach,-0.34292652402888213,-0.5546669442935976,-0.11386714536454146,0.9975,0.976,62,1869.0,1.0,False,0.07975384615384622
EZR,Esophagus/Stomach,-0.38913199988313985,-0.5766391066069896,-0.1432650469420373,0.9975,0.988,62,1520.0,1.0,False,0.051840000000000046
BAMBI,Esophagus/Stomach,-0.2949906800527635,-0.5163256778044385,-0.07890715444478374,0.9915,0.95,62,2179.0,1.0,False,0.13012048192771097
MTAP,Esophagus/Stomach,-0.3336499495940518,-0.5325039032593928,-0.0965030548795674,0.9955,0.969,62,2106.0,1.0,False,0.09994029850746278
EP300,Esophagus/Stomach,-0.18750676174383316,-0.4137861194658719,0.049562394924488995,0.932,0.7815,62,2046.0,1.0,False,0.35179411764705887
PSMB5,Esophagus/Stomach,-0.17877511815685618,-0.43255573425027105,0.04342499401657052,0.933,0.7615,62,2495.0,1.0,False,0.37330434782608707
CDC25B,Esophagus/Stomach,-0.1784025780725036,-0.4123761180519288,0.0719516497685031,0.92,0.744,62,2247.0,1.0,False,0.3949714285714286
FERMT1,Esophagus/Stomach,-0.2930804955688875,-0.4991033743032424,-0.04527767214060674,0.9875,0.937,62,1996.0,1.0,False,0.15289887640449426
SMAD7,Esophagus/Stomach,-0.21970133563072072,-0.4486396089471159,0.01560899213277267,0.9585,0.8475,62,1879.0,1.0,False,0.26999999999999996
PIM2,Esophagus/Stomach,-0.13143976333055538,-0.3691536899086052,0.12011268637567629,0.848,0.626,62,2484.0,1.0,False,0.4969325153374233
KLF5,Esophagus/Stomach,-0.5081352106774588,-0.6894610961927912,-0.3114173485327751,1.0,1.0,62,1945.0,1.0,True,0.0
ELMO3,Esophagus/Stomach,-0.2831890507110046,-0.5171392360629579,-0.04843346456248465,0.9865,0.928,62,2097.0,1.0,False,0.16370526315789463
