gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Eye,-0.555651355336793,-0.8687836837764107,-0.17926975712907312,0.9895,0.98,15,1314.0,1.0,False,0.16538461538461555
CFLAR,Eye,0.17596994336423777,-0.33341599134531763,0.6202771242368974,0.2445,0.7815,15,1478.0,1.0,False,0.30786384976525827
TEAD3,Eye,-0.18350873829926104,-0.6011373254107653,0.3023501993202,0.7465,0.7545,15,1699.0,1.0,False,0.30786384976525827
E2F2,Eye,0.0078533992344888,-0.45687956142370334,0.5004374400380789,0.487,0.7175,15,1904.0,1.0,False,0.30786384976525827
WWTR1,Eye,-0.5927039137583006,-0.8688059392914169,-0.16840814985159636,0.991,0.983,15,1154.0,1.0,False,0.15049999999999966
SNAI2,Eye,-0.4919948713753278,-0.8091188061956613,-0.0810688086946858,0.982,0.9635,15,1313.0,1.0,False,0.21209459459459445
CD44,Eye,-0.08044433465117681,-0.5727896418157725,0.39699367803589025,0.6165,0.7255,15,1541.0,1.0,False,0.30786384976525827
GAB2,Eye,0.2381672787560415,-0.2783805608386041,0.6604767985762872,0.183,0.8125,15,1714.0,1.0,False,0.30786384976525827
VCL,Eye,-0.7194236427546884,-0.9101298145137842,-0.4010063319072285,0.9965,0.997,15,926.0,1.0,False,0.09214285714285722
TRIO,Eye,-0.4784017123186093,-0.814445720769639,-0.038222543068670234,0.966,0.95,15,1480.0,1.01,False,0.22395833333333354
CDH1,Eye,-0.07604502147645362,-0.5595698308267167,0.3805377269031829,0.6085,0.715,15,1465.0,1.0,False,0.30786384976525827
PHF23,Eye,-0.18707454223790845,-0.6170158323888706,0.3024203940299799,0.7645,0.752,15,1536.0,1.0,False,0.30786384976525827
FAM120A,Eye,-0.4442775130975918,-0.8173606231260129,0.005392678048211419,0.9525,0.9345,15,1599.0,1.0,False,0.24894736842105245
BCAR1,Eye,-0.3257510009672717,-0.7295581119297281,0.14715348718347832,0.8965,0.862,15,1178.0,1.0,False,0.30786384976525827
NCKAP1,Eye,-0.6022824535512122,-0.8965273821555972,-0.2456496753329518,0.9955,0.9905,15,1135.0,1.0,False,0.14333333333333345
ELMO2,Eye,0.257461915556484,-0.2546694135196248,0.6711091910691147,0.1685,0.8355,15,1734.0,1.0,False,0.30786384976525827
PKN2,Eye,0.3201041926593995,-0.14722545306837814,0.7422918320466854,0.1135,0.868,15,1516.0,1.0,False,0.30786384976525827
ERBB3,Eye,-0.46598653591969963,-0.7989527593691206,-0.022909782812708723,0.9735,0.9505,15,1494.0,1.0,False,0.22395833333333354
YBX1,Eye,-0.07439139102570169,-0.5432165386881134,0.41478062966477425,0.5935,0.7175,15,1340.0,1.0,False,0.30786384976525827
KLF6,Eye,0.2677060448957045,-0.1984545066558025,0.7079926940364993,0.136,0.8225,15,1780.0,1.0,False,0.30786384976525827
RHOA,Eye,-0.5790225538255211,-0.8833199168196266,-0.17639086465461112,0.9875,0.975,15,1418.0,1.0,False,0.1863333333333335
CBFB,Eye,0.07013375680030143,-0.45776529423789913,0.49417664709884646,0.401,0.7205,15,1769.0,1.0,False,0.30786384976525827
ACSL4,Eye,-0.37375083067167925,-0.7527072556633045,0.11048313472960869,0.9195,0.8885,15,1626.0,1.0,False,0.3073397435897437
AP1M1,Eye,-0.3226926912919094,-0.7323645747146694,0.1424967677351281,0.8945,0.8595,15,1634.0,1.0,False,0.30786384976525827
TP63,Eye,0.07236956291309693,-0.44972910355501833,0.5270619817933884,0.396,0.7025,15,1758.0,1.0,False,0.30786384976525827
FERMT2,Eye,-0.546546037612508,-0.851045019017826,-0.14283154664856745,0.987,0.9745,15,1646.0,1.0,False,0.1863333333333335
