gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Head and Neck,-0.07659910403233172,-0.31913300753891205,0.16910264257573515,0.732,0.504,61,1970.0,1.0,False,0.5725
CFLAR,Head and Neck,-0.29645197834669723,-0.5223514422636166,-0.06086270219267714,0.989,0.9455,61,2077.0,1.0,False,0.19475409836065594
TEAD3,Head and Neck,-0.5426634009464217,-0.6948233881504899,-0.3367560810820747,1.0,1.0,61,1609.0,1.0,True,0.0
E2F2,Head and Neck,-0.13433236313838648,-0.3536507883226831,0.13542588985901105,0.8425,0.651,61,2470.0,1.0,False,0.5423309352517985
WWTR1,Head and Neck,-0.32512099876184264,-0.5505880663034761,-0.10216067701572307,0.995,0.9685,61,2161.0,1.0,False,0.15300000000000014
SNAI2,Head and Neck,-0.14726987967688332,-0.3717950253222513,0.11616477132494518,0.881,0.684,61,2323.0,1.0,False,0.513203007518797
CD44,Head and Neck,-0.34347042657142235,-0.5582770598114339,-0.10911287347215004,0.993,0.974,61,2158.0,1.0,False,0.14778947368421066
GAB2,Head and Neck,-0.2786353194729949,-0.5070180720731883,-0.03472391208896347,0.9805,0.9245,61,1906.0,1.0,False,0.23947826086956528
VCL,Head and Neck,-0.22786322940845785,-0.467343517509585,-0.002362484019902078,0.9635,0.863,61,2159.0,1.0,False,0.3299999999999999
TRIO,Head and Neck,-0.33743338931721456,-0.5533870785845667,-0.09403291633982724,0.9955,0.968,61,1713.0,1.0,False,0.15300000000000014
CDH1,Head and Neck,-0.2347575758027175,-0.44798268929428153,0.026938083799119772,0.9655,0.871,61,1937.0,1.0,False,0.3299999999999999
PHF23,Head and Neck,-0.05441417664867618,-0.3013287413973819,0.19561735913798928,0.67,0.473,61,2391.0,1.0,False,0.5725
FAM120A,Head and Neck,-0.10857670961366436,-0.35687265880976854,0.14317051799852631,0.7985,0.5855,61,2383.0,1.0,False,0.5725
BCAR1,Head and Neck,-0.2164474638155879,-0.4474779874792762,0.008527463222617104,0.9635,0.8385,61,2117.0,1.0,False,0.357061224489796
NCKAP1,Head and Neck,-0.030250907214679268,-0.25623178422034587,0.22914140343376177,0.593,0.4275,61,2319.0,1.0,False,0.5725
ELMO2,Head and Neck,-0.3113165115437738,-0.5262309023222556,-0.08116959624053255,0.9955,0.958,61,2116.0,1.0,False,0.17788235294117663
PKN2,Head and Neck,-0.06821717054123191,-0.3259440481597377,0.17737791886826626,0.689,0.513,61,2210.0,1.0,False,0.5725
ERBB3,Head and Neck,-0.2727513637073725,-0.5052778113367262,-0.04536035372149089,0.987,0.925,61,1963.0,1.0,False,0.23947826086956528
YBX1,Head and Neck,-0.2972566245259791,-0.5251900727469039,-0.07208673651401853,0.989,0.9465,61,1870.0,1.0,False,0.19475409836065594
KLF6,Head and Neck,0.048017406711024946,-0.1873425942612275,0.2998373820874922,0.364,0.474,61,2110.0,1.0,False,0.5725
RHOA,Head and Neck,-0.11214173390949514,-0.37996923908162245,0.1115004862758906,0.8115,0.5855,61,2082.0,1.0,False,0.5725
CBFB,Head and Neck,-0.14283685141853905,-0.37420156679969724,0.10439033360102523,0.8585,0.6545,61,1840.0,1.0,False,0.5407826086956523
ACSL4,Head and Neck,-0.22883308121461798,-0.4591020929299501,0.013544527007157026,0.962,0.8635,61,2083.0,1.0,False,0.3299999999999999
AP1M1,Head and Neck,-0.13113431021135005,-0.39181599852633764,0.10654745737361049,0.8515,0.6345,61,2347.0,1.0,False,0.5528391608391607
TP63,Head and Neck,-0.5061510830990796,-0.6740606537119347,-0.31003621579350327,1.0,1.0,61,1762.0,1.0,True,0.0
FERMT2,Head and Neck,-0.6453667866249413,-0.781127206811828,-0.4793766199097329,1.0,1.0,61,1617.0,1.0,True,0.0
ACTB,Head and Neck,-0.10250658823101011,-0.3471684757248843,0.1370154592310886,0.793,0.564,61,2674.0,1.0,False,0.5725
FGFR1,Head and Neck,-0.5938559729552133,-0.7500215525259899,-0.4255868178528197,1.0,1.0,61,1396.0,1.0,True,0.0
FDFT1,Head and Neck,-0.24731327270105363,-0.47718846933993614,0.001998956320349521,0.9675,0.8785,61,1866.0,1.0,False,0.3299999999999999
ITGB5,Head and Neck,-0.4964034405707951,-0.6811833665662945,-0.29456994135843834,1.0,1.0,61,2197.0,1.0,True,0.0
GRHL2,Head and Neck,-0.30240805434455714,-0.5415214562337576,-0.09058581161028867,0.991,0.9565,61,2122.0,1.0,False,0.18069230769230762
ZNF671,Head and Neck,-0.245078781363227,-0.46297795465978625,0.0007438428004014064,0.975,0.871,61,1932.0,1.0,False,0.3299999999999999
MECOM,Head and Neck,-0.017030343706277234,-0.26799333187089,0.22538619147306638,0.562,0.438,61,2231.0,1.0,False,0.5725
PXN,Head and Neck,-0.035409956117743224,-0.29481755629621637,0.20645890313673187,0.612,0.466,61,1820.0,1.0,False,0.5725
HECTD1,Head and Neck,0.008465712722829699,-0.22395992084139987,0.26787798991942324,0.469,0.433,61,2212.0,1.0,False,0.5725
EZR,Head and Neck,-0.3630215803964093,-0.5609566479058081,-0.1374253164576591,1.0,0.9855,61,1951.0,1.0,False,0.09490909090909062
BAMBI,Head and Neck,-0.04557692593668952,-0.2821126256493416,0.20540515651296154,0.64,0.4535,61,2371.0,1.0,False,0.5725
MTAP,Head and Neck,-0.404481815109377,-0.5948515009515098,-0.19286109844944832,1.0,0.996,61,2043.0,1.0,True,0.043200000000000044
EP300,Head and Neck,-0.20464974747007494,-0.44170335389955845,0.024195982180961195,0.9525,0.817,61,2377.0,1.0,False,0.387529411764706
PSMB5,Head and Neck,-0.021515135802351315,-0.29043797224942075,0.20753591688278372,0.5605,0.444,61,2141.0,1.0,False,0.5725
CDC25B,Head and Neck,-0.20758565373994822,-0.4476712258093243,0.030634982936197597,0.9395,0.804,61,1913.0,1.0,False,0.39939622641509426
FERMT1,Head and Neck,-0.258679567776845,-0.49028909152798605,-0.039371005034110895,0.9825,0.903,61,1862.0,1.0,False,0.2950985915492957
SMAD7,Head and Neck,-0.16580736025762247,-0.40657492620072366,0.08935624076504589,0.902,0.7075,61,1889.0,1.0,False,0.504
PIM2,Head and Neck,-0.15979311360779258,-0.4009054327125963,0.08386069329801837,0.899,0.7085,61,1944.0,1.0,False,0.504
KLF5,Head and Neck,-0.35078203746811654,-0.5635224440694961,-0.12219792856320444,0.996,0.98,61,1807.0,1.0,False,0.1200000000000001
ELMO3,Head and Neck,-0.037446412454798184,-0.29894755996174144,0.2057491277317427,0.6275,0.438,61,2135.0,1.0,False,0.5725
ESRP2,Head and Neck,-0.09658329497175014,-0.3417270604208962,0.14554052633952597,0.775,0.553,61,2179.0,1.0,False,0.5725
TRPS1,Head and Neck,-0.3872719686823437,-0.5792612038496887,-0.157715267115067,1.0,0.9945,61,1791.0,1.0,True,0.049499999999999544
CCNE1,Head and Neck,-0.092856017869163,-0.31522553390318014,0.16768477560445993,0.748,0.538,61,2123.0,1.0,False,0.5725
CDK6,Head and Neck,-0.20096737818982713,-0.44328111969744555,0.022937205139955674,0.951,0.818,61,2206.0,1.0,False,0.387529411764706
GATA3,Head and Neck,0.015092571430678547,-0.24983075861490067,0.2482609837447678,0.4425,0.444,61,2508.0,1.0,False,0.5725
TWNK,Head and Neck,-0.09463222430462737,-0.32543730854622765,0.1630140765818764,0.771,0.5405,61,2152.0,1.0,False,0.5725
RAPGEFL1,Head and Neck,-0.221484893324011,-0.45231033350494965,0.02044130398461541,0.9555,0.831,61,2258.0,1.0,False,0.3650400000000001
RAPGEF2,Head and Neck,-0.368184652258323,-0.5802293783790422,-0.14566378264821983,0.9965,0.9845,61,2013.0,1.0,False,0.09847058823529385
CCND1,Head and Neck,-0.5431333085520581,-0.7163507531225626,-0.37013052205271335,1.0,0.9995,61,1517.0,1.0,True,0.007199999999999207
ATP5F1B,Head and Neck,-0.09528677912398317,-0.32590265297718174,0.17115969977842527,0.763,0.5565,61,2250.0,1.0,False,0.5725
KRT18,Head and Neck,-0.22923141540408684,-0.45938689906643043,0.013020441647127123,0.9625,0.8635,61,2084.0,1.0,False,0.3299999999999999
ELK3,Head and Neck,-0.31278164488639804,-0.5195783911780747,-0.06899460393906315,0.9925,0.953,61,1947.0,1.0,False,0.18458181818181832
NEDD9,Head and Neck,-0.3147894907853328,-0.5255949898504317,-0.08935077669629554,0.996,0.9635,61,2077.0,1.0,False,0.16089795918367336
PTP4A1,Head and Neck,0.08526919140332945,-0.16470612559268938,0.32792091527920664,0.256,0.526,61,2161.0,1.0,False,0.5725
CCND3,Head and Neck,-0.39669691078543434,-0.5910055338728233,-0.1625660275320509,0.998,0.9915,61,1847.0,1.0,False,0.06557142857142821
BCL6,Head and Neck,-0.2972807846043998,-0.5219221135419219,-0.07217490554547767,0.988,0.9495,61,1877.0,1.0,False,0.19475409836065594
EVA1A,Head and Neck,-0.23405771375932735,-0.4842817352891195,-0.011670501732579053,0.969,0.8625,61,2082.0,1.0,False,0.3299999999999999
DOCK7,Head and Neck,-0.33103571327747217,-0.5518070987426602,-0.10070700955783568,0.9965,0.969,61,1612.0,1.0,False,0.15300000000000014
AKT3,Head and Neck,-0.37352224991409444,-0.5790311005472006,-0.16006503615491807,0.999,0.988,61,2003.0,1.0,False,0.08361290322580653
F3,Head and Neck,-0.30603975540091344,-0.5136751786577525,-0.05364460543359334,0.9915,0.9475,61,1730.0,1.0,False,0.19475409836065594
TNFAIP3,Head and Neck,-0.22518611681341386,-0.460890162133496,0.0065487540693462964,0.962,0.851,61,2566.0,1.0,False,0.3423829787234043
MYB,Head and Neck,-0.05558661099030063,-0.3050599388041948,0.18473094284096891,0.667,0.4595,61,2359.0,1.0,False,0.5725
