gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Kidney,-0.0363836646795882,-0.41542958761385473,0.27382144540783115,0.5805,0.6015,31,2178.0,1.0,False,0.43149767441860465
CFLAR,Kidney,-0.5760571799949097,-0.7995368085571735,-0.31936946987006465,1.0,0.9975,31,1400.0,1.0,False,0.06749999999999856
TEAD3,Kidney,-0.18355070260263015,-0.49275916304865874,0.18937905658327914,0.839,0.736,31,2137.0,1.0,False,0.43149767441860465
E2F2,Kidney,-0.4486488016321019,-0.6828387550139863,-0.13954561905278057,0.996,0.982,31,1908.0,1.0,False,0.25650000000000023
WWTR1,Kidney,-0.2742094017159218,-0.5964258453717526,0.05327624300598588,0.9325,0.87,31,1983.0,1.0,False,0.43149767441860465
SNAI2,Kidney,-0.13886464359051626,-0.48705827254994555,0.19556941954652296,0.778,0.695,31,2297.0,1.0,False,0.43149767441860465
CD44,Kidney,-0.3423339062140987,-0.6436564138107712,-0.03429036256878559,0.976,0.9275,31,1700.0,1.0,False,0.3728571428571429
GAB2,Kidney,-0.23007270092316204,-0.5374539884407059,0.1056369917625477,0.9125,0.822,31,1931.0,1.0,False,0.43149767441860465
VCL,Kidney,0.17617770215880613,-0.16752853817517105,0.5108871638865915,0.1665,0.728,31,2406.0,1.0,False,0.43149767441860465
TRIO,Kidney,-0.18790032849402935,-0.5262679439374476,0.14717138798340001,0.853,0.7405,31,2033.0,1.0,False,0.43149767441860465
CDH1,Kidney,-0.021947735283406516,-0.37192520043136534,0.33203689410110493,0.545,0.583,31,1760.0,1.0,False,0.43149767441860465
PHF23,Kidney,-0.2624199955600235,-0.5739450202267644,0.04464568276591607,0.936,0.8525,31,2174.0,1.0,False,0.43149767441860465
FAM120A,Kidney,-0.1814684203956485,-0.511978390223035,0.1540037452588836,0.845,0.731,31,1558.0,1.0,False,0.43149767441860465
BCAR1,Kidney,-0.19075866447488338,-0.5144301325789109,0.15464521839831313,0.851,0.748,31,2003.0,1.0,False,0.43149767441860465
NCKAP1,Kidney,0.3844681052700256,0.057421611531407235,0.6542863343613545,0.02,0.949,31,1492.0,1.0,False,0.3240000000000003
