gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Liver,-0.09270759333480216,-0.46978584584815497,0.28609864471510815,0.6815,0.6485,24,1738.0,1.0,False,0.38076279069767444
CFLAR,Liver,-0.2702286946078888,-0.6202878682189197,0.11812924554868487,0.9005,0.8275,24,2002.0,1.0,False,0.38076279069767444
TEAD3,Liver,0.19450761931657823,-0.19069749361938482,0.5337299432150089,0.1715,0.7585,24,1919.0,1.0,False,0.38076279069767444
E2F2,Liver,0.19649673505504428,-0.20152855820103183,0.5373322573493875,0.1775,0.7495,24,1909.0,1.0,False,0.38076279069767444
WWTR1,Liver,-0.26821499480462624,-0.6129036686408198,0.1067788588822689,0.916,0.8455,24,1682.0,1.0,False,0.37739325842696625
SNAI2,Liver,-0.5262363361006751,-0.7841648232589487,-0.22373323567017694,0.9975,0.9895,24,1377.0,1.0,False,0.14174999999999938
CD44,Liver,-0.2629665566978916,-0.6145867273787715,0.1297108493577901,0.902,0.836,24,1890.0,1.0,False,0.38076279069767444
GAB2,Liver,-0.08211098817151,-0.48485069151770954,0.31223491916937074,0.657,0.634,24,1866.0,1.0,False,0.38076279069767444
VCL,Liver,-0.3601588666940303,-0.7105289961469068,-0.0036515136179431362,0.96,0.9205,24,1897.0,1.0,False,0.31221818181818184
TRIO,Liver,-0.3298563628847192,-0.6518452389151315,0.03774681524264345,0.958,0.899,24,1869.0,1.0,False,0.34036363636363626
CDH1,Liver,-0.30442997816614503,-0.6417855222345492,0.05354794848087652,0.934,0.8725,24,1848.0,1.0,False,0.3623684210526314
PHF23,Liver,-0.2773021266665667,-0.6105502730982901,0.11537849490567709,0.9015,0.8395,24,1861.0,1.0,False,0.38076279069767444
FAM120A,Liver,-0.3639396029797186,-0.701501633959146,0.008259013474871013,0.9565,0.919,24,1537.0,1.0,False,0.3124285714285713
BCAR1,Liver,-0.3075770857130081,-0.6405107761305309,0.06434247837532525,0.931,0.877,24,1902.0,1.0,False,0.3623684210526314
NCKAP1,Liver,0.0012077006684584335,-0.4193372293892146,0.3610562553166763,0.4985,0.6595,24,2125.0,1.0,False,0.38076279069767444
ELMO2,Liver,-0.33355113519591933,-0.6662754459712235,0.05296520728561038,0.9425,0.884,24,1835.0,1.0,False,0.3579428571428571
PKN2,Liver,0.0162228137403595,-0.3743820275860328,0.42267485071335353,0.472,0.6395,24,2126.0,1.0,False,0.38076279069767444
ERBB3,Liver,-0.03767499912590927,-0.43194729148085337,0.33238086658365074,0.5815,0.6305,24,1943.0,1.0,False,0.38076279069767444
YBX1,Liver,-0.1669240027335735,-0.5592131807941949,0.22198843839349558,0.808,0.732,24,1830.0,1.0,False,0.38076279069767444
KLF6,Liver,0.0344209027860467,-0.3486862190480288,0.43464901282456436,0.437,0.6385,24,1657.0,1.0,False,0.38076279069767444
RHOA,Liver,-0.0927428740490214,-0.4698009600296315,0.2860647023945053,0.6815,0.6485,24,1738.0,1.0,False,0.38076279069767444
CBFB,Liver,-0.23998603100957222,-0.5945379416298897,0.17384450636290394,0.8755,0.817,24,1732.0,1.0,False,0.38076279069767444
ACSL4,Liver,-0.1190998800003189,-0.4940328467501869,0.2846671103719489,0.7135,0.6815,24,1935.0,1.0,False,0.38076279069767444
AP1M1,Liver,-0.2727950926951368,-0.6294373089251797,0.09542653849687666,0.915,0.833,24,1535.0,1.0,False,0.38076279069767444
TP63,Liver,-0.20429454477052933,-0.5562728957036576,0.16895263286084017,0.8425,0.758,24,1815.0,1.0,False,0.38076279069767444
FERMT2,Liver,-0.5008034498084213,-0.7723609286448547,-0.17714860546626804,0.9935,0.983,24,1346.0,1.0,False,0.17181818181818143
ACTB,Liver,-0.4042441409111297,-0.7186811625959253,-0.06585554886471229,0.979,0.95,24,1033.0,1.0,False,0.27692307692307716
FGFR1,Liver,-0.26740661147964706,-0.5989780237610636,0.10969400182386368,0.906,0.8255,24,1957.0,1.0,False,0.38076279069767444
FDFT1,Liver,-0.17344805586907305,-0.5520162390599475,0.2210868909268091,0.7805,0.738,24,1878.0,1.0,False,0.38076279069767444
ITGB5,Liver,-0.40270016801796227,-0.7081593210672312,-0.05705988619809782,0.9785,0.9455,24,1528.0,1.0,False,0.2821224489795916
GRHL2,Liver,-0.13008161208283534,-0.5016285761880854,0.276375881805492,0.755,0.682,24,1666.0,1.0,False,0.38076279069767444
ZNF671,Liver,-0.10783861697382027,-0.48387674215201115,0.2687537523963215,0.704,0.664,24,2241.0,1.0,False,0.38076279069767444
MECOM,Liver,-0.5964128422762589,-0.8253985379760893,-0.2818848794582976,0.9985,0.9965,24,1322.0,1.0,False,0.10799999999999839
PXN,Liver,0.20151760097438287,-0.18933139243595937,0.5408749923957985,0.1725,0.7415,24,1824.0,1.0,False,0.38076279069767444
HECTD1,Liver,-0.07188244947711914,-0.4391139300883324,0.34807451162283054,0.629,0.6625,24,1949.0,1.0,False,0.38076279069767444
EZR,Liver,-0.21101659738268513,-0.5888766025531322,0.17007911618803528,0.849,0.7785,24,1417.0,1.0,False,0.38076279069767444
BAMBI,Liver,-0.5014437607538567,-0.7711393084274303,-0.14194948077244107,0.993,0.976,24,1174.0,1.0,False,0.20736000000000018
MTAP,Liver,-0.5451753953533967,-0.777343240084482,-0.2071855444921178,0.998,0.9925,24,1598.0,1.0,False,0.14123076923076844
EP300,Liver,-0.07765729723913681,-0.49903708760146337,0.3061894758749739,0.6315,0.6605,24,1934.0,1.0,False,0.38076279069767444
PSMB5,Liver,-0.19886244205566778,-0.5665103241306042,0.1873999622448892,0.8295,0.7605,24,2013.0,1.0,False,0.38076279069767444
CDC25B,Liver,-0.4109207493027931,-0.703511068217274,-0.04363673716690325,0.9795,0.9575,24,1710.0,1.0,False,0.2549999999999999
FERMT1,Liver,-0.2277966914610824,-0.6055498071773378,0.1488190911400411,0.8665,0.794,24,1646.0,1.0,False,0.38076279069767444
SMAD7,Liver,-0.2956242968068827,-0.6439969123528488,0.07453716339542082,0.924,0.864,24,1322.0,1.0,False,0.3626666666666667
PIM2,Liver,0.0683264150328744,-0.3229675350785724,0.4451301468091984,0.3645,0.657,24,1773.0,1.0,False,0.38076279069767444
KLF5,Liver,-0.5597768608745135,-0.7912515326111622,-0.24327961780595886,0.9975,0.992,24,1650.0,1.0,False,0.14123076923076844
ELMO3,Liver,-0.3513389695455577,-0.6618139671270713,0.03023620704982366,0.961,0.9145,24,1501.0,1.0,False,0.316677966101695
ESRP2,Liver,-0.030828675132477862,-0.41489785087410413,0.3702002585472717,0.5625,0.6465,24,1910.0,1.0,False,0.38076279069767444
TRPS1,Liver,-0.15199529675864556,-0.5096516877115866,0.24894476636354113,0.7805,0.707,24,1926.0,1.0,False,0.38076279069767444
CCNE1,Liver,-0.5511947184771977,-0.8084017493512088,-0.2560085113921268,0.9985,0.9925,24,1808.0,1.0,False,0.14123076923076844
CDK6,Liver,0.006181487307559963,-0.3916997297877063,0.39937815021964584,0.4895,0.6325,24,1638.0,1.0,False,0.38076279069767444
GATA3,Liver,-0.048127724707828,-0.4177309600092975,0.3617990269047504,0.5935,0.6385,24,1835.0,1.0,False,0.38076279069767444
TWNK,Liver,-0.5347770642303513,-0.7891398328953274,-0.1746538828005551,0.9965,0.988,24,1709.0,1.0,False,0.15247058823529425
RAPGEFL1,Liver,0.048674685531135076,-0.32611184283069594,0.4397607460915953,0.407,0.6265,24,2145.0,1.0,False,0.38076279069767444
RAPGEF2,Liver,0.14732486473074913,-0.27267761524809625,0.4861732076248422,0.2475,0.7155,24,1831.0,1.0,False,0.38076279069767444
CCND1,Liver,-0.10235807209188427,-0.4679203016148242,0.27802038869453716,0.699,0.6615,24,2048.0,1.0,False,0.38076279069767444
ATP5F1B,Liver,-0.5093567066243552,-0.7742504352720765,-0.17533027059704187,0.9965,0.9895,24,1534.0,1.0,False,0.14174999999999938
