gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Lung,-0.18267777694457024,-0.36273958793393546,-0.02046748482996591,0.9785,0.815,123,2233.0,1.0,False,0.2594805194805196
CFLAR,Lung,-0.43432496666194553,-0.5785564861934915,-0.29030079538391235,1.0,1.0,123,1635.0,1.0,True,0.0
TEAD3,Lung,-0.33039628013957323,-0.4897195184884801,-0.17585188664668006,0.9995,0.9955,123,2173.0,1.0,True,0.013690140845070265
E2F2,Lung,-0.2063626409687583,-0.3707961143221672,-0.04541348094660874,0.988,0.8945,123,2367.0,1.0,False,0.1663357664233577
WWTR1,Lung,-0.5026330023895382,-0.6308293284786823,-0.3496865639862814,1.0,1.0,123,1746.0,1.0,True,0.0
SNAI2,Lung,-0.4425106135980903,-0.5776742631483986,-0.2908898270395341,1.0,1.0,123,2063.0,1.0,True,0.0
CD44,Lung,-0.3539579151344997,-0.5038283257012954,-0.1998108871244686,1.0,0.9985,123,2263.0,1.0,True,0.005684210526315584
GAB2,Lung,-0.17091958821127798,-0.3359565394254664,0.003273725234339553,0.973,0.789,123,2495.0,1.0,False,0.2884556962025316
VCL,Lung,-0.3273439728318593,-0.4734379366521131,-0.16911296365228706,1.0,0.998,123,1963.0,1.0,True,0.006750000000000006
TRIO,Lung,-0.3902173512361604,-0.5365073703706302,-0.23810283669075233,1.0,0.999,123,1992.0,1.0,True,0.004153846153846158
CDH1,Lung,-0.14086983242510107,-0.31055715039087367,0.035938938055457115,0.942,0.695,123,2297.0,1.0,False,0.37132584269662927
PHF23,Lung,-0.2973599593871993,-0.4548169369937458,-0.14037906690653618,0.9995,0.9845,123,2131.0,1.0,True,0.038045454545454445
FAM120A,Lung,-0.3768607906172321,-0.5200670051985263,-0.21972128951414266,1.0,1.0,123,1882.0,1.0,True,0.0
BCAR1,Lung,-0.20261344810674323,-0.3638062961307443,-0.024653238644651188,0.9875,0.873,123,2100.0,1.0,False,0.19183216783216783
NCKAP1,Lung,0.005888521472626307,-0.1879655410915937,0.16605561108807687,0.475,0.2685,123,2460.0,1.0,False,0.7315
ELMO2,Lung,-0.21466156028152422,-0.3637979631426483,-0.03280723378524408,0.992,0.924,123,2045.0,1.0,False,0.13132799999999992
PKN2,Lung,-0.0197120142362468,-0.20836009398057742,0.1502757180597949,0.5895,0.274,123,2083.0,1.0,False,0.7293767441860465
ERBB3,Lung,0.05412206643939654,-0.12537388404308075,0.21887198939446306,0.264,0.3465,123,2165.0,1.0,False,0.6919411764705882
YBX1,Lung,-0.2765959808831019,-0.4317383943652397,-0.10991914684219367,0.999,0.9785,123,2396.0,1.0,True,0.049404255319148854
KLF6,Lung,-0.32650673422308196,-0.47463301572371197,-0.15006922466311656,1.0,0.9945,123,2140.0,1.0,True,0.015839999999999854
RHOA,Lung,-0.22367764978218563,-0.39149158528783223,-0.05377129480096693,0.993,0.917,123,1819.0,1.0,False,0.13897674418604644
CBFB,Lung,-0.10162613787135463,-0.26527849439357576,0.07468171430158121,0.8695,0.517,123,2090.0,1.0,False,0.5490947368421052
ACSL4,Lung,-0.31120306056385827,-0.4689684288401516,-0.14669677942015408,0.9995,0.99,123,1924.0,1.0,True,0.026024096385542192
AP1M1,Lung,-0.1398553765279135,-0.31412156523198376,0.0266216707697855,0.948,0.6955,123,1800.0,1.0,False,0.37132584269662927
TP63,Lung,-0.5043165289886204,-0.6282835131254849,-0.3595361364084004,1.0,1.0,123,1944.0,1.0,True,0.0
FERMT2,Lung,-0.4842029420771041,-0.6292868464085681,-0.3504886156385774,1.0,1.0,123,1406.0,1.0,True,0.0
ACTB,Lung,-0.39256874100991823,-0.5454856667720631,-0.2325663502617102,1.0,1.0,123,1904.0,1.0,True,0.0
FGFR1,Lung,-0.46391134176145066,-0.5897454144404255,-0.3150924662520645,1.0,1.0,123,1960.0,1.0,True,0.0
FDFT1,Lung,-0.35131511960810613,-0.5011388675084416,-0.201413909143414,1.0,0.9985,123,2137.0,1.0,True,0.005684210526315584
ITGB5,Lung,-0.3401054251477118,-0.48820210274916387,-0.17488580743977145,1.0,0.998,123,2015.0,1.0,True,0.006750000000000006
GRHL2,Lung,-0.390812285817144,-0.5368866695149466,-0.2404028337707802,1.0,0.999,123,1961.0,1.0,True,0.004153846153846158
ZNF671,Lung,-0.22980332470928672,-0.38891349745987075,-0.04036700495452911,0.9955,0.9195,123,2474.0,1.0,False,0.13584375000000004
MECOM,Lung,-0.15955192008823812,-0.317847759069976,0.03575005241746276,0.964,0.742,123,2127.0,1.0,False,0.335710843373494
PXN,Lung,-0.3611903975574227,-0.5056035190977592,-0.1932170744627506,1.0,0.998,123,2271.0,1.0,True,0.006750000000000006
HECTD1,Lung,-0.14237174098479985,-0.2956960882316124,0.05483298824128213,0.9415,0.69,123,2055.0,1.0,False,0.37407821229050287
EZR,Lung,-0.206586533856148,-0.36333448796407414,-0.03131632793297712,0.993,0.8895,123,2337.0,1.0,False,0.1717122302158274
BAMBI,Lung,-0.33553522170960237,-0.5004969683913025,-0.18130332497809243,1.0,0.998,123,2122.0,1.0,True,0.006750000000000006
MTAP,Lung,-0.3639780346028504,-0.501781888097047,-0.19136856677504138,1.0,0.9995,123,2020.0,1.0,True,0.0022040816326528182
EP300,Lung,-0.18510248696236006,-0.3477907847217731,-0.003550173022612013,0.9805,0.8195,123,2248.0,1.0,False,0.25482352941176467
PSMB5,Lung,-0.0247636262837993,-0.19572946039924055,0.15018924136664857,0.5965,0.282,123,2137.0,1.0,False,0.7293767441860465
CDC25B,Lung,-0.2599552936565459,-0.42135378001165374,-0.08209399767708647,0.9975,0.962,123,1930.0,1.0,False,0.07671028037383185
