gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Lymphoid,-0.06768050672369402,-0.2569870882161402,0.13527752958717065,0.739,0.4395,91,2439.0,1.0,False,0.6811132075471698
CFLAR,Lymphoid,-0.5068497043498926,-0.6534849605878748,-0.3525718035415046,1.0,1.0,91,1789.0,1.0,True,0.0
TEAD3,Lymphoid,0.1440707281673399,-0.04472635167995381,0.34974366524679135,0.0685,0.688,91,2443.0,1.0,False,0.6811132075471698
E2F2,Lymphoid,-0.1250229716523509,-0.313758860808758,0.08958248936400137,0.8935,0.627,91,2175.0,1.0,False,0.6811132075471698
WWTR1,Lymphoid,-0.021769491865014645,-0.22228769317540437,0.18234351775003343,0.588,0.346,91,2273.0,1.0,False,0.6811132075471698
SNAI2,Lymphoid,0.0381913985004293,-0.1632640517084219,0.22773179480422767,0.37,0.369,91,2290.0,1.0,False,0.6811132075471698
CD44,Lymphoid,0.03778324634914565,-0.15640526261427828,0.25109220148454203,0.3585,0.376,91,2238.0,1.0,False,0.6811132075471698
GAB2,Lymphoid,-0.04609120884473694,-0.2564606826095254,0.15740606939371626,0.6705,0.391,91,2535.0,1.0,False,0.6811132075471698
VCL,Lymphoid,-0.01264413766036801,-0.20935577568474534,0.21027364411297111,0.549,0.334,91,2364.0,1.0,False,0.6811132075471698
TRIO,Lymphoid,0.26306132255236603,0.06201303820772974,0.4434237012295543,0.0055,0.9395,91,2186.0,1.0,False,0.27804255319148935
CDH1,Lymphoid,0.17601737109171556,-0.007885124528752563,0.37969337110862944,0.036,0.782,91,2900.0,1.0,False,0.580829268292683
PHF23,Lymphoid,-0.16034133692202573,-0.35354043679651287,0.0421730274878207,0.937,0.73,91,2147.0,1.0,False,0.648
FAM120A,Lymphoid,-0.19839307201797193,-0.39564048452244993,-0.011720894605155907,0.9685,0.827,91,2165.0,1.0,False,0.5151891891891891
BCAR1,Lymphoid,0.11604287041256833,-0.07154025798123098,0.3348785010046087,0.129,0.5935,91,1778.0,1.01,False,0.6811132075471698
NCKAP1,Lymphoid,-0.1022046873274299,-0.3244408903907432,0.09174705143460304,0.836,0.5415,91,1963.0,1.0,False,0.6811132075471698
ELMO2,Lymphoid,-0.030789638056098523,-0.24311662219781782,0.1634962216122,0.6025,0.339,91,2211.0,1.0,False,0.6811132075471698
PKN2,Lymphoid,-0.0538940033171722,-0.24988086589223263,0.15520360168932412,0.6975,0.39,91,2493.0,1.0,False,0.6811132075471698
ERBB3,Lymphoid,0.044285374280347845,-0.17228138426659007,0.2422178215263664,0.3335,0.392,91,2171.0,1.0,False,0.6811132075471698
YBX1,Lymphoid,-0.10714124186330362,-0.3193731511629668,0.0973393039363053,0.827,0.562,91,1981.0,1.0,False,0.6811132075471698
KLF6,Lymphoid,-0.2621481175607674,-0.45213929011481513,-0.05947643935306046,0.9935,0.9445,91,2294.0,1.0,False,0.2653043478260869
RHOA,Lymphoid,0.048931096806879015,-0.14538291486518085,0.259204648903113,0.31,0.379,91,2519.0,1.01,False,0.6811132075471698
CBFB,Lymphoid,-0.12263343347212663,-0.3379320303438442,0.06985015548396567,0.885,0.592,91,2472.0,1.0,False,0.6811132075471698
ACSL4,Lymphoid,0.057634415608212364,-0.15459851987621054,0.2561320197959682,0.287,0.413,91,2160.0,1.0,False,0.6811132075471698
AP1M1,Lymphoid,0.05094514220169577,-0.14663225010470105,0.27254973171873487,0.315,0.4045,91,2083.0,1.0,False,0.6811132075471698
TP63,Lymphoid,-0.2106734055567068,-0.3936874168941679,-0.0020808917812560335,0.981,0.858,91,2195.0,1.0,False,0.484457142857143
FERMT2,Lymphoid,-0.19817295530373766,-0.4036616024095023,-0.009738892827362677,0.9695,0.8235,91,2432.0,1.0,False,0.5151891891891891
ACTB,Lymphoid,-0.24006828313457207,-0.429135462800617,-0.03595960613457705,0.99,0.9055,91,2283.0,1.0,False,0.3851320754716982
FGFR1,Lymphoid,-0.2118462970077163,-0.4006289784246768,-0.024821882242444637,0.984,0.8705,91,2092.0,1.0,False,0.4822758620689653
FDFT1,Lymphoid,-0.33443552520936115,-0.5084204670493717,-0.15937666966807962,0.999,0.994,91,2081.0,1.0,True,0.041806451612903264
ITGB5,Lymphoid,-0.03841470064963004,-0.23671391260730323,0.15907870593119133,0.634,0.38,91,2285.0,1.0,False,0.6811132075471698
GRHL2,Lymphoid,-0.12151018791335458,-0.3180003626497258,0.0775264075712947,0.878,0.596,91,2293.0,1.0,False,0.6811132075471698
ZNF671,Lymphoid,-0.1215386048238222,-0.3180297363038052,0.0775035381153315,0.8785,0.596,91,2293.0,1.0,False,0.6811132075471698
