gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Myeloid,-0.14527154804896125,-0.4446800268085251,0.12506313744598452,0.8305,0.673,39,2272.0,1.0,False,0.48345283018867924
CFLAR,Myeloid,-0.1121449342610413,-0.40774341596307556,0.21176912117238023,0.767,0.627,39,1861.0,1.0,False,0.48345283018867924
TEAD3,Myeloid,0.014090748335523484,-0.28500554741906964,0.32539173925958353,0.4615,0.5455,39,2219.0,1.0,False,0.48345283018867924
E2F2,Myeloid,0.10924408461540913,-0.18051405505917512,0.4287344709487344,0.244,0.6145,39,2178.0,1.0,False,0.48345283018867924
WWTR1,Myeloid,0.03319018481836744,-0.2690506312144809,0.3436714930154414,0.423,0.541,39,2027.0,1.0,False,0.48345283018867924
SNAI2,Myeloid,-0.027146794397584634,-0.35066307362645066,0.28244602768166116,0.5675,0.5385,39,2062.0,1.0,False,0.48345283018867924
CD44,Myeloid,0.014411091442200097,-0.31639333208498094,0.31114141723437516,0.461,0.5165,39,1933.0,1.0,False,0.4880186915887851
GAB2,Myeloid,-0.572171694370373,-0.7501711295688749,-0.3348587336492321,1.0,0.9995,39,1660.0,1.0,True,0.026999999999997026
VCL,Myeloid,0.012829217256690062,-0.2998601853861069,0.31656232626939795,0.4675,0.511,39,2203.0,1.0,False,0.489
TRIO,Myeloid,0.09692540891624413,-0.21292023956925604,0.37762261832386423,0.2825,0.605,39,2041.0,1.0,False,0.48345283018867924
CDH1,Myeloid,0.016841510308199248,-0.2873370171522786,0.3075352673144143,0.4575,0.5295,39,2018.0,1.0,False,0.48345283018867924
PHF23,Myeloid,-0.30988050290761165,-0.5721067970153286,-0.008173240033491957,0.9715,0.9105,39,1700.0,1.0,False,0.35242105263157886
FAM120A,Myeloid,-0.3274020633947464,-0.5972517204083774,-0.022648457298099556,0.979,0.9225,39,1956.0,1.0,False,0.35242105263157886
BCAR1,Myeloid,-0.15996287495711847,-0.4510503514465927,0.1684841446352996,0.8305,0.697,39,2229.0,1.0,False,0.48345283018867924
NCKAP1,Myeloid,-0.5216031927051586,-0.7290162225000569,-0.26451584667873074,0.9995,0.999,39,1452.0,1.0,True,0.043200000000000044
ELMO2,Myeloid,0.05786127960556409,-0.26561469395378245,0.33969925682743796,0.357,0.562,39,2117.0,1.0,False,0.48345283018867924
PKN2,Myeloid,-0.3461665320007288,-0.5894897192146817,-0.056896804314055416,0.99,0.9555,39,2074.0,1.0,False,0.3105000000000003
ERBB3,Myeloid,-0.25008604523067857,-0.5254128350971867,0.025963314891491285,0.954,0.841,39,1960.0,1.0,False,0.4399024390243903
YBX1,Myeloid,-0.0024459440061730398,-0.2934156771926988,0.3116978754336359,0.508,0.5255,39,1860.0,1.0,False,0.48345283018867924
KLF6,Myeloid,-0.005328974917272883,-0.33539402412498176,0.2695020553690084,0.508,0.5305,39,1933.0,1.0,False,0.48345283018867924
RHOA,Myeloid,-0.1514815403789519,-0.43871493118365246,0.16973200363610874,0.8235,0.684,39,2306.0,1.0,False,0.48345283018867924
CBFB,Myeloid,-0.1828923845633321,-0.48720098536051304,0.1043736788311933,0.8785,0.7375,39,1976.0,1.0,False,0.48345283018867924
ACSL4,Myeloid,0.12586682710862807,-0.18620459267981104,0.4202972376691725,0.2305,0.6465,39,1967.0,1.0,False,0.48345283018867924
AP1M1,Myeloid,-0.1020628096037238,-0.39477739153940794,0.22929729653068542,0.725,0.6225,39,1875.0,1.0,False,0.48345283018867924
TP63,Myeloid,-0.05146566157021387,-0.35265584464761174,0.2586209886905062,0.6165,0.5675,39,1903.0,1.0,False,0.48345283018867924
FERMT2,Myeloid,-0.1965773423538746,-0.48658530899612457,0.1067982786556958,0.883,0.7565,39,2025.0,1.0,False,0.48345283018867924
ACTB,Myeloid,-0.23938936789703913,-0.5038539103332447,0.06485086356772651,0.928,0.833,39,2272.0,1.0,False,0.4399024390243903
FGFR1,Myeloid,0.02077455591835453,-0.2881200838091899,0.330026667248549,0.4515,0.545,39,2095.0,1.0,False,0.48345283018867924
FDFT1,Myeloid,0.1381741606670528,-0.18492462015713018,0.40827345199442866,0.2035,0.6705,39,1867.0,1.0,False,0.48345283018867924
ITGB5,Myeloid,0.16634472658056954,-0.1553567570064005,0.442694519158249,0.1615,0.721,39,2244.0,1.0,False,0.48345283018867924
GRHL2,Myeloid,-0.257419672839596,-0.5299453945707833,0.062165097636921685,0.9425,0.858,39,1694.0,1.0,False,0.41886486486486474
ZNF671,Myeloid,-0.31130396195785504,-0.5861835604169325,-0.04056515458165805,0.9775,0.935,39,1794.0,1.0,False,0.334285714285714
MECOM,Myeloid,0.005408520088232893,-0.2956250783883345,0.31273272796409457,0.4845,0.527,39,2266.0,1.0,False,0.48345283018867924
PXN,Myeloid,0.15759411465966122,-0.172791459594349,0.436023478275819,0.159,0.696,39,2089.0,1.0,False,0.48345283018867924
HECTD1,Myeloid,0.05829273870200535,-0.268891904213298,0.3599224597045154,0.353,0.548,39,2137.0,1.0,False,0.48345283018867924
EZR,Myeloid,-0.11079546530392528,-0.421961334642188,0.1949448201506503,0.732,0.633,39,1889.0,1.0,False,0.48345283018867924
BAMBI,Myeloid,-0.24878988268794247,-0.5275146290315438,0.060805669522850936,0.939,0.839,39,1732.0,1.0,False,0.4399024390243903
MTAP,Myeloid,-0.46181589590958594,-0.6868770505840764,-0.18645526220154013,1.0,0.9925,39,1727.0,1.0,False,0.10799999999999929
EP300,Myeloid,-0.3074266746979202,-0.5885013561931456,-0.02721854679642771,0.9735,0.9165,39,2048.0,1.0,False,0.35242105263157886
PSMB5,Myeloid,-0.4795060859555552,-0.6931142779062576,-0.19987914510846277,1.0,0.9955,39,1807.0,1.0,False,0.08836363636363535
CDC25B,Myeloid,-0.4394306667881728,-0.6981046411850595,-0.17848534651790876,0.9975,0.9845,39,1845.0,1.0,False,0.17621052631578898
FERMT1,Myeloid,0.07081689781701184,-0.23483424919940216,0.39837180702757946,0.319,0.569,39,1864.0,1.0,False,0.48345283018867924
SMAD7,Myeloid,0.2179290255999341,-0.10085880186293306,0.502265816868025,0.0915,0.8025,39,1932.0,1.0,False,0.48345283018867924
PIM2,Myeloid,-0.37213696805436725,-0.6335790039205003,-0.09259484713813437,0.99,0.9605,39,1580.0,1.0,False,0.30471428571428555
KLF5,Myeloid,-0.14105053319500394,-0.437057868473763,0.17000774368156613,0.8015,0.6625,39,1994.0,1.0,False,0.48345283018867924
ELMO3,Myeloid,0.042718492773247574,-0.2720234325050778,0.3427519405263466,0.387,0.531,39,2152.0,1.0,False,0.48345283018867924
ESRP2,Myeloid,0.013789652145919096,-0.2689593258338893,0.34182331144464806,0.468,0.5285,39,1988.0,1.0,False,0.48345283018867924
TRPS1,Myeloid,-0.29717836424502586,-0.5759394949628325,-0.005086259141213356,0.9715,0.913,39,1962.0,1.0,False,0.35242105263157886
CCNE1,Myeloid,-0.45688295029658677,-0.6829983891987073,-0.21115909925851944,0.9995,0.993,39,1650.0,1.0,False,0.10799999999999929
