gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Ovary/Fallopian Tube,-0.0720827330611159,-0.3160311109991074,0.17320848566870328,0.706,0.503,56,2376.0,1.0,False,0.5569999999999999
CFLAR,Ovary/Fallopian Tube,-0.3953036560505122,-0.6046759151628842,-0.1749223631962833,0.997,0.99,56,1889.0,1.0,False,0.05023255813953493
TEAD3,Ovary/Fallopian Tube,-0.11874096826970831,-0.3760521940778028,0.14026301235551641,0.8065,0.6075,56,1820.0,1.0,False,0.5210181818181818
E2F2,Ovary/Fallopian Tube,8.089433118083078e-05,-0.26007578356701067,0.2596020351503232,0.5,0.4635,56,2425.0,1.0,False,0.5569999999999999
WWTR1,Ovary/Fallopian Tube,-0.11561602780457117,-0.36518032941677,0.13698635353273136,0.8,0.602,56,2566.0,1.0,False,0.5210181818181818
SNAI2,Ovary/Fallopian Tube,-0.1998354976309673,-0.4391050925022269,0.05450392107018054,0.935,0.7835,56,2284.0,1.0,False,0.4066434782608696
CD44,Ovary/Fallopian Tube,-0.2534322959534569,-0.4768503573543588,0.007585510160902809,0.9695,0.889,56,2130.0,1.0,False,0.27245454545454545
GAB2,Ovary/Fallopian Tube,-0.18010411631481293,-0.40669856844213625,0.0818455806952445,0.923,0.77,56,2036.0,1.0,False,0.41670000000000007
VCL,Ovary/Fallopian Tube,0.12729712700821538,-0.13749289168170842,0.3677536786403224,0.1555,0.627,56,1878.0,1.0,False,0.5099240506329114
TRIO,Ovary/Fallopian Tube,-0.1290900575836113,-0.3701898153854435,0.13662673732949782,0.838,0.631,56,1965.0,1.0,False,0.5099240506329114
CDH1,Ovary/Fallopian Tube,-0.49324401175791033,-0.6774375536572836,-0.29145932912138206,1.0,1.0,56,1697.0,1.0,True,0.0
PHF23,Ovary/Fallopian Tube,-0.24000631721129373,-0.4645584874968298,0.014163696540318682,0.96,0.866,56,2026.0,1.0,False,0.3079148936170213
FAM120A,Ovary/Fallopian Tube,-0.17398750401509638,-0.45247938885330896,0.06908803194481417,0.91,0.741,56,2268.0,1.0,False,0.43367441860465117
BCAR1,Ovary/Fallopian Tube,-0.1029581757546798,-0.33331238190308343,0.16297877142480566,0.769,0.581,56,2371.0,1.0,False,0.5368235294117647
NCKAP1,Ovary/Fallopian Tube,-0.18168320570663443,-0.42266738121051756,0.0774696601203706,0.9135,0.743,56,2113.0,1.0,False,0.43367441860465117
ELMO2,Ovary/Fallopian Tube,-0.04986746435722375,-0.30786942541499457,0.21244624950785984,0.6505,0.4925,56,1581.0,1.0,False,0.5569999999999999
PKN2,Ovary/Fallopian Tube,-0.15245905548408933,-0.388109154909023,0.10529162522079072,0.88,0.6875,56,1976.0,1.0,False,0.4753521126760563
ERBB3,Ovary/Fallopian Tube,-0.2585047777858835,-0.4887754259103556,-0.007758725076364714,0.9785,0.8985,56,2256.0,1.0,False,0.2641445783132531
YBX1,Ovary/Fallopian Tube,-0.028195399222331857,-0.30260993138250475,0.23798013484210268,0.5805,0.481,56,2519.0,1.0,False,0.5569999999999999
KLF6,Ovary/Fallopian Tube,-0.40201181664368435,-0.6051455612639927,-0.1753755968143924,0.9995,0.9915,56,1529.0,1.0,True,0.04589999999999975
RHOA,Ovary/Fallopian Tube,-0.3081590724082337,-0.5167443864788166,-0.024187592172083994,0.986,0.934,56,2065.0,1.0,False,0.20078873239436604
CBFB,Ovary/Fallopian Tube,-0.18677418722165506,-0.43220116177494416,0.0684685227683619,0.922,0.7685,56,2164.0,1.0,False,0.41670000000000007
ACSL4,Ovary/Fallopian Tube,-0.37410006908769444,-0.5945068470264427,-0.14537326748124307,0.9965,0.9835,56,2035.0,1.0,False,0.07273469387755084
AP1M1,Ovary/Fallopian Tube,-0.1051783071942777,-0.37669020224829536,0.14645085349789366,0.791,0.5775,56,1842.0,1.0,False,0.5368235294117647
TP63,Ovary/Fallopian Tube,-0.057985450611671874,-0.3087479493297835,0.19807621414465681,0.679,0.491,56,2455.0,1.0,False,0.5569999999999999
FERMT2,Ovary/Fallopian Tube,-0.10502816953392069,-0.3470802866108587,0.16411498226510002,0.787,0.565,56,2293.0,1.0,False,0.54
ACTB,Ovary/Fallopian Tube,-0.25022471597557727,-0.4683530997972865,0.016007800506661285,0.9695,0.8815,56,1888.0,1.0,False,0.2844000000000001
FGFR1,Ovary/Fallopian Tube,-0.2501878956596,-0.4830160446170322,0.0006796506686843617,0.9685,0.883,56,1887.0,1.0,False,0.2839550561797753
FDFT1,Ovary/Fallopian Tube,-0.04080964014688826,-0.2933015393857097,0.2345097108923908,0.6185,0.4665,56,2204.0,1.0,False,0.5569999999999999
ITGB5,Ovary/Fallopian Tube,-0.21912994598632293,-0.47590568033993863,0.034117904974470425,0.9455,0.8235,56,2157.0,1.0,False,0.3696923076923078
