gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Pancreas,-0.24569309021701613,-0.5124716217319034,0.04180708829318269,0.95,0.847,45,1731.0,1.0,False,0.33255445544554446
CFLAR,Pancreas,-0.4718384170021557,-0.6740536640834627,-0.22573570848620234,0.9995,0.998,45,2021.0,1.0,True,0.043200000000000044
TEAD3,Pancreas,-0.38199697637484875,-0.6309907564141091,-0.13793742286650423,0.9975,0.978,45,1963.0,1.0,False,0.13135135135135115
E2F2,Pancreas,-0.07052344565305388,-0.3645235240735532,0.19930526453584574,0.693,0.536,45,1930.0,1.0,False,0.505
WWTR1,Pancreas,-0.20999798783617554,-0.4630506824823115,0.08405778818823939,0.911,0.775,45,1846.0,1.0,False,0.39924590163934437
SNAI2,Pancreas,-0.45862520925445593,-0.6718243923830702,-0.21793339298007997,0.9995,0.995,45,2020.0,1.0,False,0.06750000000000006
CD44,Pancreas,-0.24943039815300835,-0.48637780502554384,0.03574790517770565,0.9585,0.851,45,2237.0,1.0,False,0.33255445544554446
GAB2,Pancreas,-0.3033866774425832,-0.5498262768523337,-0.029179202812442073,0.982,0.9255,45,1814.0,1.0,False,0.2475692307692308
VCL,Pancreas,0.07127699739764726,-0.23847422235492743,0.3422861355538933,0.318,0.5605,45,2306.0,1.0,False,0.505
TRIO,Pancreas,-0.29364267100027375,-0.5413341373171099,-0.019035809352100974,0.975,0.9015,45,1760.0,1.0,False,0.2879999999999999
CDH1,Pancreas,-0.2518592435021836,-0.5015807802668277,0.029596898588950538,0.9605,0.8585,45,1866.0,1.0,False,0.33255445544554446
PHF23,Pancreas,-0.1904982787782595,-0.46011655803269447,0.11622129165167983,0.9,0.775,45,1880.0,1.0,False,0.39924590163934437
FAM120A,Pancreas,-0.0010935069964234378,-0.2927063190755985,0.30587767845156066,0.503,0.5205,45,1999.0,1.0,False,0.505
BCAR1,Pancreas,-0.01508498459345009,-0.3241921967233315,0.2670502038780824,0.5415,0.5055,45,1986.0,1.0,False,0.505
NCKAP1,Pancreas,0.06475501432037167,-0.2112343502102998,0.3342746452448915,0.3335,0.542,45,2242.0,1.0,False,0.505
ELMO2,Pancreas,-0.2771316163621246,-0.5312150330176995,-0.0066501316930058785,0.9745,0.898,45,2206.0,1.0,False,0.2898947368421052
PKN2,Pancreas,-0.37277707998530113,-0.6071616351797862,-0.10543606733917038,0.993,0.9705,45,1680.0,1.0,False,0.15929999999999986
ERBB3,Pancreas,-0.02290132194074168,-0.3174650019005188,0.26255979766169424,0.5595,0.5005,45,2197.0,1.0,False,0.505
YBX1,Pancreas,0.053715887906343296,-0.24709623989668256,0.3382437783996737,0.36,0.529,45,2175.0,1.0,False,0.505
KLF6,Pancreas,-0.0824612637128502,-0.3510816335780999,0.1952420686526537,0.722,0.568,45,2268.0,1.0,False,0.505
RHOA,Pancreas,-0.28913981992282234,-0.5365016534935068,-0.03068195811142166,0.978,0.9215,45,2211.0,1.0,False,0.2569090909090909
CBFB,Pancreas,-0.11967754209524448,-0.4136601700667519,0.16060764061968746,0.7755,0.632,45,2157.0,1.0,False,0.505
ACSL4,Pancreas,-0.02515445466783353,-0.3109684349494745,0.27186212773070495,0.5575,0.535,45,2026.0,1.0,False,0.505
AP1M1,Pancreas,-0.22515395283250544,-0.4808992823830083,0.0577547153484268,0.94,0.819,45,1966.0,1.0,False,0.3554181818181819
TP63,Pancreas,-0.6804822988142617,-0.8219488713705565,-0.4994277597078012,1.0,1.0,45,1044.0,1.0,True,0.0
FERMT2,Pancreas,-0.47061421917910695,-0.6962255761584248,-0.2559815754424268,1.0,0.997,45,1690.0,1.0,True,0.049846153846153894
ACTB,Pancreas,-0.1396838739406386,-0.4169798995933547,0.15526781312748605,0.818,0.6625,45,1906.0,1.0,False,0.49402702702702705
FGFR1,Pancreas,-0.25248904655052207,-0.5270935853395513,0.011581829296178459,0.9605,0.853,45,2030.0,1.0,False,0.33255445544554446
FDFT1,Pancreas,-0.2609773937385984,-0.5160092416890509,0.004971706936283349,0.9725,0.874,45,2286.0,1.0,False,0.32399999999999984
ITGB5,Pancreas,-0.3980693454811983,-0.6439726296996298,-0.16850193490354037,0.996,0.988,45,2068.0,1.0,False,0.11781818181818193
GRHL2,Pancreas,-0.5940764795566827,-0.7937629152828802,-0.4022923678887267,1.0,1.0,45,1553.0,1.0,True,0.0
ZNF671,Pancreas,-0.14025726353622422,-0.4010714679193501,0.1571669883251383,0.808,0.649,45,1828.0,1.0,False,0.49764705882352944
MECOM,Pancreas,-0.15764953741581603,-0.4385434245467504,0.12085404020429946,0.858,0.6835,45,2024.0,1.0,False,0.47806993006993004
PXN,Pancreas,0.18366489536897945,-0.10341601962891223,0.4702160850670969,0.117,0.756,45,2202.0,1.0,False,0.4166929133858268
HECTD1,Pancreas,-0.16719670442978155,-0.45420791538647304,0.10793961925872142,0.879,0.7045,45,1971.0,1.0,False,0.4625217391304348
EZR,Pancreas,-0.560899451979259,-0.745027498783672,-0.3598279749749971,1.0,0.9995,45,1515.0,1.0,True,0.017999999999998018
