gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Pleura,0.14189467346546758,-0.28700068733368767,0.5439148187484553,0.269,0.7055,21,1829.0,1.0,False,0.36118867924528303
CFLAR,Pleura,-0.13497277395669144,-0.5333591845257206,0.2783943836295648,0.736,0.7155,21,2172.0,1.0,False,0.36118867924528303
TEAD3,Pleura,-0.40995162082427583,-0.7290754246161604,-0.03695444740259135,0.9715,0.9385,21,1595.0,1.0,False,0.36118867924528303
E2F2,Pleura,-0.2398319456736122,-0.6252345542240867,0.16321512056472365,0.8605,0.798,21,1829.0,1.0,False,0.36118867924528303
WWTR1,Pleura,-0.1325718093645489,-0.5264055157843062,0.30428193390579117,0.729,0.716,21,1645.0,1.01,False,0.36118867924528303
SNAI2,Pleura,-0.44485805541211976,-0.7521982358373442,-0.07822026197949428,0.9795,0.959,21,1832.0,1.0,False,0.36118867924528303
CD44,Pleura,-0.08177341365968732,-0.50936351028811,0.3086603058234376,0.6495,0.67,21,1556.0,1.0,False,0.36118867924528303
GAB2,Pleura,-0.1774601623910559,-0.550810431964484,0.2683230804706149,0.792,0.7415,21,1967.0,1.0,False,0.36118867924528303
VCL,Pleura,0.027227062116294665,-0.378836152272719,0.4473278558699383,0.4545,0.6585,21,1829.0,1.0,False,0.36118867924528303
TRIO,Pleura,-0.5192101668306668,-0.7969006389687276,-0.19083540338971217,0.993,0.987,21,1409.0,1.0,False,0.19439999999999935
CDH1,Pleura,-0.02723811329947326,-0.43736627864473676,0.38556249692450684,0.5475,0.638,21,1777.0,1.0,False,0.36368372093023255
PHF23,Pleura,-0.36899688530818003,-0.6740902272990941,0.06343527389206538,0.9485,0.9145,21,1804.0,1.0,False,0.36118867924528303
FAM120A,Pleura,-0.2937476755744981,-0.6467972473853456,0.09035277780530748,0.918,0.853,21,1749.0,1.0,False,0.36118867924528303
BCAR1,Pleura,0.15781172769570995,-0.2423674345629918,0.5555166347449101,0.2375,0.721,21,2009.0,1.01,False,0.36118867924528303
NCKAP1,Pleura,0.07935248042822829,-0.34783353751473745,0.4674501942443534,0.3525,0.668,21,2150.0,1.0,False,0.36118867924528303
ELMO2,Pleura,-0.22777613680037676,-0.6091997886514726,0.17669571847541254,0.848,0.7835,21,1723.0,1.0,False,0.36118867924528303
PKN2,Pleura,0.09334102026291202,-0.31263250366760514,0.4984473059490484,0.338,0.6855,21,1836.0,1.0,False,0.36118867924528303
