gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Prostate,-0.682631512163344,-0.9439579191652481,-0.2185923617604668,0.991,0.9855,10,1114.0,1.0,False,0.2160000000000002
CFLAR,Prostate,0.18608873125679337,-0.40949263638745753,0.7029567515131516,0.2885,0.7945,10,1259.0,1.0,False,0.2530434782608696
TEAD3,Prostate,0.14408682393139693,-0.4361898681316443,0.7106125168820052,0.326,0.7835,10,1354.0,1.0,False,0.2530434782608696
E2F2,Prostate,-0.19066836364991438,-0.7235142006072444,0.4025006153145323,0.7325,0.792,10,1311.0,1.0,False,0.2530434782608696
WWTR1,Prostate,-0.39128890410013173,-0.8018704804754171,0.16824893444380473,0.8905,0.8945,10,1620.0,1.0,False,0.2530434782608696
SNAI2,Prostate,-0.5010504832300469,-0.877405842192748,0.036261752455305496,0.9475,0.932,10,1326.0,1.0,False,0.2530434782608696
CD44,Prostate,-0.17287521964660202,-0.7405013034075929,0.3978449020696384,0.691,0.8045,10,1314.0,1.0,False,0.2530434782608696
GAB2,Prostate,-0.2409441120016671,-0.7292800020898769,0.36821640112254816,0.7835,0.8125,10,1418.0,1.0,False,0.2530434782608696
VCL,Prostate,-0.5723447968884828,-0.9249174330012204,-0.07437292754194896,0.968,0.9645,10,912.0,1.0,False,0.23759999999999987
TRIO,Prostate,-0.16033411579848922,-0.7685691935012153,0.3931600708094627,0.6995,0.775,10,1452.0,1.0,False,0.2530434782608696
CDH1,Prostate,-0.1330831992169945,-0.6816840837429392,0.39883069532473026,0.658,0.779,10,1486.0,1.0,False,0.2530434782608696
PHF23,Prostate,0.5098622898963283,-0.05660546379764758,0.8560509251613195,0.047,0.9385,10,1091.0,1.0,False,0.2530434782608696
FAM120A,Prostate,-0.19556712924920985,-0.7018432446994114,0.3937240570594607,0.7425,0.8045,10,1561.0,1.0,False,0.2530434782608696
BCAR1,Prostate,0.12975453054674724,-0.4496546866589087,0.6578068769316876,0.3405,0.7885,10,1585.0,1.0,False,0.2530434782608696
NCKAP1,Prostate,0.10764165304522766,-0.4312145990335845,0.6800520290399257,0.3655,0.771,10,1893.0,1.0,False,0.2530434782608696
ELMO2,Prostate,0.05787079736078071,-0.49590628029273714,0.5973072368788508,0.424,0.7375,10,1693.0,1.0,False,0.26249999999999996
