gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Skin,-0.2891416444848439,-0.4874486204709006,-0.0873541071218949,0.9955,0.963,73,1953.0,1.0,False,0.13499999999999993
CFLAR,Skin,-0.4111676514562036,-0.5898152013771902,-0.21047058889909115,1.0,0.9985,73,1725.0,1.0,True,0.014086956521738622
TEAD3,Skin,-0.32228055801366506,-0.522668349938511,-0.12268526373095501,1.0,0.98,73,2238.0,1.0,False,0.09191489361702136
E2F2,Skin,-0.09777239126633547,-0.3428589723609234,0.11000614066254388,0.787,0.5415,73,2133.0,1.0,False,0.5889176470588235
WWTR1,Skin,-0.20522480492256345,-0.4436348941187637,-0.0024634313135032393,0.9645,0.8385,73,1792.0,1.0,False,0.326018691588785
SNAI2,Skin,-0.4636127376495035,-0.6430752877754582,-0.27989794847776034,1.0,0.999,73,1666.0,1.0,True,0.010285714285714294
CD44,Skin,0.030587167901445222,-0.2050268975746557,0.24083428095554682,0.3945,0.4015,73,1976.0,1.0,False,0.6136822429906542
GAB2,Skin,-0.24347690639408115,-0.44577659447778806,-0.015613552724275837,0.982,0.909,73,2624.0,1.0,False,0.2533846153846155
VCL,Skin,-0.14843281582490903,-0.34635055319110325,0.10299027481233658,0.8955,0.6875,73,2156.0,1.0,False,0.49632352941176466
TRIO,Skin,-0.25719236554737795,-0.4777209162243263,-0.05766245498444139,0.989,0.926,73,2030.0,1.0,False,0.23505882352941163
CDH1,Skin,-0.3910423543916959,-0.581692552005683,-0.2033083111255849,1.0,0.996,73,2061.0,1.0,True,0.02787096774193551
PHF23,Skin,-0.3049995600627629,-0.5037224561100371,-0.09014726153074437,0.9955,0.964,73,2190.0,1.0,False,0.13499999999999993
FAM120A,Skin,-0.3246392654451774,-0.5252541313386665,-0.12068089597780768,0.998,0.982,73,2285.0,1.0,False,0.08640000000000007
BCAR1,Skin,-0.1699081769454415,-0.40817924949933726,0.04223179737593319,0.9135,0.7405,73,2478.0,1.0,False,0.4557073170731707
NCKAP1,Skin,-0.1334179413575799,-0.34249156841212347,0.09642253098487297,0.886,0.637,73,2133.0,1.0,False,0.5407448275862069
ELMO2,Skin,-0.06484036610639463,-0.27251454074985126,0.17408623752894026,0.7185,0.47,73,2314.0,1.0,False,0.6136822429906542
PKN2,Skin,-0.31299471194960127,-0.4987688888974209,-0.09701235128255892,0.9955,0.9715,73,2238.0,1.0,False,0.11838461538461527
ERBB3,Skin,0.10071433219564585,-0.1216679735569755,0.3209757009362648,0.2005,0.55,73,2228.0,1.0,False,0.5889176470588235
YBX1,Skin,-0.198553136795521,-0.41231111948121635,0.016957125287509367,0.96,0.817,73,1931.0,1.0,False,0.35934545454545463
KLF6,Skin,-0.09887215716528172,-0.30976054132248404,0.146336411131885,0.8105,0.5425,73,2085.0,1.0,False,0.5889176470588235
RHOA,Skin,-0.13742368784813808,-0.35082567170943474,0.10215051243502282,0.8705,0.656,73,2415.0,1.0,False,0.5232676056338027
CBFB,Skin,-0.13363612176279147,-0.33983850330215737,0.09774872097338538,0.8675,0.6285,73,2154.0,1.0,False,0.54288
ACSL4,Skin,-0.07978275467065177,-0.29937524545552696,0.16468432298373048,0.7535,0.5,73,2036.0,1.0,False,0.6136822429906542
AP1M1,Skin,-0.07072186607813755,-0.2898671035635616,0.15544899619928598,0.7205,0.475,73,2274.0,1.0,False,0.6136822429906542
TP63,Skin,-0.7947076228924962,-0.8718074532539846,-0.6994746059670605,1.0,1.0,73,1302.0,1.0,True,0.0
FERMT2,Skin,-0.4182307832214778,-0.5839019523842519,-0.20687697116255688,1.0,0.9965,73,1849.0,1.0,True,0.026068965517240986
ACTB,Skin,-0.1526804198151287,-0.37088259542157204,0.08712781302244776,0.8955,0.6925,73,2078.0,1.0,False,0.492
FGFR1,Skin,-0.20843654051134353,-0.4295598091165895,0.015007106117135516,0.963,0.8355,73,2017.0,1.0,False,0.32899999999999996
FDFT1,Skin,-0.15828278597640913,-0.3793747755438042,0.06941154088876766,0.906,0.707,73,2468.0,1.0,False,0.48478195488721804
ITGB5,Skin,-0.04508523391017996,-0.28337153137622956,0.16937370236318028,0.653,0.432,73,2144.0,1.0,False,0.6136822429906542
GRHL2,Skin,-0.5819240291071346,-0.7239727150229673,-0.43541168805577457,1.0,1.0,73,1665.0,1.0,True,0.0
ZNF671,Skin,-0.2832794336780826,-0.48860280657458244,-0.07809285880663785,0.996,0.947,73,2336.0,1.0,False,0.17887500000000017
MECOM,Skin,-0.15391921814695608,-0.3805861743820587,0.06840092119546659,0.9075,0.7025,73,1870.0,1.0,False,0.48478195488721804
PXN,Skin,0.003139989749195382,-0.2222071915511521,0.23364664012969527,0.4895,0.396,73,2302.0,1.0,False,0.6136822429906542
HECTD1,Skin,-0.29682059676466344,-0.49779751122980226,-0.06815074654095077,0.994,0.9535,73,2034.0,1.0,False,0.16199999999999995
EZR,Skin,-0.14831531131180617,-0.3691158325543402,0.06315284079750527,0.9,0.682,73,2490.0,1.0,False,0.5013722627737225
BAMBI,Skin,-0.04119963336838173,-0.26775758032392843,0.18356818049553425,0.636,0.4245,73,2324.0,1.0,False,0.6136822429906542
MTAP,Skin,-0.4232204014809535,-0.6103699872505848,-0.2425144802911196,1.0,0.998,73,2118.0,1.0,True,0.017280000000000014
EP300,Skin,-0.17507558197157924,-0.38616235633541884,0.05425828993010562,0.933,0.761,73,2190.0,1.0,False,0.43019999999999997
PSMB5,Skin,0.10249475621502713,-0.12808560646789052,0.32384900755460677,0.195,0.5565,73,2362.0,1.0,False,0.5889176470588235
CDC25B,Skin,-0.14327960759977554,-0.3667533548862321,0.06694300932480446,0.902,0.676,73,2485.0,1.0,False,0.5034820143884892
