gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Soft Tissue,-0.2107589372286851,-0.4882678607228578,0.0698643138110735,0.9175,0.799,45,1999.0,1.0,False,0.3752068965517241
CFLAR,Soft Tissue,-0.503119635241858,-0.6961733307188025,-0.2547033095510969,1.0,0.9985,45,1523.0,1.0,True,0.01799999999999935
TEAD3,Soft Tissue,-0.33063990939032306,-0.6022088452996603,-0.06624215624728486,0.985,0.9485,45,1717.0,1.0,False,0.17152941176470604
E2F2,Soft Tissue,-0.2836699651894601,-0.5414844856487715,-0.015235851925287314,0.9725,0.9,45,1895.0,1.0,False,0.2536744186046511
WWTR1,Soft Tissue,-0.36931626409466867,-0.6098485667843945,-0.10617637091023258,0.9945,0.971,45,2055.0,1.0,False,0.13050000000000012
SNAI2,Soft Tissue,-0.4861548317487143,-0.6971394366143819,-0.25282118655792196,1.0,0.9985,45,1567.0,1.0,True,0.01799999999999935
CD44,Soft Tissue,-0.4859750836522828,-0.6930170828310189,-0.2456469261367809,1.0,0.998,45,1865.0,1.0,True,0.021600000000000022
GAB2,Soft Tissue,-0.4907787026841279,-0.6931581585092172,-0.2647103065986584,0.9995,0.9965,45,1857.0,1.0,True,0.030857142857142885
VCL,Soft Tissue,-0.03170915553062781,-0.32615314521859856,0.2481579999010608,0.5795,0.4965,45,2032.0,1.0,False,0.512112676056338
TRIO,Soft Tissue,-0.33693564434690537,-0.5989090899503628,-0.06005079292882565,0.988,0.9445,45,1925.0,1.0,False,0.1737391304347826
CDH1,Soft Tissue,-0.1154312270372101,-0.3830308179447577,0.19666781337839323,0.783,0.624,45,2128.0,1.0,False,0.5098846153846154
PHF23,Soft Tissue,-0.3152444196507118,-0.574251483408061,-0.03742746576813705,0.981,0.937,45,1813.0,1.0,False,0.18899999999999983
FAM120A,Soft Tissue,0.026302842029045204,-0.2729194130281827,0.3006110080227846,0.43,0.5205,45,1947.0,1.0,False,0.5098846153846154
BCAR1,Soft Tissue,-0.12073452226721507,-0.38470775313734423,0.17752636812773348,0.792,0.6465,45,1949.0,1.0,False,0.50904
NCKAP1,Soft Tissue,-0.08530837015622716,-0.3793914552898039,0.19125901284103564,0.7375,0.5675,45,2113.0,1.0,False,0.5098846153846154
