gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Thyroid,-0.4065107784314149,-0.8171542913019463,0.15024734183237376,0.906,0.9075,11,1475.0,1.0,False,0.265
CFLAR,Thyroid,-0.4857815044958186,-0.8544374159193395,0.023314311878332328,0.9485,0.931,11,1379.0,1.0,False,0.265
TEAD3,Thyroid,0.18218431994909712,-0.35892509139888107,0.697715364111416,0.269,0.783,11,1518.0,1.0,False,0.265
E2F2,Thyroid,-0.31854917229056157,-0.7754484935912065,0.2576266743437854,0.85,0.8585,11,1288.0,1.0,False,0.265
WWTR1,Thyroid,-0.06267265363592289,-0.6293074327159554,0.48841258464404724,0.575,0.766,11,1518.0,1.0,False,0.265
SNAI2,Thyroid,-0.057361050017267656,-0.6136825947321267,0.5074093866369129,0.564,0.7605,11,1525.0,1.0,False,0.265
CD44,Thyroid,0.01308344270867201,-0.5288846138437899,0.5499532323156402,0.4825,0.742,11,1786.0,1.0,False,0.265
GAB2,Thyroid,-0.41585037383809487,-0.8393361591480333,0.13443031483765444,0.9145,0.9055,11,1321.0,1.0,False,0.265
VCL,Thyroid,0.30625349691839876,-0.2689603042174382,0.7701701191140404,0.1635,0.8455,11,1334.0,1.0,False,0.265
TRIO,Thyroid,-0.6404598633878857,-0.9214860147152675,-0.1732637001836017,0.985,0.978,11,1091.0,1.0,False,0.265
CDH1,Thyroid,0.07518055071293928,-0.5046319990286878,0.5715220336908509,0.3985,0.756,11,1831.0,1.0,False,0.265
PHF23,Thyroid,-0.2681738991636906,-0.7619267534815519,0.2672466759316172,0.817,0.828,11,1645.0,1.0,False,0.265
FAM120A,Thyroid,-0.24534555534991995,-0.7375162785712974,0.31160289254673423,0.7845,0.8105,11,1267.0,1.0,False,0.265
BCAR1,Thyroid,-0.09343567384527102,-0.6298213405089579,0.47796648635325956,0.6155,0.7665,11,2007.0,1.0,False,0.265
NCKAP1,Thyroid,0.07609189448433074,-0.5021216395787311,0.602408478290595,0.4035,0.766,11,1370.0,1.0,False,0.265
ELMO2,Thyroid,-0.6776838610640382,-0.9252407949504218,-0.24449369514897468,0.9905,0.987,11,1087.0,1.0,False,0.265
PKN2,Thyroid,-0.06167651354332246,-0.5954980209970693,0.4792780358627078,0.5865,0.7535,11,1444.0,1.0,False,0.265
ERBB3,Thyroid,-0.3729933475207893,-0.796410167494233,0.1533893324385247,0.9085,0.891,11,1380.0,1.0,False,0.265
YBX1,Thyroid,-0.666844029454302,-0.943508773174633,-0.23822095160510814,0.991,0.9855,11,928.0,1.0,False,0.265
KLF6,Thyroid,-0.09838840538002758,-0.6192489051514158,0.4916907430108042,0.626,0.76,11,1583.0,1.0,False,0.265
RHOA,Thyroid,-0.10588388883763664,-0.645743977999323,0.44033730713452024,0.6325,0.7615,11,1579.0,1.0,False,0.265
CBFB,Thyroid,-0.3618577411538162,-0.8588852457789127,0.1884124486771921,0.873,0.8785,11,1535.0,1.0,False,0.265
ACSL4,Thyroid,0.13832263224211272,-0.44294184444412066,0.654661991140562,0.335,0.7745,11,1683.0,1.0,False,0.265
AP1M1,Thyroid,0.13206037436034113,-0.38977447202636295,0.6835583186103462,0.332,0.77,11,1765.0,1.0,False,0.265
TP63,Thyroid,0.08521653934002071,-0.4713916363184931,0.621180060977637,0.3935,0.752,11,1919.0,1.0,False,0.265
FERMT2,Thyroid,-0.07206394855322354,-0.6086055101512007,0.49783894880928514,0.5865,0.7735,11,1554.0,1.0,False,0.265
ACTB,Thyroid,0.5882698460319501,0.09245361196554747,0.8832262776175803,0.022,0.969,11,1072.0,1.0,False,0.265
FGFR1,Thyroid,0.24985752199796774,-0.303029934093503,0.7244575790323209,0.2085,0.8255,11,1616.0,1.0,False,0.265
FDFT1,Thyroid,-0.35973431378920695,-0.7869719372190556,0.19211722251133634,0.892,0.8835,11,1568.0,1.0,False,0.265
ITGB5,Thyroid,-0.11126701338270362,-0.6421645118072303,0.4365364252955348,0.633,0.7695,11,1691.0,1.0,False,0.265
GRHL2,Thyroid,-0.24940020963572565,-0.7409287872657209,0.2951031818408325,0.793,0.8115,11,1491.0,1.0,False,0.265
ZNF671,Thyroid,-0.45239488945709394,-0.8626144235751032,0.061915003038723215,0.936,0.923,11,1268.0,1.0,False,0.265
MECOM,Thyroid,0.00184771606044154,-0.5854278512983555,0.535865865925188,0.4975,0.738,11,1546.0,1.0,False,0.265
PXN,Thyroid,0.2763390573301937,-0.2575168384201501,0.7884062330777881,0.1755,0.84,11,1580.0,1.0,False,0.265
HECTD1,Thyroid,-0.4078724900718036,-0.7970693224218655,0.12840231038840888,0.913,0.8995,11,1390.0,1.01,False,0.265
EZR,Thyroid,0.08033225906698593,-0.4914792080892647,0.5913755808551893,0.4055,0.7655,11,1588.0,1.0,False,0.265
BAMBI,Thyroid,0.18020361997262557,-0.3763759549136397,0.6984153674775508,0.2875,0.8005,11,1762.0,1.0,False,0.265
MTAP,Thyroid,-0.524073573918432,-0.8790314081706736,-0.0425295341889016,0.9685,0.959,11,1156.0,1.0,False,0.265
EP300,Thyroid,0.00949087312632435,-0.49576682180570386,0.6065520147069103,0.4855,0.7455,11,1723.0,1.0,False,0.265
PSMB5,Thyroid,0.10285932982985646,-0.44280088878896345,0.6508157950996363,0.3675,0.753,11,1621.0,1.0,False,0.265
CDC25B,Thyroid,-0.6344395264640049,-0.9124439741251753,-0.18517133152347748,0.987,0.982,11,993.0,1.0,False,0.265
FERMT1,Thyroid,0.025359605991647993,-0.47797072981043126,0.6007462746357735,0.463,0.741,11,1329.0,1.0,False,0.265
SMAD7,Thyroid,0.06489082595537243,-0.46563158465164434,0.6170749310850954,0.4225,0.761,11,1499.0,1.0,False,0.265
