gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Uterus,-0.49317108729941694,-0.7159203904605134,-0.20828703594906184,0.9985,0.995,34,1572.0,1.0,False,0.05400000000000005
CFLAR,Uterus,-0.5561185706045861,-0.7695522864912199,-0.2990813434299713,1.0,0.999,34,1554.0,1.0,True,0.018000000000000016
TEAD3,Uterus,0.037206308642254715,-0.2978468204986115,0.368894708647034,0.4025,0.576,34,1903.0,1.0,False,0.45168224299065424
E2F2,Uterus,-0.291131026435698,-0.6106043131376946,0.01471918635181746,0.9525,0.889,34,1640.0,1.0,False,0.35576470588235287
WWTR1,Uterus,-0.2638294005773712,-0.5586634363594767,0.03672358542396115,0.943,0.841,34,2005.0,1.0,False,0.4050000000000001
SNAI2,Uterus,-0.5052748961470989,-0.7179719170781707,-0.22503503803816333,0.9985,0.996,34,1512.0,1.0,True,0.04800000000000004
CD44,Uterus,-0.06428925257596099,-0.39960168503289223,0.2629738764970677,0.638,0.609,34,1856.0,1.0,False,0.45168224299065424
GAB2,Uterus,-0.3853879111181997,-0.657422259139095,-0.08788786972550167,0.986,0.96,34,1907.0,1.0,False,0.19636363636363655
VCL,Uterus,-0.038277344222641174,-0.35874873147502656,0.2968982345183362,0.602,0.5695,34,1867.0,1.0,False,0.45168224299065424
TRIO,Uterus,-0.21126218074400915,-0.5065588395328176,0.13262834235824905,0.8905,0.7835,34,1846.0,1.0,False,0.4498434782608696
CDH1,Uterus,0.08141539221287719,-0.24712216500167855,0.4142331924790814,0.3145,0.6075,34,2124.0,1.0,False,0.45168224299065424
PHF23,Uterus,0.3076116247858758,-0.01342199445823683,0.593434754212925,0.0395,0.9015,34,1660.0,1.0,False,0.3324375000000001
FAM120A,Uterus,-0.15658893672523466,-0.4812979840418801,0.16161359798512787,0.8145,0.7045,34,1911.0,1.0,False,0.45168224299065424
BCAR1,Uterus,-0.06067055951453201,-0.39008012492371685,0.2706581118108744,0.629,0.5915,34,2403.0,1.0,False,0.45168224299065424
NCKAP1,Uterus,0.10633002129815039,-0.21114653105610875,0.41381033199364947,0.262,0.6285,34,2011.0,1.0,False,0.45168224299065424
ELMO2,Uterus,-0.2098117025898475,-0.5018386703993996,0.13292603260208002,0.8825,0.7725,34,1847.0,1.0,False,0.4498434782608696
PKN2,Uterus,0.10257876019074574,-0.23664033511058213,0.4272033308903129,0.2835,0.6415,34,2000.0,1.0,False,0.45168224299065424
ERBB3,Uterus,-0.3676015226213042,-0.6352942942746493,-0.06486101610549572,0.988,0.958,34,1800.0,1.0,False,0.20160000000000017
YBX1,Uterus,-0.24717167008044214,-0.5408249684174085,0.06001939473997586,0.928,0.8355,34,2044.0,1.0,False,0.4050000000000001
KLF6,Uterus,-0.21535422464951282,-0.5227495955053325,0.10399840249563574,0.9035,0.7875,34,2210.0,1.0,False,0.4498434782608696
RHOA,Uterus,0.07401667632451758,-0.2511416973955623,0.398363097214242,0.3395,0.608,34,1661.0,1.0,False,0.45168224299065424
CBFB,Uterus,0.08107464395480612,-0.2574252959765986,0.41083329688239734,0.3195,0.6035,34,1977.0,1.0,False,0.45168224299065424
ACSL4,Uterus,-0.1955925845305195,-0.5253960922148577,0.09679376935753092,0.893,0.7685,34,2201.0,1.0,False,0.4498434782608696
AP1M1,Uterus,-0.27780310974758904,-0.5535196806750864,0.05782750232528744,0.9375,0.8605,34,1810.0,1.0,False,0.4050000000000001
TP63,Uterus,-0.7253483535700458,-0.8614659455414679,-0.5424012788987684,1.0,1.0,34,1088.0,1.0,True,0.0
FERMT2,Uterus,-0.20472278886911927,-0.5074474935855484,0.11053121291688073,0.8935,0.7725,34,1775.0,1.0,False,0.4498434782608696
ACTB,Uterus,-0.18257276858267643,-0.494033139987677,0.13214435895774512,0.8495,0.7285,34,1760.0,1.0,False,0.45168224299065424
FGFR1,Uterus,-0.02156057519995569,-0.40021819210057125,0.2648194813103919,0.5635,0.5465,34,1773.0,1.0,False,0.45560930232558144
FDFT1,Uterus,-0.4803862487054576,-0.7173491832428753,-0.19649554563462424,0.9985,0.993,34,1754.0,1.0,False,0.06872727272727279
ITGB5,Uterus,-0.3442376714719466,-0.6134647966588902,-0.04300246409813985,0.9795,0.9335,34,1898.0,1.0,False,0.26905263157894715
GRHL2,Uterus,-0.5054854616839346,-0.7315163421676325,-0.20955725862281266,0.998,0.9945,34,1732.0,1.0,False,0.05657142857142805
ZNF671,Uterus,-0.17969553317627818,-0.49446732763378126,0.13626772181283608,0.8615,0.743,34,1603.0,1.0,False,0.45168224299065424
MECOM,Uterus,-0.6881381654090726,-0.852982754210925,-0.4954490326508059,1.0,1.0,34,1229.0,1.0,True,0.0
PXN,Uterus,-0.019148424111439716,-0.3539179259384493,0.3182576507291277,0.5495,0.5525,34,1939.0,1.0,False,0.45168224299065424
HECTD1,Uterus,0.040816588633840634,-0.2761789804410016,0.3601625765797998,0.395,0.57,34,1886.0,1.0,False,0.45168224299065424
EZR,Uterus,-0.4714724906394101,-0.7065133547373414,-0.1964488349610205,0.999,0.995,34,1505.0,1.0,False,0.05400000000000005
BAMBI,Uterus,-0.08500699258781538,-0.433520788056442,0.24237117594784086,0.685,0.6115,34,1860.0,1.0,False,0.45168224299065424
MTAP,Uterus,-0.13118375432429985,-0.46931398348508324,0.19055197625918763,0.7825,0.6755,34,1747.0,1.0,False,0.45168224299065424
EP300,Uterus,-0.028570463532951423,-0.37656710007929334,0.29765823083987053,0.552,0.578,34,1899.0,1.0,False,0.45168224299065424
PSMB5,Uterus,0.3286991314388671,0.009248566830457161,0.6116730992174821,0.031,0.9245,34,1573.0,1.0,False,0.2811724137931035
CDC25B,Uterus,-0.35089135083871625,-0.6323571686441265,-0.04482800366303913,0.982,0.9295,34,1905.0,1.0,False,0.26905263157894715
FERMT1,Uterus,-0.11669785771597313,-0.4417689390507857,0.2074525156058158,0.7535,0.648,34,2270.0,1.0,False,0.45168224299065424
SMAD7,Uterus,-0.11464388037881315,-0.4493901151653903,0.20516959246682442,0.734,0.649,34,2221.0,1.0,False,0.45168224299065424
PIM2,Uterus,-0.1875284072176278,-0.497821507025332,0.13790989769611905,0.8645,0.7505,34,1490.0,1.0,False,0.45168224299065424
KLF5,Uterus,-0.5612407095432513,-0.7766476841800558,-0.30537406138079953,0.998,0.9965,34,1434.0,1.0,True,0.04447058823529345
ELMO3,Uterus,-0.22643182156202243,-0.5072597612516314,0.09929733803073337,0.916,0.7915,34,2276.0,1.0,False,0.4498434782608696
ESRP2,Uterus,-0.33391640536690836,-0.5965667072927103,-0.028388348787786788,0.976,0.93,34,1815.0,1.0,False,0.26905263157894715
TRPS1,Uterus,-0.1847942748997574,-0.49718468805319566,0.1315197618350199,0.863,0.742,34,2263.0,1.0,False,0.45168224299065424
CCNE1,Uterus,-0.4718126248383654,-0.7083023899109626,-0.17833017832057724,0.9955,0.9895,34,1625.0,1.0,False,0.09449999999999958
CDK6,Uterus,-0.2712103540848635,-0.5666037097112071,0.05527220878743444,0.9385,0.859,34,1709.0,1.0,False,0.4050000000000001
GATA3,Uterus,-0.19756174191849546,-0.49751854940475665,0.13700905126652296,0.872,0.761,34,2175.0,1.0,False,0.4498434782608696
TWNK,Uterus,0.009227111241938868,-0.3204558178782899,0.34581859988382235,0.4755,0.5915,34,1870.0,1.0,False,0.45168224299065424
RAPGEFL1,Uterus,0.11931795984685956,-0.20009044775820573,0.4582576911929479,0.248,0.6545,34,1764.0,1.0,False,0.45168224299065424
RAPGEF2,Uterus,-0.44822303314735945,-0.7121223956820493,-0.1812295992226951,0.9945,0.9855,34,1817.0,1.0,False,0.11185714285714253
CCND1,Uterus,-0.3611239591857177,-0.6377873542553052,-0.044443199872219896,0.9765,0.943,34,2116.0,1.0,False,0.24141176470588258
ATP5F1B,Uterus,-0.04900888106378801,-0.38756687583331617,0.27525725496891273,0.6195,0.5545,34,1869.0,1.0,False,0.45168224299065424
KRT18,Uterus,-0.20211408278381515,-0.5199422055719496,0.10060333689165857,0.8855,0.7605,34,2000.0,1.0,False,0.4498434782608696
ELK3,Uterus,-0.3802324495093732,-0.61886214543541,-0.059199379448977796,0.9845,0.9555,34,1649.0,1.0,False,0.20736000000000018
NEDD9,Uterus,-0.6173126674270578,-0.8052981512430275,-0.39001377548734384,1.0,1.0,34,1502.0,1.0,True,0.0
PTP4A1,Uterus,-0.26880687117814395,-0.5727819234053964,0.047456085905901224,0.941,0.853,34,1859.0,1.0,False,0.4050000000000001
CCND3,Uterus,0.01439511655797987,-0.31363799488072314,0.3454948349991085,0.4595,0.56,34,1736.0,1.0,False,0.45168224299065424
BCL6,Uterus,-0.17635638093975758,-0.4945773373711415,0.1394966327274456,0.858,0.728,34,1790.0,1.0,False,0.45168224299065424
EVA1A,Uterus,-0.17326259786327564,-0.47559395361196866,0.15261034843078436,0.8495,0.7205,34,2187.0,1.0,False,0.45168224299065424
DOCK7,Uterus,0.1844880475683488,-0.1646749406345649,0.4910465306878917,0.1465,0.7365,34,1898.0,1.0,False,0.45168224299065424
AKT3,Uterus,-0.27118640539505995,-0.5804729509949602,0.03185286400239984,0.9525,0.869,34,2022.0,1.0,False,0.3985352112676056
F3,Uterus,-0.18600183264767667,-0.4864765194710541,0.13722151304698604,0.865,0.7555,34,1826.0,1.0,False,0.45168224299065424
TNFAIP3,Uterus,-0.6307112164808937,-0.8176365163071537,-0.41806240477244105,1.0,1.0,34,1381.0,1.0,True,0.0
MYB,Uterus,-0.03773383102320629,-0.3594745451236921,0.297448206308879,0.5885,0.556,34,2051.0,1.0,False,0.45168224299065424
SGK1,Uterus,-0.20569588484175622,-0.502603194201066,0.12439304490973857,0.887,0.7825,34,1971.0,1.0,False,0.4498434782608696
CCND2,Uterus,-0.4552132482616589,-0.6913034504864475,-0.17066871942912082,0.9985,0.9845,34,1777.0,1.0,False,0.1152000000000001
YPEL5,Uterus,-0.24634185629706973,-0.5214704169540205,0.09151108801754915,0.928,0.835,34,1933.0,1.0,False,0.4050000000000001
DNAJC15,Uterus,-0.15019728282062236,-0.4530307661010066,0.18402771842275634,0.82,0.683,34,2061.0,1.0,False,0.45168224299065424
DUSP4,Uterus,-0.21926459673951398,-0.5136483041977216,0.10560197065623456,0.904,0.7915,34,1639.0,1.0,False,0.4498434782608696
TWIST1,Uterus,-0.08541073401304208,-0.4036793808617838,0.24616918714737857,0.6995,0.595,34,1815.0,1.0,False,0.45168224299065424
PARD6B,Uterus,-0.39977509702055025,-0.6783775388535787,-0.09825024003998933,0.99,0.9655,34,1686.0,1.0,False,0.1774285714285713
ZNFX1,Uterus,-0.24784829999807123,-0.5295971247008147,0.05820959372360712,0.9345,0.8205,34,1950.0,1.0,False,0.42606593406593407
SNAI1,Uterus,-0.3625049337230372,-0.6261628885435442,-0.06714180387162877,0.9865,0.952,34,2118.0,1.0,False,0.20736000000000018
SOX9,Uterus,-0.41382254129597873,-0.6693616319543336,-0.11339113527914968,0.9945,0.9735,34,1952.0,1.0,False,0.16354285714285693
PAX8,Uterus,-0.7100410739274705,-0.8549982510968606,-0.5139195156806382,1.0,1.0,34,1294.0,1.0,True,0.0
FOXA2,Uterus,0.21922758865690584,-0.1356415985744323,0.498437753007152,0.0995,0.8005,34,2107.0,1.0,False,0.448875
SMARCA4,Uterus,-0.08928994436859994,-0.406987867326483,0.2567967637260751,0.692,0.6165,34,2091.0,1.0,False,0.45168224299065424
PPAT,Uterus,-0.17385565850108942,-0.49948742270754737,0.13862945691546558,0.852,0.722,34,2016.0,1.0,False,0.45168224299065424
FOXA1,Uterus,0.1489754865920564,-0.1798002283186358,0.46059426624444955,0.194,0.6955,34,1914.0,1.0,False,0.45168224299065424
PPARG,Uterus,-0.4665589980344005,-0.6882336303497605,-0.17996844172799853,0.9995,0.99,34,1996.0,1.0,False,0.09391304347826095
BTBD3,Uterus,-0.13134221500535673,-0.4464033525889554,0.20434974046629284,0.782,0.657,34,2245.0,1.0,False,0.45168224299065424
BTG1,Uterus,-0.08731454722759491,-0.4033258735337876,0.24834793179570824,0.6975,0.611,34,1994.0,1.0,False,0.45168224299065424
KRAS,Uterus,-0.03781211164486853,-0.3670544670768519,0.2808190944084765,0.5785,0.5685,34,1510.0,1.0,False,0.45168224299065424
DOCK2,Uterus,0.049940783447751325,-0.2708750964024849,0.3987196668025623,0.385,0.5775,34,2094.0,1.0,False,0.45168224299065424
MDM2,Uterus,-0.5363419928365372,-0.7554681669097869,-0.2904586267555382,0.9985,0.9965,34,1351.0,1.0,True,0.04447058823529345
SP110,Uterus,-0.1658564717552454,-0.47815792549280584,0.1574998080752792,0.837,0.7025,34,2099.0,1.0,False,0.45168224299065424
DOCK10,Uterus,-0.3548877608038319,-0.6147390534729829,-0.05061322662598672,0.9875,0.9525,34,1848.0,1.0,False,0.20736000000000018
TNS3,Uterus,-0.238537608276119,-0.5371142938051539,0.08720455618454914,0.92,0.812,34,1376.0,1.0,False,0.441290322580645
RAC1,Uterus,-0.12191374457740323,-0.4472806863736923,0.21410401087883169,0.7655,0.652,34,1922.0,1.0,False,0.45168224299065424
MYC,Uterus,-0.5438565363167595,-0.7485990643204228,-0.28628045064523683,1.0,0.999,34,1676.0,1.0,True,0.018000000000000016
PIM1,Uterus,-0.3892043504409596,-0.6348197408896901,-0.06632223415793165,0.992,0.968,34,1669.0,1.0,False,0.17723076923076939
TFAP2A,Uterus,-0.5145489723234904,-0.72665971245584,-0.24899917865682686,1.0,0.9965,34,1664.0,1.0,True,0.04447058823529345
IRF4,Uterus,-0.052094031504726745,-0.3756274827446591,0.27842414132728477,0.6095,0.5895,34,2230.0,1.0,False,0.45168224299065424
YAP1,Uterus,-0.4197236899986359,-0.7049703068286062,-0.14095246847478554,0.992,0.975,34,1586.0,1.0,False,0.16199999999999978
BCAR3,Uterus,-0.36834220243765314,-0.6292124135572752,-0.06049103204443401,0.9865,0.953,34,2031.0,1.0,False,0.20736000000000018
ARHGAP29,Uterus,-0.24262024319301892,-0.5742990560158667,0.048011732101316484,0.928,0.8315,34,2185.0,1.0,False,0.40894382022471903
ACTR1A,Uterus,0.17576433642582578,-0.13320302451758304,0.4995613101533487,0.148,0.7315,34,2171.0,1.0,False,0.45168224299065424
ATIC,Uterus,-0.08919629309687335,-0.4177962012983856,0.21629480304984328,0.705,0.602,34,2168.0,1.0,False,0.45168224299065424
ITGAV,Uterus,-0.18047505983833226,-0.5106799669280337,0.16574048033795963,0.843,0.746,34,2034.0,1.0,False,0.45168224299065424
PPCDC,Uterus,0.01650043463032702,-0.31914078368290766,0.34744027693898816,0.474,0.5575,34,2335.0,1.0,False,0.45168224299065424
SINHCAF,Uterus,-0.18265191737160968,-0.5046922761544037,0.1274401753975869,0.855,0.736,34,2216.0,1.0,False,0.45168224299065424
IGF1R,Uterus,-0.338387450491632,-0.6099681156550849,-0.006635401097940585,0.9715,0.929,34,1701.0,1.0,False,0.26905263157894715
ERBB2,Uterus,-0.5166153432894323,-0.7347317348728779,-0.23453362403650524,0.999,0.9975,34,1820.0,1.0,True,0.03857142857142775
DUSP10,Uterus,-0.0029846101437954464,-0.3338180789417993,0.3457564130167923,0.506,0.571,34,1813.0,1.0,False,0.45168224299065424
PHLDB2,Uterus,-0.26424690092565084,-0.5715347041089964,0.04249521989382621,0.9445,0.855,34,1828.0,1.0,False,0.4050000000000001
MYO10,Uterus,-0.2520883406349361,-0.5578090405513441,0.03735257940176262,0.939,0.847,34,1867.0,1.0,False,0.4050000000000001
