gene,lineage,rho_posterior_median,rho_hdi_low,rho_hdi_high,prob_negative,prob_outside_rope,n_samples,ess_bulk,rhat,significant,fdr
LASP1,Biliary Tract,-0.3638892502150391,-0.6326954995423444,-0.06516324498035231,0.985,0.9515,35,1924.0,1.0,False,0.17755932203389826
CFLAR,Biliary Tract,-0.20135508694205095,-0.5045612227504837,0.11168216372025541,0.88,0.759,35,1913.0,1.0,False,0.42668852459016393
TEAD3,Biliary Tract,-0.45105474996851846,-0.6918359468821489,-0.18751416530992993,0.999,0.991,35,1715.0,1.0,False,0.08100000000000007
E2F2,Biliary Tract,-0.15865579359284848,-0.47968338188104376,0.17721468546755337,0.8165,0.712,35,2038.0,1.0,False,0.45645283018867916
WWTR1,Biliary Tract,-0.4622448694408134,-0.6654971860793815,-0.16546605667751774,0.9965,0.9875,35,1984.0,1.0,False,0.09310344827586173
SNAI2,Biliary Tract,-0.47859586339705223,-0.7179213869653194,-0.21234576184673837,0.999,0.9925,35,1846.0,1.0,False,0.08099999999999948
CD44,Biliary Tract,0.03434616140225144,-0.29603167383280177,0.35352557280386,0.427,0.5675,35,2288.0,1.0,False,0.45645283018867916
GAB2,Biliary Tract,-0.35814719978455734,-0.6314824652425055,-0.06930061344587268,0.9815,0.9485,35,1995.0,1.0,False,0.1823606557377049
VCL,Biliary Tract,-0.06933439785422482,-0.3878855324776697,0.24632234031346312,0.665,0.5825,35,1993.0,1.0,False,0.45645283018867916
TRIO,Biliary Tract,-0.35213944340561953,-0.5996490290573706,-0.004789180575858365,0.9815,0.9265,35,2015.0,1.0,False,0.21747945205479455
CDH1,Biliary Tract,-0.3232595318401843,-0.6113253348555154,-0.04049177032812468,0.9745,0.9195,35,1969.0,1.0,False,0.22283544303797473
PHF23,Biliary Tract,-0.23959100200773914,-0.5154472835410218,0.06754775562614346,0.9245,0.83,35,1866.0,1.0,False,0.35660377358490575
FAM120A,Biliary Tract,-0.1352652358993267,-0.46309120302095824,0.17365179854826374,0.797,0.6705,35,1875.0,1.0,False,0.45645283018867916
BCAR1,Biliary Tract,-0.24090940473009323,-0.5484531374779511,0.06519407901533869,0.931,0.838,35,1621.0,1.0,False,0.3464554455445545
NCKAP1,Biliary Tract,0.3510788918825075,0.04651347598523503,0.6304905639507996,0.0225,0.9345,35,1917.0,1.0,False,0.20504347826086958
ELMO2,Biliary Tract,-0.22473352679375594,-0.5145097677442176,0.11607567089501902,0.908,0.785,35,2020.0,1.0,False,0.4003448275862068
PKN2,Biliary Tract,0.0410652600916499,-0.29130953273214844,0.36365543869659733,0.397,0.567,35,2275.0,1.0,False,0.45645283018867916
ERBB3,Biliary Tract,-0.003222961425881077,-0.3258595086385289,0.3174118296514852,0.508,0.5595,35,2375.0,1.0,False,0.45645283018867916
YBX1,Biliary Tract,-0.43566360319757824,-0.6918038989066233,-0.15500717376115597,0.996,0.9855,35,1433.0,1.0,False,0.09787499999999971
KLF6,Biliary Tract,-0.5023636385996716,-0.7142655960126296,-0.23368393596531295,0.9985,0.994,35,1787.0,1.0,False,0.07623529411764712
RHOA,Biliary Tract,-0.2674880602851326,-0.5622121856450799,0.03128695639362733,0.951,0.8665,35,1631.0,1.0,False,0.31695652173913047
CBFB,Biliary Tract,-0.0033038012246722204,-0.35421546248857977,0.2971438246499065,0.507,0.5385,35,1961.0,1.0,False,0.46581308411214956
ACSL4,Biliary Tract,-0.1669041664498034,-0.46865426533727117,0.17344702347031848,0.8275,0.7095,35,1524.0,1.0,False,0.45645283018867916
AP1M1,Biliary Tract,-0.4706039029788289,-0.7011171338151736,-0.1864652450759982,0.9985,0.9915,35,1659.0,1.0,False,0.08100000000000007
TP63,Biliary Tract,-0.8795240342991915,-0.9470674754783799,-0.7917769527208733,1.0,1.0,35,1160.0,1.0,True,0.0
FERMT2,Biliary Tract,-0.4617015984260132,-0.7117642751849755,-0.1747545351563869,0.9985,0.9875,35,1756.0,1.0,False,0.09310344827586173
ACTB,Biliary Tract,-0.26198912933764684,-0.5671330769942164,0.042563352323025994,0.9425,0.8655,35,1870.0,1.0,False,0.31695652173913047
FGFR1,Biliary Tract,-0.3315318419927714,-0.6064852220318673,-0.02385920546407516,0.9755,0.9405,35,1651.0,1.0,False,0.19772307692307692
FDFT1,Biliary Tract,-0.3728438552823258,-0.6462335013174605,-0.0908879532507374,0.987,0.9605,35,1868.0,1.0,False,0.16729411764705873
ITGB5,Biliary Tract,-0.4193386231404048,-0.6669960496157583,-0.10890245094579432,0.9935,0.97,35,1645.0,1.0,False,0.14400000000000013
GRHL2,Biliary Tract,-0.5959039252136445,-0.8001888034277624,-0.36470220820148885,1.0,1.0,35,1341.0,1.0,True,0.0
ZNF671,Biliary Tract,-0.4805476696305402,-0.7143579736474313,-0.19088561316579428,0.999,0.992,35,1879.0,1.0,False,0.08100000000000007
MECOM,Biliary Tract,-0.2700186199427516,-0.5647820587699557,0.02454826535310972,0.9545,0.861,35,2038.0,1.0,False,0.31940425531914896
PXN,Biliary Tract,-0.07832742684297661,-0.4297266151542347,0.2303178379440729,0.6675,0.5935,35,2163.0,1.0,False,0.45645283018867916
HECTD1,Biliary Tract,-0.12726994111838622,-0.402772040011127,0.22240098570989364,0.776,0.646,35,2374.0,1.0,False,0.45645283018867916
EZR,Biliary Tract,-0.4025681229417215,-0.6673017880265886,-0.10498802105530652,0.9935,0.9705,35,1910.0,1.0,False,0.14400000000000013
BAMBI,Biliary Tract,-0.3448208795656791,-0.6107774957446086,-0.040157042897155826,0.98,0.9305,35,2180.0,1.0,False,0.21143661971830988
MTAP,Biliary Tract,-0.5382372494706644,-0.7461600912599793,-0.2632501604658288,1.0,0.9985,35,1724.0,1.0,True,0.0359999999999987
EP300,Biliary Tract,-0.21800424919318262,-0.5207506380699298,0.10405920707875538,0.899,0.795,35,1804.0,1.0,False,0.3884210526315789
PSMB5,Biliary Tract,-0.236238971779565,-0.5338480555279148,0.1014273886342858,0.919,0.8285,35,2383.0,1.0,False,0.35660377358490575
CDC25B,Biliary Tract,0.09768629442984123,-0.227056685129984,0.4376438767118045,0.3075,0.6305,35,2106.0,1.0,False,0.45645283018867916
