gene,cancer_type,n_patients,cox_hr,cox_pvalue,logrank_pvalue,cox_fdr
MTAP,SKCM,455,0.8894270427593705,0.06878556042365926,0.27323817801025146,0.2706317131422659
PPCDC,SKCM,455,1.128005957923319,0.10692735598263622,0.0031837353868458393,0.34511980285688865
CDH11,SKCM,455,1.013879556380622,0.8410003062204336,0.4650055563189056,0.9441452631747401
S1PR3,SKCM,455,1.0602859671482048,0.4002308628825052,0.17063524780754355,0.6689095201378916
ARHGEF12,SKCM,455,0.9822988186995477,0.8005774457554562,0.0899782174781677,0.9233212897675123
USP34,SKCM,455,0.8210076412919273,0.0069701340754713716,0.14189663315966267,0.06417514749794613
SAR1A,SKCM,455,0.9294787981970173,0.32038704193310147,0.8349469016415785,0.5997885340401276
ADNP,SKCM,455,0.957399016677755,0.5771564624111258,0.5014183422085634,0.8000628666461506
FOXA2,SKCM,455,0.9820143045892902,0.7834851903802289,,0.9144132176708829
CRTC3,SKCM,455,1.1494377588975935,0.04022796730648883,0.15416257119047158,0.19536544071492848
WAS,SKCM,455,0.7448342102135722,8.265166930784249e-06,1.469680910572209e-06,0.000434271813555875
TOX3,SKCM,455,0.9992153274150548,0.9909463181547915,0.5548387963868335,0.9988398448312701
ACTB,SKCM,455,1.1294388336609795,0.10344336524998773,0.11148249269172038,0.3413346607698953
DOK4,SKCM,455,1.1478000628617604,0.058703568094524115,0.15590145809880826,0.2478625544147318
PTBP3,SKCM,455,0.9461741185433746,0.48298273306853345,0.9543828118904707,0.73581795981664
TFDP1,SKCM,455,1.1307308358941748,0.07796335414806695,0.10383412459708415,0.28845639767013465
JUNB,SKCM,455,0.8675689328816129,0.04252264841776874,0.0023629681824533116,0.20222131347948144
NCKAP1,SKCM,455,0.9754622527376744,0.7475794325792297,0.24043354198242797,0.8969025484753458
VCL,SKCM,455,1.0965636696049172,0.19200850606115794,0.299401860112214,0.46071307004560375
FAM120A,SKCM,455,0.9933014514287298,0.9312474356901066,0.9944695171556782,0.9781139499921516
EXT1,SKCM,455,0.9801481469193736,0.7818998120222378,0.8460353060951835,0.9139088711948234
CCND2,SKCM,455,0.7660105349181441,9.91150116653778e-05,0.0002228793957733155,0.0031917707803467577
ZBTB7B,SKCM,455,1.084559385393522,0.24451683510180494,0.42956676665649873,0.5239646466467248
SPDEF,SKCM,455,0.9611188719449593,0.5690465131817419,0.18699065679121474,0.7934196658267926
CD79A,SKCM,455,0.7548088202063672,5.994611518567985e-05,1.2337274000816258e-06,0.002194667885133163
CD79B,SKCM,455,0.8871388909435299,0.0817610727585397,0.0864639348785581,0.29548821407842074
POU2F1,SKCM,455,0.891798529607464,0.12335312393043132,0.349315352240147,0.37697049758026546
CDK4,SKCM,455,1.1899885962017775,0.00445424608232931,0.0005207510279859067,0.047441674249661295
SNX27,SKCM,455,1.0029914897450525,0.9673738174229619,0.6168898464748963,0.9913309828416348
IRF4,SKCM,455,1.0678658869981548,0.3211677983454694,0.12752706875454692,0.6008871839114056
MECOM,SKCM,455,1.0095614647798776,0.8918982952033385,0.5159732192889332,0.9627999184788757
BLNK,SKCM,455,0.78196639866013,0.0002275548217493261,6.605283139771364e-05,0.005572771144881456
GALE,SKCM,455,1.095486904880026,0.17623589094597514,0.5322944017509688,0.4436707744094479
KRT4,SKCM,455,1.1901493895475004,0.01162612323813535,0.024533330684488847,0.08760272112316715
TP63,SKCM,455,1.0782287870238996,0.3552180914865801,0.8567911120717739,0.6340035346314767
SLC38A5,SKCM,455,0.9017635491810609,0.1320930422622872,0.011394803150593952,0.38823311930233123
CLTB,SKCM,455,1.214174880186206,0.011605387176038684,0.26559518139237975,0.08760272112316715
ERBB2,SKCM,455,1.084603226701018,0.26168062632763167,0.034815300214310764,0.5426209809839343
JUN,SKCM,455,0.9614698329798885,0.5854098296405683,0.7172798907819097,0.8037663564859061
ILK,SKCM,455,0.9918391560591705,0.9095493798155019,0.8984523231626347,0.9693689893394878
TFAP2C,SKCM,455,0.8523854346488356,0.009670005883871416,0.007638995435336717,0.07911822995894795
CFLAR,SKCM,455,0.7769130491060044,0.00015503831328580081,0.0037213534388857218,0.004223341506323598
XRRA1,SKCM,455,1.071046023307214,0.30599101503198173,0.8544219906732291,0.5889626232372628
RRAS2,SKCM,455,0.9616674289350854,0.582281870771473,0.6404154383096343,0.8022253099032923
PHLDB2,SKCM,455,0.9395499536191425,0.3627961878750676,0.22387593194668573,0.6421171466815356
GRHL2,SKCM,455,1.3044406048934263,0.00015320765606424187,0.008633549203881473,0.004223341506323598
