gene,drug_id,rho,pvalue,n_lines,fdr,name
GRHL2,BRD-K00004648-001-01-9,-0.4753904673211461,1.0503543229037881e-50,878,4.909776246981467e-47,PF-06747775
KLF5,BRD-K00091285-001-01-9,-0.47208273080453067,7.816131574794737e-49,858,3.0446437861017104e-45,Theliatinib
MDM2,BRD-K00003406-001-01-9,-0.45888649564691186,6.148225987375404e-47,878,1.5966259752993105e-43,milademetan
GRHL2,BRD-K00091285-001-01-9,-0.4539404807718497,7.679235310552904e-45,858,1.6316280698022045e-41,Theliatinib
SPINT2,BRD-K00091285-001-01-9,-0.44785644788048923,1.483258931835018e-43,858,2.476194839632003e-40,Theliatinib
SPINT2,BRD-K00004648-001-01-9,-0.4421686951199054,2.51340663807561e-43,878,3.6714587465689475e-40,PF-06747775
KLF5,BRD-K00076493-001-02-9,-0.437546489146463,1.957451421845985e-41,858,1.9062314429743485e-38,NRC-2694
FAM83H,BRD-K00091285-001-01-9,-0.4369564230492929,2.5754830067803136e-41,858,2.40776755337878e-38,Theliatinib
ITGAV,BRD-K00076647-001-02-9,-0.4364194500832763,3.304455236467877e-41,858,2.9704510687202775e-38,MK-0429
FAM83H,BRD-K00004648-001-01-9,-0.43487115605720944,8.21776985493398e-42,878,8.730259865887137e-39,PF-06747775
KLF5,BRD-K00004648-001-01-9,-0.42676332838473974,3.585991726309774e-40,878,2.890062021631449e-37,PF-06747775
ITGB5,BRD-K00003343-001-01-9,-0.4248467954079245,8.62511332789928e-40,878,6.502778990311676e-37,VLX1570
EGFR,BRD-K00076493-001-02-9,-0.4160839923351371,3.0065707017050655e-37,858,1.434072866127567e-34,NRC-2694
ITGB5,BRD-K00003223-003-01-9,-0.4154803426110383,9.344238436801436e-38,873,4.747685668367895e-35,amiselimod
GRHL2,BRD-K00076493-001-02-9,-0.41112501328095813,2.5296957640176412e-36,858,1.0423209739600464e-33,NRC-2694
FAM83H,BRD-K00076493-001-02-9,-0.4110727548370475,2.5866257269246405e-36,858,1.0423209739600464e-33,NRC-2694
RBM47,BRD-K00091285-001-01-9,-0.4098875141406736,4.2804252500571474e-36,858,1.587969824513264e-33,Theliatinib
FOXA1,BRD-K00091285-001-01-9,-0.4090383814998238,6.132913124409138e-36,858,2.239663211620162e-33,Theliatinib
FOXA1,BRD-K00004648-001-01-9,-0.4062351884498846,3.2496580521032825e-36,878,1.2450984917009496e-33,PF-06747775
EGFR,BRD-K00091285-001-01-9,-0.40608422473690486,2.1258165055483208e-35,858,7.097797623953621e-33,Theliatinib
VCL,BRD-K00076647-001-02-9,-0.398618877083938,4.654006712808135e-34,858,1.3945313447660478e-31,MK-0429
SPINT2,BRD-K00069020-001-02-9,-0.3978948042669673,6.251956227677446e-34,858,1.8039595179416947e-31,Mobocertinib
SPINT2,BRD-K00076493-001-02-9,-0.3927750686627849,4.936146782503047e-33,858,1.2143960273753812e-30,NRC-2694
ERBB2,BRD-K00091285-001-01-9,-0.391922587360112,6.938770579527281e-33,858,1.6548259794358327e-30,Theliatinib
ITGB5,BRD-K00076647-001-02-9,-0.38913402669270913,2.099139596786563e-32,858,4.672484824390053e-30,MK-0429
GRHL2,BRD-K00069020-001-02-9,-0.3859461437753749,7.345308561351482e-32,858,1.5749958871184115e-29,Mobocertinib
FAM83H,BRD-K00069020-001-02-9,-0.38315176896961733,2.17733076693126e-31,858,4.346759523203439e-29,Mobocertinib
ALDH3A1,BRD-K00091285-001-01-9,-0.3828493966157967,2.4474602263194617e-31,858,4.688691836847415e-29,Theliatinib
RBM47,BRD-K00004648-001-01-9,-0.3808605742916476,1.0861778576051976e-31,878,2.2465618484910334e-29,PF-06747775
EGFR,BRD-K00076465-001-02-9,-0.3759427254776064,3.423332659535159e-30,858,5.674477370117428e-28,ZD-4190
MYB,BRD-K97840621-001-02-9,-0.3718824192830302,3.498347884756815e-30,878,5.757984983277202e-28,API-1
KLF5,BRD-K00069020-001-02-9,-0.3704650724953111,2.652665857668517e-29,858,3.583705573724196e-27,Mobocertinib
WWTR1,BRD-K00076647-001-02-9,-0.3703553587056408,2.7626087963067e-29,858,3.689582444987439e-27,MK-0429
ITGB5,BRD-K00003291-001-01-9,-0.3695123255370448,8.592045318580694e-30,878,1.3211400209596578e-27,BEBT-908
ERBB2,BRD-K00076493-001-02-9,-0.3687649995795728,4.968348492192552e-29,858,6.2767697815959096e-27,NRC-2694
ERBB2,BRD-K00004648-001-01-9,-0.36816065180732915,1.4295388983463866e-29,878,2.062315930054016e-27,PF-06747775
RHOG,BRD-K00004604-001-01-9,-0.3681416616325865,2.0779861012325692e-29,873,2.890874473690929e-27,PRLX-93936
EGFR,BRD-K00091071-001-01-9,-0.36704501135307405,9.338543664779196e-29,858,1.1175401151056946e-26,PF-06952229
ITGB5,BRD-K00003313-001-01-9,-0.3633868383870753,8.466138051450149e-29,878,1.0305759298879839e-26,trabectedin
CLTB,BRD-K00003343-001-01-9,-0.3619513682287351,1.4369107816738798e-28,878,1.5992132756800914e-26,VLX1570
PXN,BRD-K00003223-003-01-9,-0.36044575174649424,3.543838757348138e-28,873,3.632745589330732e-26,amiselimod
CLTB,BRD-K00003223-003-01-9,-0.359359909189691,5.255168623034488e-28,873,5.139071173956571e-26,amiselimod
MYB,BRD-K00068629-001-02-9,-0.3593480791165059,1.501463205299205e-27,858,1.4036879213701208e-25,CBP/p300-IN-4
FERMT2,BRD-K00076647-001-02-9,-0.3589846859088513,1.7086528140553423e-27,858,1.5847076813532326e-25,MK-0429
LIF,BRD-K00076647-001-02-9,-0.3577456155094787,2.651717619747189e-27,858,2.356499779799669e-25,MK-0429
ITGB5,BRD-K00003404-001-01-9,-0.35768801582836307,9.610852395692372e-28,873,9.168360905800903e-26,CYC065
KLF5,BRD-K00076465-001-02-9,-0.355172278035539,6.565265796673395e-27,858,5.34645965853138e-25,ZD-4190
ERBB2,BRD-K00003223-003-01-9,-0.35500579012836603,2.5125574459734473e-27,873,2.249942246256376e-25,amiselimod
ALDH3A1,BRD-K00004648-001-01-9,-0.35296670381003104,3.707140399939013e-27,878,3.2090105713842446e-25,PF-06747775
ERBB2,BRD-K00069020-001-02-9,-0.3526347413032508,1.5920829955504477e-26,858,1.232124628212088e-24,Mobocertinib
TCF3,BRD-K00003159-300-01-9,-0.35200668809230196,5.214402834530454e-27,878,4.3370470835817e-25,banoxantrone
CD44,BRD-K00004604-001-01-9,-0.3504932439895247,1.2395981200057115e-26,873,9.657295753591162e-25,PRLX-93936
ME2,BRD-K00003174-001-01-9,-0.35015017329179027,1.0052774142290682e-26,878,8.018888643468185e-25,soblidotin
RBM47,BRD-K00069020-001-02-9,-0.34705095128900637,1.0870800076098225e-25,858,7.407356833194394e-24,Mobocertinib
TNFRSF12A,BRD-K00076647-001-02-9,-0.34679433578358787,1.1863173968559095e-25,858,7.990377579053694e-24,MK-0429
ITGB5,BRD-K00003273-003-01-9,-0.345836719442288,4.5428022139682054e-26,878,3.317949167027028e-24,cbl0137
ITGAV,BRD-K00003354-001-01-9,-0.3449729961365147,8.434401533934757e-26,873,5.902060857818058e-24,cinobufotalin
TCF3,BRD-K00003174-001-01-9,-0.34457533653205774,7.029946573506914e-26,878,5.009265588902548e-24,soblidotin
ERBB2,BRD-K00003291-001-01-9,-0.3427020789666215,1.3395761749824638e-25,878,8.919821755467277e-24,BEBT-908
KLF5,BRD-K00004573-001-01-9,-0.34217624939872177,1.6040808631465234e-25,878,1.0501562446347492e-23,RG7834
WWTR1,BRD-K00003354-001-01-9,-0.3418300114639213,2.4706293413325645e-25,873,1.5480844226709036e-23,cinobufotalin
ITGB5,BRD-K00003354-001-01-9,-0.3413882185525136,2.870712349805584e-25,873,1.767148205965065e-23,cinobufotalin
HDLBP,BRD-K00076647-001-02-9,-0.3412551013131054,7.666569042976246e-25,858,4.28667587733112e-23,MK-0429
