,ESTIMATE_ImmuneScore,ESTIMATE_StromalScore,ESTIMATE_TumorPurity
ACH-001113,0.20275155724128194,1.3131167610163577,0.8223828023555756
ACH-001289,0.17433821004963487,0.8041958787824647,0.8224276741870907
ACH-001339,0.8386609585581993,3.443987422454856,0.8221516724553877
ACH-001979,0.7238772327991073,2.0081499933725087,0.8222812241818154
ACH-002438,0.2188835680890541,4.688093765964808,0.8220994988191349
ACH-001538,0.7615482953727895,0.3594428373369782,0.822415778349625
ACH-000242,0.5429960846947246,0.8451707272611058,0.8223934669460727
ACH-000708,0.26081678313557916,0.7143808377160775,0.8224279527936499
ACH-000327,0.22992600717904343,0.7321283056339296,0.8224290503031858
ACH-000233,1.1446180559867043,1.0994538995565541,0.8223219831923252
ACH-000461,0.24516007851423716,0.47327278366475084,0.8224493929429364
ACH-000705,0.1708783836359841,0.8228323874764332,0.8224264068793988
ACH-001794,0.7168514628406351,4.774814091953651,0.8220506316005811
ACH-002023,0.6333563733713168,0.6722772548551493,0.8224003592921423
ACH-000528,0.23818665381662127,1.0248543484038601,0.8224039161550675
ACH-002501,0.12705515597854597,2.0701781733665414,0.8223258954111075
ACH-001655,0.3697100556797137,4.635007509434639,0.8220913302831487
ACH-000167,2.915225213671155,0.5105642059886891,0.8222232668113629
ACH-000792,0.4840828022358723,4.34606823154989,0.8221059193767896
ACH-001098,0.402179781550045,0.9104795343226733,0.822399772581676
ACH-000570,0.46641338472971583,4.069782456581756,0.8221304849499137
ACH-000351,0.4821765844142089,2.770341564176949,0.8222377428113399
ACH-002075,0.31288373352248305,1.0731609514544882,0.822393644166406
ACH-002040,0.4198486850044722,1.2533001390184462,0.8223696671706566
ACH-000769,0.1226444639335921,0.8178075380761083,0.8224308541606795
ACH-000154,0.41726095786538414,6.107298594072039,0.8219642893305977
ACH-000828,0.1948202930025819,0.5780373483141515,0.8224448485095728
ACH-000421,0.7207363567273646,1.070368332269939,0.8223598158713423
ACH-000765,0.6946177807567584,2.369033733359387,0.8222535211247287
ACH-001375,0.19281583080762657,0.8079495490602718,0.8224258177927418
ACH-000008,0.681025184725327,3.0726635913912737,0.8221958709062285
ACH-001814,0.3497582929117559,5.8644686079468284,0.8219902328220939
ACH-000800,0.16362571893888678,1.949499335465169,0.822332920497654
ACH-000606,0.40523604180835443,1.4302463066999513,0.8223561095263012
ACH-000317,0.5656130008423672,1.7511217190823352,0.8223159139230527
ACH-001492,1.939411957355044,0.20413247605217863,0.8223303797541495
ACH-000123,0.1330499004395886,1.8064893169420413,0.8223474187405116
ACH-000723,0.4377207303179328,1.9769738639858205,0.8223077315256448
ACH-002066,0.49657480501186224,3.9463959855307604,0.8221382753645211
ACH-001536,0.3298620734721535,1.2051503247438362,0.822381203572916
ACH-003136,0.5757153672690734,4.897090640627058,0.8220522079430251
ACH-000313,0.8384550803280141,2.02049085707444,0.8222706219427602
ACH-002019,0.2874800655391391,1.1550461528437208,0.8223889273261795
ACH-000728,2.461902986170893,0.912943490272671,0.8222275229099375
ACH-000700,0.47572471985548787,2.0433073906346335,0.8222990162292552
ACH-000823,0.1265011895287892,1.230211345683607,0.8223960937069191
ACH-000678,0.42569990788154477,1.7171311535343725,0.822330439337909
ACH-000006,1.8943586291460668,0.770326148709948,0.8222868495621867
ACH-002790,0.198618395744508,4.196375921091741,0.8221422844910896
ACH-002029,0.2157963272656696,1.3855059380184442,0.8223756674463015
ACH-001377,0.06789390007345994,0.6390067174210218,0.8224503558710644
ACH-000754,1.3795972933679281,0.42789061586083654,0.8223584475773086
ACH-000465,0.7574585517291357,1.631958801603888,0.8223098429006003
ACH-000138,0.5827449526398637,0.882416500381346,0.8223870370148687
ACH-001864,0.5197025511601651,2.0585261310674254,0.8222940714631264
ACH-000383,0.4492301847065797,0.8987906910140692,0.8223968195482342
