,antigen_presentation_loss,ifn_gamma_signaling,tgfb_exclusion,wnt_beta_catenin,immune_checkpoints,myeloid_suppression
ACH-001113,-0.07478379645258719,-0.01767973272962565,0.03092127478998345,0.46721908608883905,-0.24216800965274635,-0.24305469135279015
ACH-001289,-0.8095929558606586,0.4334127344637042,-0.43373846706821945,-0.15526757757789206,-0.4464822918837255,-0.4815323559665505
ACH-001339,0.22369284800824651,0.569785643077562,0.1703029761030548,0.05516913349163879,-0.08851378564252695,0.17068194904625897
ACH-001979,0.5181294244192334,0.37048876813350806,-0.08368136379260661,0.3456863231276534,0.353570230041839,-0.17364556115413735
ACH-002438,-0.2599997893389288,0.1274926665086645,1.0236546943877043,-0.026583079756292982,0.22111855706855454,0.030644897592788194
ACH-001538,0.7894407222454163,0.5868880045638826,-0.2723761878024771,-0.19398618061228662,0.33697234377752444,0.2457113524508913
ACH-000242,0.026821713779114853,-0.14053549605200255,-0.49790411684023755,0.11583960804017938,-0.18649341203744396,-0.3642196071785831
ACH-000708,0.37665049330047207,-0.4819375327737523,-0.7248744628647038,0.280346077347129,-0.24383091397250808,-0.4820231716094612
ACH-000327,0.8548678537461682,-1.0458784778851067,-0.6440334516045246,1.2264985255087832,-0.26073883765164657,0.2600398365372327
ACH-000233,0.7101200280775826,0.810970655807665,-0.4106016922584592,-0.5185036982111768,0.9283770647089976,1.2536490606377788
ACH-000461,-0.7970541284396059,-0.40712307403608505,-0.13600009984917374,0.651160871543025,-0.16596890863717545,-0.08600294654313408
ACH-000705,-0.012300981127112079,-0.8064603289247787,-0.42521632815855787,0.6135688229517255,-0.4842606279199358,-0.2276079161666391
ACH-001794,1.0513043055732572,0.8542599619336187,0.7900606824234516,-0.06503317332648766,0.2589044932769411,0.5261615298368134
ACH-002023,0.6391087772490569,0.13296461433172135,0.10714478258612102,0.11683667065266301,0.2637260410251287,-0.14522675620389577
ACH-000528,-0.39975673233353154,-1.220843687341696,-0.09353263640269545,0.12703202313428041,-0.3566875060467254,-0.4570985750843535
ACH-002501,-1.8321861477264652,-0.6061350890241956,0.11017728969463786,-0.10643795912306342,-0.5649473263577721,-0.6124726622629368
ACH-001655,-0.2521853583900163,0.21035551069941164,0.3382356855859228,-0.6882580090124051,0.11866079287480802,0.16039510617858174
ACH-000167,0.5269414396768403,0.9217609391599528,-0.4479243635769034,-0.39075545061630096,0.8360326969624664,-0.18618738577855423
ACH-000792,0.915812006780652,0.51331391833806,0.8341174425918042,0.14065527116054252,0.7409796702989769,0.35721065346127623
ACH-001098,-0.6159444288928575,0.504186911354907,-0.13068893425079514,0.19999079727449556,0.049786108196494816,-0.1462079579496592
ACH-000570,0.29057248541144864,0.05925906143265106,0.6008164146977942,0.51398264295485,0.16361956362195265,0.5816856977564604
ACH-000351,0.39003213048015895,0.47300352842999377,0.48527028653574633,1.586258728825785,0.07280601096277396,0.3602888315217949
ACH-002075,-0.9964029357419649,-0.28721482249693303,-0.40533313238494584,-0.717179267314998,-0.012020954572300199,-0.46800738744188725
ACH-002040,-1.2151929325421658,-0.517548870706904,-0.6013857447642711,-0.04886260521218639,-0.23830894036180403,-0.6272060798078051
ACH-000769,-1.1032255441166605,-1.0629411191279776,-0.5206143443929185,0.9758561721606034,-0.14466520302478264,-0.5246437582161002
ACH-000154,0.20128841209447848,0.3580308996021311,0.9585128489582861,0.37137599903549967,0.10451007726886652,0.5289011077601775
ACH-000828,-0.9180915416632144,-0.9004596473895481,-0.35073075976030516,0.051054025371243206,-0.3113583111729191,-0.5261561231224733
ACH-000421,0.4138925266811969,0.4279427844776289,0.17450222484371222,0.9820337742960457,0.24887074126109518,0.02469509838683961
ACH-000765,0.3985252562512815,0.13861415728954368,0.21420681028108945,0.6199639419430107,-0.2436755896382942,0.07377655075594286
ACH-001375,0.3621716982978623,-0.23952492172128764,-0.39355964259214254,-0.04896008767259375,-0.17575780669213278,-0.4937138135011923
ACH-000008,0.4914331989010566,-0.12598244160881983,0.04676020893856006,0.1943866704557964,-0.07484143035610495,0.5850357073170575
ACH-001814,0.44796732252780025,0.29687217561766926,0.9230284128575218,0.008150324487487426,0.121721415458235,0.36275381832983644
ACH-000800,-2.020663502081236,-0.23998667609040256,0.2603179964317771,0.018553929988570462,-0.4595739580760871,-0.6374727819826355
ACH-000606,0.422362328189383,0.6301518102511813,-0.3297951363873178,-0.2548720851025011,-0.0090389286616544,-0.1636254778078262
ACH-000317,0.3345895856835498,0.5756598783202779,0.2582031602019393,-0.012844786088333077,0.08288147491253876,0.3984867871448799
ACH-001492,-0.09243490205474199,-0.18071617088576844,-0.6575501938885997,-0.24096698715483583,-0.06852527556215925,-0.5327599419871711
ACH-000123,0.35203152655051145,0.29347797478615184,-0.23304747108152268,-0.12425544132460682,-0.02274736100674384,-0.2594590799588382
ACH-000723,0.33439988324478465,-0.11162041370737787,-0.08402069755689716,-0.26128653214164155,0.18167068623898416,-0.09432092400616537
ACH-002066,-0.04189170926610368,0.05797330857669928,0.5575923469403979,-0.004444480351457375,-0.1453500592127001,0.24503009105310405
ACH-001536,0.5125075014420436,0.40961829196405436,-0.08411967669846206,-0.7636973555667115,0.1444302449050223,0.3585817261930986
ACH-003136,0.4065449899551842,0.7579993970469855,0.9403322422344796,0.1585127006889673,0.3020320257412446,0.5764600312592982
ACH-000313,1.7825002268112595,0.8681859357879695,1.0860983633407593,0.23820341202823342,0.3802801306947785,0.6509449456467881
ACH-002019,-0.22026894220567417,0.5106901854625072,0.007747074438393027,0.04622992129563005,-0.06863198796349117,-0.04700099390910717
ACH-000728,0.8437353337821007,0.19899523771415784,-0.13478065594313268,0.2881844991324657,-0.21165748063511494,-0.10044928348194648
ACH-000700,-0.12131967419913642,-0.1822398619771868,0.19438006834518748,-0.35730090682592497,0.02603754755372914,0.06082822694462922
ACH-000823,-0.6973462171382956,-0.8704943346522764,-0.10638999281536198,0.14647331150057363,-0.2836583612792478,-0.11591266045210613
