gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
IRF4,-0.8117467786453411,-0.22917250102896036,-0.5825742776163807,-14.855322579587153,6.425788766906945e-50,-0.8400067530713695,-0.7816616396021259,-0.3059302174185963,-0.1505403700436887,1.0,1.0,1397.0,2352.0,1.0,1.0,2.8337728462059627e-47
IKZF1,-0.6393299955190516,0.005018303455947559,-0.6443482989749991,-12.595070315681976,2.24759557612236e-36,-0.6867145622829618,-0.5829532267428394,-0.08029585232949371,0.08214111870673646,1.0,0.456,1561.0,2126.0,1.0,1.0,4.955948245349803e-34
MYB,-0.7641701565732137,-0.256909065655984,-0.5072610909172297,-12.286139001546674,1.0751991043687341e-34,-0.8007584727600756,-0.7286301681167007,-0.33460560650226423,-0.181310327807866,1.0,1.0,1472.0,2377.0,1.0,1.0,1.5805426834220392e-32
NCKAP1,-0.5420454970475331,0.04323336688785717,-0.5852788639353903,-10.748097101447353,6.049678823649873e-27,-0.6019527834492742,-0.48058852371029626,-0.04161849514540489,0.11960344189071215,1.0,0.144,1523.0,2910.0,1.0,1.0,6.669770903073984e-25
IKZF3,-0.5661544278832673,-0.09458293343333324,-0.47157149444993407,-9.040297320311314,1.5624625701970256e-19,-0.6251122864530891,-0.5085558150173082,-0.17985627683327726,-0.02297618546450325,1.0,0.9885,1741.0,2459.0,1.0,1.0,1.3780919869137766e-17
ARHGAP45,-0.48158363262164205,0.01628348471492247,-0.4978671173365645,-8.94692497898949,3.655225137804545e-19,-0.5470685856742599,-0.4160665572567512,-0.07103290823899089,0.0936386380145533,1.0,0.3515,2294.0,2562.0,1.0,1.0,2.6865904762863408e-17
PIM2,-0.5765258738704198,-0.16410733307422581,-0.41241854079619394,-8.125654349063346,4.449553650781675e-16,-0.6317810938388244,-0.5181893510542221,-0.2356033219771434,-0.08505774596591836,1.0,1.0,1854.0,2089.0,1.0,1.0,2.8032187999924555e-14
DOCK2,-0.4526056919346566,-0.06709056282727621,-0.3855151291073804,-6.954542601693181,3.5370774451943293e-12,-0.521881798395778,-0.38242643363922063,-0.1408478456330997,0.017228993694386574,1.0,0.949,2191.0,2494.0,1.0,1.0,1.9498139416633739e-10
SOX2,-0.2572636401227415,-0.5891881797284243,0.3319245396056828,6.830003882409745,8.491233465682618e-12,-0.34240341678380576,-0.1788096131501582,-0.6401701818017786,-0.5353383719775859,1.0,1.0,2328.0,2045.0,1.0,1.0,4.160704398184483e-10
TCF3,-0.4503513779206122,-0.07626475839288904,-0.37408661952772315,-6.755332520871377,1.42508038179077e-11,-0.5261944650889498,-0.3874985497735292,-0.16315459559453194,0.0013117814801462124,1.0,0.966,2145.0,2614.0,1.0,1.0,6.284604483697296e-10
