gene,E1_edd_rho,E1_n_lineages,E2_delta_rho,E2_fdr,E3_best_rho,E3_n_progs,E4_prism_rho,E4_n_drugs,E4_best_drug,E5_cox_p,E5_n_cancers,E5_hr,composite_score,n_evidence
PTP4A1,-0.4292290007051159,1.0,0.2095255726594069,0.0483090764783744,0.227100277579872,5.0,0.1524306123286713,12.0,trilaciclib,0.001538259355596,1.0,0.8027736766979175,0.7297089027133464,7
H2BC8,-0.3123072039871168,1.0,,,-0.0896921779364171,2.0,-0.1878063663708873,8.0,PF-06747775,0.0021527942562371,1.0,1.3067568601683883,0.6998437006234021,6
CDKN2A,-0.5393895114424411,1.0,,,0.0826205747629597,1.0,0.2354566168900722,3.0,ON123300,0.0044967361481145,1.0,0.839321552099825,0.6870013476604985,6
ADD1,-0.3245255519176419,1.0,,,0.1859482173786419,3.0,-0.1627545764914618,14.0,Paliperidone palmitate - QC Failure,0.0038849590870913,1.0,1.2159090873649554,0.65783790009152,6
ADNP,-0.4346808197232246,1.0,,,0.1151305639826934,1.0,-0.1644550146177946,9.0,GSK2245035,0.0020926241252896,1.0,0.8128457248481055,0.6316525924124714,6
SNX27,-0.3740882306099697,1.0,,,0.0953286121170936,1.0,-0.1697221441253621,9.0,OTS514,0.0003534151737815,1.0,0.8115584082145647,0.6226390034596965,6
ZFP36L2,-0.348656335255959,1.0,,,-0.15199130882619,4.0,-0.2156727471867358,8.0,RAF709,0.0037680474542929,1.0,0.8177922389924934,0.6164715457414545,6
LEMD3,-0.4342428501501618,1.0,,,-0.0867997253460877,1.0,-0.1836365463283838,4.0,spautin-1,0.0004219007671053,1.0,0.7980899554973165,0.6081097278823622,6
PRKRA,-0.3861951548276737,1.0,,,-0.1716807918749028,5.0,-0.1853255930177395,15.0,PT2399,0.0025887670771197,1.0,1.2795390822569492,0.6079258417363327,6
NFIX,-0.5018774284128384,1.0,-0.2217125161344097,0.0370047924145549,-0.1257110297024985,3.0,-0.1986683692782107,75.0,MK-0429,0.0006757665568995,1.0,0.804101103475252,0.6051893411294763,7
CDK4,-0.4165061329328153,1.0,,,-0.1208930058042029,1.0,-0.2092887052489224,26.0,KPT-9274,0.0044542460823293,1.0,1.1899885962017775,0.6045236530577068,6
AFF1,-0.3798694059563625,1.0,-0.2360346921649893,0.0177391193503673,0.1466819704858646,3.0,-0.204033708727979,4.0,YC-1,0.0001158528790432,2.0,1.0021189932086945,0.5983846424699601,7
UBE2J1,-0.422105430801083,1.0,-0.2449114162111356,0.0109385188373442,0.0907001049267798,1.0,-0.2234912874289184,74.0,inarigivir,0.0003658270127322,1.0,0.7802072747065957,0.5890373816554659,7
SP8,-0.3230805552490816,1.0,,,-0.1443288889028788,2.0,-0.2121696857012541,42.0,cinobufotalin,0.0019038488391134,1.0,1.2034409635231431,0.587471515474241,6
DHX40,-0.3390294511707002,1.0,,,0.1017126683830867,1.0,-0.1620005426669919,11.0,KPT-9274,6.035336684116198e-05,1.0,0.7880172881087986,0.5854257211804829,6
H3C8,-0.4854164727726332,1.0,,,-0.1317655667323088,3.0,-0.1816533688814243,6.0,PF-06747775,0.0017607401023278,1.0,0.8236123131731499,0.5849300570870424,6
RFX8,-0.6483382926143297,1.0,,,-0.1139807118438204,3.0,0.1672602916240554,2.0,A-939572,0.001373939878427,1.0,1.305864721070992,0.5845637468552878,6
DYRK1A,-0.3666809083550215,1.0,,,0.1102917400153766,1.0,-0.2364656890175524,65.0,SJG-136,0.0022093033595659,1.0,0.8217505701011463,0.5718036924974248,6
CD81,-0.3889472845994585,1.0,,,0.1504999724931159,4.0,-0.1923116682980944,13.0,MK-0429,0.0008261913921345,1.0,1.2410860631938931,0.5670491236872238,6
SLC17A4,-0.3128736976638486,1.0,,,,,0.1504115583823271,44.0,EMD534085,0.0005949122274886,1.0,0.805813327220776,0.5646663116681647,5
CRTC3,-0.612976875564662,1.0,,,0.0825860927912719,1.0,-0.1601379945262493,15.0,cinobufotalin,0.0007179177136644,1.0,0.801121324222279,0.5624788642510352,6
H2BC10,-0.6322072027484337,1.0,,,-0.0944958224232828,2.0,-0.16714431146851,7.0,E7820,0.0009914053172206,1.0,1.242827160711406,0.5601576511411253,6
NFATC2,-0.5206988315636819,1.0,,,,,-0.1731397088127045,4.0,Artelinic acid,0.004365005701192,1.0,0.8226867738993425,0.5593710883474307,5
TXLNG,-0.3162030610389972,1.0,,,0.0909507251909188,2.0,-0.2707759270446065,91.0,visomitin,0.0011839964828351,1.0,0.7928573120202858,0.5562596572930646,6
TFDP2,-0.3253257578461594,1.0,,,,,-0.2498608737477445,10.0,KPT-9274,0.0021689845831838,1.0,0.8128544846229928,0.5483755740510459,5
BCL6,-0.5518562169232594,1.0,,,-0.1071008609833557,1.0,0.1500544576798674,19.0,TK216,0.0004490438044858,1.0,0.7862506902127097,0.5479542313564226,6
VCPIP1,-0.5052758826827403,1.0,,,,,-0.1546178000101623,1.0,BFH772,0.0021680431254582,2.0,0.8121712626178232,0.5469057673918486,5
EPC2,-0.4119101899128953,1.0,,,,,-0.1510931245847031,19.0,CB-103,0.0006658315157086,1.0,0.8082753793737592,0.5396959632771492,5
STIM2,-0.3991097273073811,1.0,,,-0.099223098642977,1.0,-0.1766770315613428,9.0,LMK-235,4.670306044659339e-05,2.0,0.7519796219794406,0.5350288359332357,6
ESR1,-0.5688753167709595,1.0,,,,,-0.1754452999699051,8.0,Zearalanol,0.0047575180341074,1.0,0.8327843196170952,0.5343449251630326,5
IKZF2,-0.3985171977873663,1.0,,,,,-0.2049991399276707,7.0,SKLB-1028,0.0012711180620174,1.0,0.802955675098327,0.5342634601888674,5
DDX6,-0.3229428323617425,1.0,,,-0.1018306546731406,1.0,-0.2017478936727481,26.0,S63845,2.748561455501287e-05,1.0,0.7648858913928378,0.5341121112971604,6
ACTG1,-0.4217087358604945,1.0,,,,,-0.1910372052904768,4.0,MK-0429,0.0010952374268954,1.0,1.265697560266749,0.5339462187529498,5
BATF3,-0.4781043703127332,1.0,,,0.1330459334917167,1.0,-0.2271845092122967,48.0,{3-[(aminocarbonyl)amino]-2-methoxypropyl}(chloro) - QC Failure,0.0024492470158855,1.0,0.819057551706413,0.5301328320262001,6
DUSP22,-0.4469342251950948,1.0,,,-0.1248130050544704,1.0,-0.1989387238531197,25.0,TEN-010,0.0005271324931933,1.0,1.262568892459171,0.5241366790403139,6
SPTLC2,-0.4120550511165827,1.0,,,-0.1233996823938558,3.0,-0.2031615043277194,16.0,PF-06747775,0.0001964660120309,1.0,0.7663478535678868,0.5217689365024645,6
ACTB,-0.4091718151449098,1.0,,,-0.1051053420658092,2.0,-0.1859103903812986,10.0,LDN193189,7.362530258900927e-06,1.0,1.3799659825011985,0.5131672125025137,6
FOXO1,-0.4455663543846209,1.0,,,0.1025055748835035,1.0,-0.165272792043297,2.0,GDC-0084,2.76613707721877e-06,1.0,0.7301591449550414,0.5122185277411835,6
MCL1,-0.5458512501990763,1.0,,,0.1030441768427233,1.0,-0.1679138774233183,8.0,OTS514,0.0002561333181412,2.0,0.9926430879889352,0.5116220327870871,6
EIF4A1,-0.3923713967192228,1.0,,,,,-0.214935698098085,51.0,Batabulin,0.0019419544837338,1.0,1.2310883007566429,0.5100706200777303,5
POU3F2,-0.4502303708679869,1.0,,,,,-0.1721658703579624,32.0,pitavastatin,0.0012875236491873,1.0,1.2650168258548349,0.5097162371800397,5
SOX2,-0.3295595493031635,1.0,0.3042755534544252,0.0001018365268824,,,-0.1685087782350857,8.0,amiselimod,6.436590849251586e-06,1.0,1.34766589675222,0.5053626206557504,6
