Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
HNF1B,Pleura,-0.95839153304754,-0.9848694216045688,-0.9085725742605038,1.0,1.0,21,769.0,1.0,0.0
ELMO3,Thyroid,-0.9468282911229928,-0.9909561142381832,-0.8311401910536884,1.0,1.0,11,655.0,1.0,0.0
TP63,Biliary Tract,-0.8795240342991915,-0.94706747547838,-0.7917769527208733,1.0,1.0,35,1160.0,1.0,0.0
MYC,Eye,-0.8618085889713316,-0.9702614110121126,-0.6821815471611326,1.0,1.0,15,683.0,1.01,0.0
MYC,Peripheral Nervous System,-0.8307871307336672,-0.9197360098594364,-0.7241062232719626,1.0,1.0,37,1133.0,1.0,0.0
HNF1B,Pancreas,-0.8210621217947516,-0.9135520959420668,-0.7098287564166266,1.0,1.0,45,1082.0,1.0,0.0
TP63,Bladder/Urinary Tract,-0.8118572444520319,-0.9118584127086456,-0.6782836568234221,1.0,1.0,34,1162.0,1.0,0.0
CMIP,Eye,-0.8053754205775727,-0.957759273899966,-0.5586458641189054,0.9995,0.9995,15,827.0,1.0,0.0358333333333293
TP63,Skin,-0.7947076228924962,-0.8718074532539846,-0.6994746059670605,1.0,1.0,73,1302.0,1.0,0.0
HNF1B,Biliary Tract,-0.7881452288537247,-0.8999963478945971,-0.6462346423610299,1.0,1.0,35,1019.0,1.0,0.0
CCND1,Lymphoid,-0.78316255045912,-0.8605089233276089,-0.6956916082771656,1.0,1.0,91,1097.0,1.0,0.0
MDM2,Liver,-0.768445791637984,-0.9111959458384348,-0.5779056400571012,1.0,1.0,24,1134.0,1.0,0.0
ZNF217,Kidney,-0.7557425100502437,-0.8905313095519571,-0.5878130816344243,1.0,1.0,31,700.0,1.0,0.0
GATA3,Breast,-0.7497860842311919,-0.8618306117367098,-0.61498803129701,1.0,1.0,50,1030.0,1.0,0.0
IRS2,Bone,-0.7496581453245196,-0.8912252767355422,-0.5891605413147964,1.0,1.0,35,967.0,1.0,0.0
FOXA2,Peripheral Nervous System,-0.7426857249295113,-0.8740560332432601,-0.5809755200844235,1.0,1.0,37,1117.0,1.0,0.0
ZNF596,Eye,-0.7354066984677469,-0.928814817984592,-0.4443704779615314,1.0,1.0,15,1015.0,1.0,0.0
HNF1B,Lung,-0.735375963432372,-0.8137030211076559,-0.6513115941854286,1.0,1.0,123,1321.0,1.0,0.0
TP63,Esophagus/Stomach,-0.7337217319126742,-0.833613320591374,-0.6079768931995062,1.0,1.0,62,1239.0,1.0,0.0
CCND2,Lymphoid,-0.7323029571686276,-0.8268737878087467,-0.6409201572977763,1.0,1.0,91,1449.0,1.0,0.0
ASCL5,Breast,-0.7278322908914009,-0.8443690253661504,-0.5737761223636273,1.0,1.0,50,1336.0,1.0,0.0
HNF1B,Ovary/Fallopian Tube,-0.727388114925606,-0.8361684275313745,-0.5885778613665136,1.0,1.0,56,1498.0,1.0,0.0
TP63,Uterus,-0.7253483535700458,-0.8614659455414679,-0.5424012788987684,1.0,1.0,34,1088.0,1.0,0.0
HIC2,Ovary/Fallopian Tube,-0.7214238009521898,-0.8304805720151236,-0.5735195929586274,1.0,1.0,56,1213.0,1.0,0.0
HNF1B,Esophagus/Stomach,-0.7209171226263376,-0.8207387785699658,-0.5840280678106211,1.0,1.0,62,1256.0,1.0,0.0
PAX8,Ovary/Fallopian Tube,-0.7191764860635284,-0.8350071975893107,-0.5825663406577954,1.0,1.0,56,1298.0,1.0,0.0
ERBB2,Breast,-0.7166401063111142,-0.8215064717249239,-0.5525394459025363,1.0,1.0,50,1217.0,1.0,0.0
HNF1B,Bladder/Urinary Tract,-0.7136023119115943,-0.8589762626134634,-0.5172672500971676,1.0,1.0,34,1253.0,1.0,0.0
PAX8,Uterus,-0.7100410739274705,-0.8549982510968606,-0.5139195156806382,1.0,1.0,34,1294.0,1.0,0.0
ERBB2,Esophagus/Stomach,-0.7099692903645245,-0.8231205251311071,-0.575705147089119,1.0,1.0,62,1470.0,1.0,0.0
MDM2,Pleura,-0.7098383106590317,-0.8899385173398333,-0.4451384267978398,1.0,0.9995,21,932.0,1.0,0.0215999999999976
ZEB1,Head and Neck,-0.7092435366423381,-0.8286853048946901,-0.5636239174764825,1.0,1.0,61,1514.0,1.0,0.0
TRPS1,Breast,-0.7083433815190138,-0.8305602972471631,-0.5586627570683769,1.0,1.0,50,1458.0,1.0,0.0
ARL4C,Pleura,-0.703177996573886,-0.8835490472220824,-0.4279614353668337,1.0,1.0,21,1230.0,1.0,0.0
MITF,Soft Tissue,-0.6988637043446713,-0.8396426395493366,-0.5425667934149669,1.0,1.0,45,1595.0,1.0,0.0
LIN28B,Bone,-0.6941506676609638,-0.8555533850054509,-0.5021097488306796,1.0,1.0,35,1320.0,1.0,0.0
ARHGAP29,Pleura,-0.693399598811988,-0.8876219382774502,-0.4558041541341266,1.0,0.9995,21,956.0,1.0,0.0215999999999976
IRF4,Lymphoid,-0.689248396655272,-0.8007879059368561,-0.584171709388358,1.0,1.0,91,1439.0,1.0,0.0
LPAR1,Ovary/Fallopian Tube,-0.6885935833850634,-0.8186998532935257,-0.5351414117159148,1.0,1.0,56,1490.0,1.0,0.0
MECOM,Uterus,-0.6881381654090726,-0.852982754210925,-0.4954490326508059,1.0,1.0,34,1229.0,1.0,0.0
HNF1B,Uterus,-0.685192838856178,-0.8407621176764595,-0.482822741266099,1.0,1.0,34,1214.0,1.0,0.0
PARD6B,Pleura,-0.6851873545442143,-0.8951098279352319,-0.4229675717633923,1.0,0.9995,21,1024.0,1.0,0.0215999999999976
HNF1B,Kidney,-0.6823416693046115,-0.8530057078450732,-0.4709055512475624,1.0,1.0,31,1423.0,1.0,0.0
CCND1,CNS/Brain,-0.6810578819858979,-0.7833705434264011,-0.555593834272879,1.0,1.0,82,1421.0,1.0,0.0
ITGAV,Bone,-0.6808911576925998,-0.8337641909126372,-0.4592028463544574,1.0,1.0,35,1339.0,1.0,0.0
TP63,Pancreas,-0.6804822988142617,-0.8219488713705565,-0.4994277597078012,1.0,1.0,45,1044.0,1.0,0.0
MITF,Skin,-0.6790740277013748,-0.8054137781044186,-0.5517381119911899,1.0,1.0,73,1373.0,1.0,0.0
BCL2L1,Myeloid,-0.6787499685732272,-0.8389004418234236,-0.4896055489894928,1.0,1.0,39,1389.0,1.0,0.0
ITGAV,Peripheral Nervous System,-0.677083194143012,-0.8379573211351403,-0.4965395873826836,1.0,1.0,37,1159.0,1.0,0.0
FAM120A,Bladder/Urinary Tract,-0.6763155980423698,-0.8356765187350781,-0.447711245135846,1.0,1.0,34,970.0,1.0,0.0
CCND3,Lymphoid,-0.674718557914593,-0.7835405546048493,-0.546600273739881,1.0,1.0,91,1461.0,1.0,0.0
TRPS1,Bladder/Urinary Tract,-0.6706126323684299,-0.8404036979609844,-0.4664551027306247,1.0,1.0,34,989.0,1.0,0.0
PARD6B,Ovary/Fallopian Tube,-0.6663105464166649,-0.7813833213074723,-0.4927605421169274,1.0,1.0,56,1331.0,1.0,0.0
FOSL1,Bone,-0.6627860153787555,-0.8275239947128588,-0.4485241532008364,1.0,1.0,35,1281.0,1.0,0.0
