Gene,Rho_immune_hot,Rho_immune_cold,Delta_rho,HDI_low_hot,HDI_high_hot,HDI_low_cold,HDI_high_cold,P(rho<0)_hot,P(rho<0)_cold,ESS_hot,ESS_cold,Rhat_hot,Rhat_cold,Z_fisher,P_value,FDR
IKZF1,-0.6393299955190516,0.0050183034559475,-0.6443482989749991,-0.6867145622829618,-0.5829532267428394,-0.0802958523294937,0.0821411187067364,1.0,0.456,1561.0,2126.0,1.0,1.0,-12.595070315681976,2.24759557612236e-36,4.955948245349803e-34
NCKAP1,-0.5420454970475331,0.0432333668878571,-0.5852788639353903,-0.6019527834492742,-0.4805885237102962,-0.0416184951454048,0.1196034418907121,1.0,0.144,1523.0,2910.0,1.0,1.0,-10.748097101447351,6.049678823649873e-27,6.669770903073983e-25
IRF4,-0.8117467786453411,-0.2291725010289603,-0.5825742776163807,-0.8400067530713695,-0.7816616396021259,-0.3059302174185963,-0.1505403700436887,1.0,1.0,1397.0,2352.0,1.0,1.0,-14.855322579587153,6.425788766906945e-50,2.8337728462059627e-47
MYB,-0.7641701565732137,-0.256909065655984,-0.5072610909172297,-0.8007584727600756,-0.7286301681167007,-0.3346056065022642,-0.181310327807866,1.0,1.0,1472.0,2377.0,1.0,1.0,-12.286139001546674,1.075199104368734e-34,1.5805426834220392e-32
ARHGAP45,-0.481583632621642,0.0162834847149224,-0.4978671173365645,-0.5470685856742599,-0.4160665572567512,-0.0710329082389908,0.0936386380145533,1.0,0.3515,2294.0,2562.0,1.0,1.0,-8.94692497898949,3.655225137804545e-19,2.686590476286341e-17
IKZF3,-0.5661544278832673,-0.0945829334333332,-0.471571494449934,-0.6251122864530891,-0.5085558150173082,-0.1798562768332772,-0.0229761854645032,1.0,0.9885,1741.0,2459.0,1.0,1.0,-9.040297320311314,1.5624625701970256e-19,1.3780919869137767e-17
PIM2,-0.5765258738704198,-0.1641073330742258,-0.4124185407961939,-0.6317810938388244,-0.5181893510542221,-0.2356033219771434,-0.0850577459659183,1.0,1.0,1854.0,2089.0,1.0,1.0,-8.125654349063346,4.449553650781675e-16,2.8032187999924555e-14
DOCK2,-0.4526056919346566,-0.0670905628272762,-0.3855151291073804,-0.521881798395778,-0.3824264336392206,-0.1408478456330997,0.0172289936943865,1.0,0.949,2191.0,2494.0,1.0,1.0,-6.954542601693181,3.5370774451943293e-12,1.9498139416633736e-10
TCF3,-0.4503513779206122,-0.076264758392889,-0.3740866195277231,-0.5261944650889498,-0.3874985497735292,-0.1631545955945319,0.0013117814801462,1.0,0.966,2145.0,2614.0,1.0,1.0,-6.755332520871377,1.4250803817907699e-11,6.284604483697295e-10
NCKAP1L,-0.3475078968116802,0.0123680242025616,-0.3598759210142419,-0.4229421402580797,-0.2719315550954491,-0.0597482879015067,0.0958647905492575,1.0,0.3715,2237.0,2479.0,1.0,1.0,-6.197479365714174,5.737455749772279e-10,1.94632152742275e-08
