gene,drug_id,name,rho,pvalue,fdr,n_lines
GRHL2,BRD-K00004648-001-01-9,PF-06747775,-0.4753904673211461,1.0503543229037881e-50,4.909776246981467e-47,878
KLF5,BRD-K00091285-001-01-9,Theliatinib,-0.4720827308045306,7.816131574794737e-49,3.0446437861017104e-45,858
MDM2,BRD-K00003406-001-01-9,milademetan,-0.4588864956469118,6.148225987375404e-47,1.5966259752993105e-43,878
GRHL2,BRD-K00091285-001-01-9,Theliatinib,-0.4539404807718497,7.679235310552904e-45,1.6316280698022043e-41,858
SPINT2,BRD-K00091285-001-01-9,Theliatinib,-0.4478564478804892,1.483258931835018e-43,2.476194839632003e-40,858
SPINT2,BRD-K00004648-001-01-9,PF-06747775,-0.4421686951199054,2.51340663807561e-43,3.671458746568948e-40,878
KLF5,BRD-K00076493-001-02-9,NRC-2694,-0.437546489146463,1.9574514218459848e-41,1.9062314429743483e-38,858
FAM83H,BRD-K00091285-001-01-9,Theliatinib,-0.4369564230492929,2.5754830067803136e-41,2.40776755337878e-38,858
ITGAV,BRD-K00076647-001-02-9,MK-0429,-0.4364194500832763,3.3044552364678765e-41,2.970451068720277e-38,858
FAM83H,BRD-K00004648-001-01-9,PF-06747775,-0.4348711560572094,8.217769854933979e-42,8.730259865887137e-39,878
KLF5,BRD-K00004648-001-01-9,PF-06747775,-0.4267633283847397,3.585991726309774e-40,2.890062021631449e-37,878
ITGB5,BRD-K00003343-001-01-9,VLX1570,-0.4248467954079245,8.62511332789928e-40,6.502778990311676e-37,878
EGFR,BRD-K00076493-001-02-9,NRC-2694,-0.4160839923351371,3.006570701705065e-37,1.434072866127567e-34,858
ITGB5,BRD-K00003223-003-01-9,amiselimod,-0.4154803426110383,9.344238436801436e-38,4.7476856683678944e-35,873
GRHL2,BRD-K00076493-001-02-9,NRC-2694,-0.4111250132809581,2.529695764017641e-36,1.0423209739600464e-33,858
FAM83H,BRD-K00076493-001-02-9,NRC-2694,-0.4110727548370475,2.5866257269246405e-36,1.0423209739600464e-33,858
RBM47,BRD-K00091285-001-01-9,Theliatinib,-0.4098875141406736,4.2804252500571474e-36,1.587969824513264e-33,858
FOXA1,BRD-K00091285-001-01-9,Theliatinib,-0.4090383814998238,6.132913124409138e-36,2.2396632116201618e-33,858
FOXA1,BRD-K00004648-001-01-9,PF-06747775,-0.4062351884498846,3.2496580521032825e-36,1.2450984917009496e-33,878
EGFR,BRD-K00091285-001-01-9,Theliatinib,-0.4060842247369048,2.1258165055483208e-35,7.09779762395362e-33,858
VCL,BRD-K00076647-001-02-9,MK-0429,-0.398618877083938,4.654006712808135e-34,1.3945313447660478e-31,858
SPINT2,BRD-K00069020-001-02-9,Mobocertinib,-0.3978948042669673,6.251956227677446e-34,1.8039595179416947e-31,858
SPINT2,BRD-K00076493-001-02-9,NRC-2694,-0.3927750686627849,4.9361467825030466e-33,1.2143960273753812e-30,858
ERBB2,BRD-K00091285-001-01-9,Theliatinib,-0.391922587360112,6.93877057952728e-33,1.6548259794358327e-30,858
ITGB5,BRD-K00076647-001-02-9,MK-0429,-0.3891340266927091,2.099139596786563e-32,4.6724848243900535e-30,858
GRHL2,BRD-K00069020-001-02-9,Mobocertinib,-0.3859461437753749,7.345308561351482e-32,1.5749958871184117e-29,858
FAM83H,BRD-K00069020-001-02-9,Mobocertinib,-0.3831517689696173,2.1773307669312603e-31,4.346759523203439e-29,858
ALDH3A1,BRD-K00091285-001-01-9,Theliatinib,-0.3828493966157967,2.4474602263194613e-31,4.688691836847415e-29,858
RBM47,BRD-K00004648-001-01-9,PF-06747775,-0.3808605742916476,1.0861778576051976e-31,2.2465618484910334e-29,878
EGFR,BRD-K00076465-001-02-9,ZD-4190,-0.3759427254776064,3.423332659535159e-30,5.6744773701174275e-28,858
MYB,BRD-K97840621-001-02-9,API-1,-0.3718824192830302,3.4983478847568154e-30,5.757984983277202e-28,878
KLF5,BRD-K00069020-001-02-9,Mobocertinib,-0.3704650724953111,2.6526658576685165e-29,3.583705573724196e-27,858
WWTR1,BRD-K00076647-001-02-9,MK-0429,-0.3703553587056408,2.7626087963067e-29,3.6895824449874385e-27,858
ITGB5,BRD-K00003291-001-01-9,BEBT-908,-0.3695123255370448,8.592045318580694e-30,1.3211400209596578e-27,878
ERBB2,BRD-K00076493-001-02-9,NRC-2694,-0.3687649995795728,4.9683484921925513e-29,6.2767697815959096e-27,858
ERBB2,BRD-K00004648-001-01-9,PF-06747775,-0.3681606518073291,1.4295388983463866e-29,2.062315930054016e-27,878
RHOG,BRD-K00004604-001-01-9,PRLX-93936,-0.3681416616325865,2.077986101232569e-29,2.890874473690929e-27,873
EGFR,BRD-K00091071-001-01-9,PF-06952229,-0.367045011353074,9.338543664779195e-29,1.1175401151056946e-26,858
ITGB5,BRD-K00003313-001-01-9,trabectedin,-0.3633868383870753,8.466138051450148e-29,1.030575929887984e-26,878
CLTB,BRD-K00003343-001-01-9,VLX1570,-0.3619513682287351,1.4369107816738796e-28,1.5992132756800914e-26,878
PXN,BRD-K00003223-003-01-9,amiselimod,-0.3604457517464942,3.543838757348138e-28,3.632745589330732e-26,873
CLTB,BRD-K00003223-003-01-9,amiselimod,-0.359359909189691,5.255168623034488e-28,5.139071173956571e-26,873
