gene,cancer_type,n_patients,cox_hr,cox_pvalue,logrank_pvalue,cox_fdr
RBM47,KIRC,603,0.6441481914749709,1.4157034037823027e-11,2.7948137005437452e-08,5.09653225361629e-08
SLC38A5,KIRC,603,1.494320410630145,2.8789291124592247e-11,6.876676090615619e-08,5.1820724024266054e-08
CCNE1,KIRC,603,1.4486887655833796,4.688932092015521e-11,9.611541404510231e-07,5.6267185104186256e-08
DIP2C,KIRC,603,0.6641940736054244,9.961653053988612e-11,4.085504209591776e-09,8.965487748589753e-08
BCL2,KIRC,603,0.6798943510179791,2.6248816532532567e-10,2.996637554780776e-07,1.889914790342345e-07
KLHL9,KIRC,603,0.6836460969530883,1.8110949857394434e-09,6.167527165999762e-07,1.086656991443666e-06
RAPGEF2,KIRC,603,0.712659238710788,3.6986541462388804e-09,3.2055557784618285e-07,1.8958017921167824e-06
DAB2IP,KIRC,603,0.7002383362992957,4.212892871370628e-09,1.6977782326745777e-07,1.8958017921167824e-06
CDS2,KIRC,603,0.6763678955269282,5.098500569171814e-09,0.0004576751146989,2.0394002276687257e-06
TCF7L2,KIRC,603,0.6809363659067219,9.674914831460944e-09,3.0603679515275294e-07,3.42403019551237e-06
MMGT1,KIRC,603,0.7041276221827089,1.0462314486287798e-08,0.00027350500559,3.42403019551237e-06
IGF1R,KIRC,603,0.6967126762279583,2.0913167383113522e-08,9.631721526676281e-08,6.273950214934056e-06
SOX6,KIRC,603,0.7148106510196351,2.351959195585468e-08,7.992177797725914e-09,6.513117772390526e-06
DKK1,LUAD,565,1.4650164990337058,7.062441576189328e-08,6.840715051323617e-07,1.7840095345185372e-05
WASL,KIRC,603,0.7173499881407688,7.433373060493905e-08,2.821860725423539e-06,1.7840095345185372e-05
ARHGEF12,KIRC,603,0.7266025745272925,9.950593104981825e-08,0.0001091642627987,2.2307434232584685e-05
IKZF3,SKCM,455,0.7018308640784934,1.0534066165387213e-07,7.065845830763122e-06,2.2307434232584685e-05
EZR,KIRC,603,0.7044396284891623,1.3224402627141756e-07,2.2164338267693627e-05,2.3772072633260336e-05
PIM2,SKCM,455,0.6781881058949152,1.3243724275926142e-07,2.841779169053989e-06,2.3772072633260336e-05
SWT1,KIRC,603,0.7338521953175052,1.3701724278830076e-07,1.7577095445776158e-07,2.3772072633260336e-05
MTAP,KIRC,603,0.7235471100090437,1.3867042369401865e-07,4.269973744697961e-05,2.3772072633260336e-05
FPGT,KIRC,603,0.7127780873719322,1.7082631757103836e-07,1.180569658213033e-06,2.708208604711965e-05
FAM120A,KIRC,603,0.725680039215941,1.7616542783427253e-07,3.090779500029399e-07,2.708208604711965e-05
FOXA1,KIRC,603,1.4285719886600314,1.8054724031413107e-07,7.551318646724065e-07,2.708208604711965e-05
MITF,KIRC,603,0.69616988176914,2.2338687695776333e-07,9.401674141372002e-06,3.216771028191792e-05
GNPNAT1,LUAD,565,1.4546300487369428,2.6290466555852525e-07,0.0019136381928678,3.640218446194965e-05
CNN3,KIRC,603,0.7112383528967612,2.846778559549284e-07,0.0013506195818965,3.795704746065712e-05
NUMB,KIRC,603,0.7231623750773573,4.933153379704254e-07,0.0001363625106399,6.34262577390547e-05
MLKL,SKCM,455,0.7122925629652566,6.16822049467493e-07,8.735356567872869e-07,7.657101303734396e-05
SPINT2,KIRC,603,0.7236931230762489,7.114585679519727e-07,0.0099646706497922,8.537502815423673e-05
BASP1,KIRC,603,1.426448788702586,7.6162647535044e-07,0.0107403603986394,8.844694552456722e-05
IKZF3,BLCA,425,0.7089042846924086,7.986336217778129e-07,0.0117470433193811,8.984628245000396e-05
SH3RF1,KIRC,603,0.7348648905558574,9.743651269304262e-07,3.612492164785995e-06,0.0001062943774833
NFIB,KIRC,603,0.7556148763163985,1.265873111804891e-06,1.1271655314239907e-05,0.0001340336236028
NEDD9,KIRC,603,0.7374168601412732,1.6733112292076843e-06,6.270012568820975e-06,0.0001676066305106
PPP2CA,KIRC,603,0.7206402334253351,1.6893285729910308e-06,3.60066708382817e-06,0.0001676066305106
JAML,SKCM,455,0.7244248549643135,1.7226237024705654e-06,1.565082602503319e-06,0.0001676066305106
PHLDB2,KIRC,603,0.7496210162360966,1.9263923109889785e-06,3.5451906228448176e-05,0.0001825003241989
LUC7L,KIRC,603,1.420395701279889,2.169198558521034e-06,0.0003309249014482,0.0002002337130942
FOXO1,KIRC,603,0.7301591449550414,2.76613707721877e-06,0.0017671617291461,0.0002489523369496
ELAVL2,KIRC,603,0.720678851529904,2.9015663618429504e-06,0.0054002112308608,0.0002509168723111
RASGRP3,KIRC,603,0.720667963945425,2.966040027483425e-06,0.0050490773245924,0.0002509168723111
FOXA2,KIRC,603,1.417426476896525,2.9970626414941e-06,6.434758172258811e-05,0.0002509168723111
BMI1,KIRC,603,0.7511215329500854,3.582629075781292e-06,0.2046095560058769,0.0002931241971093
CD79A,HNSC,563,0.7416692375666399,4.327114493192675e-06,0.0021580134374225,0.0003307979675221
PEDS1,KIRC,603,1.3915532554475876,4.363253687105416e-06,0.0001775710379951,0.0003307979675221
DOCK2,SKCM,455,0.7415801079641584,4.390874414192618e-06,8.050583011857217e-08,0.0003307979675221
CIRBP,KIRC,603,0.7325650280171037,4.410639566961767e-06,0.0023257540821954,0.0003307979675221
MAGEH1,KIRC,603,0.7420964814267567,4.574747474362847e-06,0.0047741342265564,0.0003361038960756
LIF,SKCM,455,0.7315393522570381,4.758464856911532e-06,9.721685499628463e-06,0.0003394556690088
TOX3,KIRC,603,0.7438939368297561,4.808955310958944e-06,1.1336127579810345e-05,0.0003394556690088
