,immune_status
ACH-001113,immune_cold
ACH-001289,immune_cold
ACH-001339,immune_hot
ACH-001979,immune_hot
ACH-002438,immune_cold
ACH-001538,immune_hot
ACH-000242,immune_hot
ACH-000708,immune_cold
ACH-000327,immune_cold
ACH-000233,immune_hot
ACH-000461,immune_cold
ACH-000705,immune_cold
ACH-001794,immune_hot
ACH-002023,immune_hot
ACH-000528,immune_cold
ACH-002501,immune_cold
ACH-001655,immune_cold
ACH-000167,immune_hot
ACH-000792,immune_hot
ACH-001098,immune_cold
ACH-000570,immune_hot
ACH-000351,immune_hot
ACH-002075,immune_cold
ACH-002040,immune_cold
ACH-000769,immune_cold
ACH-000154,immune_cold
ACH-000828,immune_cold
ACH-000421,immune_hot
ACH-000765,immune_hot
ACH-001375,immune_cold
ACH-000008,immune_hot
ACH-001814,immune_cold
ACH-000800,immune_cold
ACH-000606,immune_cold
ACH-000317,immune_hot
ACH-001492,immune_hot
ACH-000123,immune_cold
ACH-000723,immune_hot
ACH-002066,immune_hot
ACH-001536,immune_cold
ACH-003136,immune_hot
ACH-000313,immune_hot
ACH-002019,immune_cold
ACH-000728,immune_hot
ACH-000700,immune_hot
ACH-000823,immune_cold
ACH-000678,immune_hot
ACH-000006,immune_hot
ACH-002790,immune_cold
ACH-002029,immune_cold
ACH-001377,immune_cold
ACH-000754,immune_hot
ACH-000465,immune_hot
ACH-000138,immune_hot
ACH-001864,immune_hot
ACH-000383,immune_hot
ACH-001547,immune_hot
ACH-000917,immune_hot
ACH-002471,immune_cold
ACH-000984,immune_cold
ACH-002678,immune_hot
ACH-001409,immune_hot
ACH-001707,immune_hot
ACH-000117,immune_cold
ACH-000999,immune_cold
ACH-000633,immune_cold
ACH-000520,immune_hot
ACH-000176,immune_cold
ACH-000017,immune_cold
ACH-000020,immune_hot
ACH-001385,immune_cold
ACH-000587,immune_hot
ACH-000785,immune_hot
ACH-003469,immune_hot
ACH-000554,immune_cold
ACH-003180,immune_hot
ACH-001398,immune_hot
ACH-001991,immune_cold
ACH-001332,immune_cold
ACH-000585,immune_cold
ACH-000550,immune_hot
ACH-000627,immune_hot
ACH-000704,immune_cold
ACH-000276,immune_hot
ACH-000075,immune_hot
ACH-000818,immune_cold
ACH-003184,immune_cold
ACH-001616,immune_hot
ACH-000625,immune_cold
ACH-000941,immune_cold
ACH-000392,immune_cold
ACH-000269,immune_hot
ACH-001670,immune_cold
ACH-003133,immune_hot
ACH-000856,immune_cold
ACH-002687,immune_cold
ACH-001119,immune_hot
ACH-003132,immune_cold
ACH-000376,immune_hot
ACH-000685,immune_cold
ACH-000729,immune_cold
ACH-001034,immune_cold
ACH-001283,immune_cold
ACH-000880,immune_cold
ACH-000035,immune_cold
ACH-001200,immune_cold
ACH-000194,immune_hot
ACH-000322,immune_hot
ACH-000552,immune_cold
ACH-002508,immune_hot
ACH-000222,immune_hot
ACH-000260,immune_cold
ACH-001652,immune_cold
ACH-000608,immune_hot
ACH-000501,immune_hot
ACH-000612,immune_hot
ACH-002033,immune_cold
ACH-001184,immune_cold
ACH-001688,immune_cold
ACH-001838,immune_hot
ACH-000638,immune_hot
ACH-001846,immune_cold
ACH-000798,immune_hot
ACH-001321,immune_hot
ACH-000894,immune_hot
ACH-001559,immune_hot
ACH-000344,immune_cold
ACH-000223,immune_hot
ACH-000031,immune_hot
ACH-000034,immune_hot
ACH-001861,immune_hot
ACH-003468,immune_hot
ACH-000772,immune_cold
ACH-000946,immune_cold
ACH-000596,immune_hot
ACH-001046,immune_hot
ACH-000632,immune_hot
ACH-000978,immune_cold
ACH-000332,immune_hot
ACH-001841,immune_hot
ACH-003273,immune_hot
ACH-000179,immune_cold
ACH-000887,immune_cold
ACH-000368,immune_hot
ACH-000240,immune_hot
ACH-000578,immune_hot
ACH-001611,immune_hot
ACH-000135,immune_cold
ACH-001671,immune_hot
ACH-000406,immune_hot
ACH-001541,immune_hot
ACH-000998,immune_hot
ACH-000441,immune_hot
ACH-000960,immune_hot
ACH-000098,immune_hot
ACH-001651,immune_cold
ACH-001456,immune_cold
ACH-001336,immune_cold
ACH-000284,immune_cold
ACH-000971,immune_cold
ACH-001454,immune_hot
ACH-000926,immune_cold
ACH-000033,immune_cold
ACH-000576,immune_hot
ACH-000019,immune_cold
ACH-001577,immune_hot
ACH-001981,immune_hot
ACH-000330,immune_cold
ACH-000848,immune_cold
ACH-000481,immune_cold
ACH-001517,immune_cold
ACH-000338,immune_hot
ACH-001959,immune_cold
ACH-001414,immune_cold
ACH-001227,immune_cold
ACH-000871,immune_cold
ACH-001403,immune_cold
ACH-000805,immune_hot
ACH-001142,immune_hot
ACH-001554,immune_cold
ACH-001667,immune_cold
ACH-000847,immune_cold
ACH-001447,immune_hot
ACH-001537,immune_cold
ACH-001207,immune_cold
ACH-001854,immune_cold
ACH-000832,immune_hot
ACH-001975,immune_hot
ACH-000428,immune_cold
ACH-001382,immune_hot
ACH-001302,immune_cold
ACH-000690,immune_cold
ACH-001134,immune_hot
ACH-000914,immune_hot
ACH-000858,immune_cold
ACH-001421,immune_cold
ACH-002796,immune_cold
ACH-003183,immune_hot
ACH-002716,immune_hot
ACH-003100,immune_hot
ACH-000544,immune_cold
ACH-000725,immune_cold
ACH-000566,immune_hot
ACH-000760,immune_cold
ACH-001745,immune_cold
ACH-000787,immune_hot
ACH-001598,immune_cold
ACH-000749,immune_cold
ACH-001691,immune_hot
ACH-001328,immune_cold
ACH-001704,immune_hot
ACH-001502,immune_hot
ACH-002844,immune_cold
ACH-001068,immune_hot
ACH-000358,immune_cold
ACH-002695,immune_hot
ACH-001672,immune_cold
ACH-001654,immune_cold
ACH-001521,immune_cold
ACH-000209,immune_hot
ACH-001520,immune_hot
ACH-000213,immune_cold
ACH-001610,immune_hot
ACH-001408,immune_hot
ACH-000991,immune_hot
ACH-001412,immune_cold
ACH-000331,immune_hot
ACH-001407,immune_hot
ACH-000580,immune_hot
ACH-000594,immune_cold
ACH-000684,immune_hot
ACH-000742,immune_hot
ACH-000868,immune_cold
ACH-000732,immune_hot
ACH-001481,immune_cold
ACH-000429,immune_hot
ACH-000310,immune_cold
ACH-002475,immune_cold
ACH-000643,immune_hot
ACH-000234,immune_hot
ACH-003267,immune_hot
ACH-001498,immune_hot
ACH-000896,immune_cold
ACH-003451,immune_cold
ACH-000203,immune_cold
ACH-001607,immune_cold
ACH-002706,immune_cold
ACH-001441,immune_cold
ACH-000112,immune_hot
ACH-000874,immune_hot
ACH-000186,immune_hot
ACH-002780,immune_cold
ACH-000677,immune_cold
ACH-000055,immune_cold
ACH-000485,immune_cold
ACH-000672,immune_cold
ACH-001150,immune_hot
ACH-000287,immune_hot
ACH-000784,immune_cold
ACH-000530,immune_cold
ACH-002024,immune_cold
ACH-000380,immune_hot
ACH-001737,immune_hot
ACH-001400,immune_cold
ACH-001054,immune_cold
ACH-001695,immune_cold
ACH-000009,immune_cold
ACH-000491,immune_cold
ACH-001703,immune_hot
ACH-000002,immune_hot
ACH-001568,immune_cold
ACH-001449,immune_hot
ACH-000993,immune_hot
ACH-002680,immune_hot
ACH-000877,immune_hot
ACH-000711,immune_cold
ACH-001515,immune_cold
ACH-002847,immune_hot
ACH-000702,immune_hot
ACH-001020,immune_cold
ACH-000600,immune_cold
ACH-003266,immune_hot
ACH-000354,immune_hot
ACH-000012,immune_hot
ACH-000689,immune_hot
ACH-002668,immune_hot
ACH-002533,immune_cold
ACH-000459,immune_hot
ACH-002050,immune_cold
ACH-003120,immune_cold
ACH-001413,immune_cold
ACH-000686,immune_hot
ACH-000342,immune_cold
ACH-000208,immune_hot
ACH-000360,immune_cold
ACH-000249,immune_hot
ACH-001368,immune_cold
ACH-000231,immune_hot
ACH-002074,immune_cold
ACH-000945,immune_hot
ACH-000662,immune_cold
ACH-002458,immune_hot
ACH-001378,immune_hot
ACH-001029,immune_hot
ACH-001817,immune_cold
ACH-002846,immune_hot
ACH-000248,immune_hot
ACH-000943,immune_cold
ACH-000751,immune_hot
ACH-001696,immune_hot
ACH-002936,immune_cold
ACH-001016,immune_cold
ACH-000282,immune_cold
ACH-003438,immune_hot
ACH-002215,immune_hot
ACH-000261,immune_cold
ACH-000164,immune_cold
ACH-001793,immune_hot
ACH-000262,immune_hot
ACH-000158,immune_hot
ACH-000773,immune_hot
ACH-000722,immune_cold
ACH-000857,immune_hot
ACH-001129,immune_hot
ACH-001619,immune_cold
ACH-000184,immune_hot
ACH-000329,immune_hot
ACH-001569,immune_hot
ACH-002544,immune_cold
ACH-002675,immune_hot
ACH-000814,immune_hot
ACH-002499,immune_hot
ACH-001493,immune_hot
ACH-001701,immune_cold
ACH-000197,immune_hot
ACH-000545,immune_hot
ACH-000949,immune_hot
ACH-000124,immune_hot
ACH-000560,immune_cold
ACH-000897,immune_cold
ACH-001626,immune_cold
ACH-000619,immune_hot
